atc_codigo,atc_numero,atc_Aprobado,atc_Cancelado,atc_Pend_1ra_aprob,atc_Pend_2da_aprob,atc_Pend_aprob,atc_Rech_1ra_aprob,atc_Rech_2da_aprob,atc_Rech_aprob,atc_Pend_lib_logist,atc_Aprob_cotiz,atc_Rech_cotiz,atc_Rech_logistica,fecha_proceso,s_user,s_fecha
282877,1046555,2025-12-30T20:55:47.000Z,1900-01-01T00:00:00.000Z,2024-12-26T16:50:05.000Z,2024-12-30T20:55:32.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2024-12-30,userrpa,2024-12-31T03:56:44.676Z
283517,1053201,2025-12-30T17:29:20.000Z,1900-01-01T00:00:00.000Z,2024-11-26T19:54:28.000Z,2024-12-06T18:32:03.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-01-02T14:31:35.000Z,1900-01-01T00:00:00.000Z,2024-12-26T09:58:27.000Z,2025-01-02,userrpa,2025-01-03T03:58:13.580Z
284941,1057734,2025-12-30T08:35:42.000Z,1900-01-01T00:00:00.000Z,2025-12-29T11:10:24.000Z,2025-12-30T07:27:08.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-30T08:35:17.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-01-08,userrpa,2025-01-09T03:56:58.973Z
285241,1057697,2025-12-29T09:09:53.000Z,1900-01-01T00:00:00.000Z,2024-12-28T02:12:18.000Z,2024-12-28T07:09:40.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-01-09T14:57:46.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-01-09,userrpa,2025-01-10T03:57:31.153Z
285240,1057698,2025-12-29T09:09:39.000Z,1900-01-01T00:00:00.000Z,2024-12-28T02:07:52.000Z,2024-12-28T07:09:08.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-01-09T14:56:11.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-01-09,userrpa,2025-01-10T03:57:30.876Z
408106,1082584,2025-12-20T11:28:21.000Z,1900-01-01T00:00:00.000Z,2025-12-17T16:45:34.000Z,2025-12-18T13:25:27.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-18T10:13:24.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20,userrpa,2025-12-20T16:56:50.336Z
408124,1084099,2025-12-20T11:28:00.000Z,1900-01-01T00:00:00.000Z,2025-12-19T12:19:12.000Z,2025-12-19T12:47:38.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20,userrpa,2025-12-20T16:56:55.980Z
408114,1084748,2025-12-20T11:26:07.000Z,1900-01-01T00:00:00.000Z,2025-12-19T10:49:04.000Z,2025-12-20T11:25:48.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20T11:24:13.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20,userrpa,2025-12-20T16:56:52.853Z
408130,1084795,2025-12-20T10:48:47.000Z,1900-01-01T00:00:00.000Z,2025-12-19T09:26:14.000Z,2025-12-20T07:32:23.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-19T10:47:02.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20,userrpa,2025-12-20T16:56:57.843Z
408112,1084797,2025-12-20T10:48:22.000Z,1900-01-01T00:00:00.000Z,2025-12-19T09:38:33.000Z,2025-12-20T07:33:54.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-19T10:46:07.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20,userrpa,2025-12-20T16:56:52.213Z
408119,1084874,2025-12-20T08:37:39.000Z,1900-01-01T00:00:00.000Z,2025-12-18T15:39:48.000Z,2025-12-20T08:36:54.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20T08:36:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20,userrpa,2025-12-20T16:56:54.403Z
408116,1084879,2025-12-20T08:35:28.000Z,1900-01-01T00:00:00.000Z,2025-12-18T08:58:02.000Z,2025-12-19T13:30:56.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20T08:35:07.000Z,1900-01-01T00:00:00.000Z,1900-01-01T00:00:00.000Z,2025-12-20,userrpa,2025-12-20T16:56:53.476Z
