atc_numero,atclog_estado,atc_importeprove
1000018,Cotiz.Aceptada,0
1000027,Cotiz.Aceptada,0
1000030,Cotiz.Aceptada,2301
1000076,Cotiz.Aceptada,0
1000077,Cotiz.Aceptada,0
1000078,Cotiz.Aceptada,0
1000119,Cotiz.Aceptada,0
1000130,Cotiz.Aceptada,0
1000187,Cotiz.Aceptada,0
1000201,Cotiz.Aceptada,0
1000251,Cotiz.Aceptada,0
1000276,Cotiz.Aceptada,0
1000294,Cotiz.Aceptada,0
1000296,Cotiz.Aceptada,0
1000297,Cotiz.Aceptada,0
1000333,Cotiz.Aceptada,0
1000418,Cotiz.Aceptada,0
1000490,Cotiz.Aceptada,0
1000505,Cotiz.Aceptada,0
1000517,Cotiz.Aceptada,0
1000519,Cotiz.Aceptada,0
1000524,Cotiz.Aceptada,0
1000586,Cotiz.Aceptada,6008.72
1000597,Cotiz.Aceptada,0
1000632,Cotiz.Aceptada,0
1000691,Cotiz.Aceptada,0
1000692,Cotiz.Aceptada,0
1000699,Cotiz.Aceptada,0
1000700,Cotiz.Aceptada,0
1000727,Cotiz.Aceptada,0
1000772,Cotiz.Aceptada,1743.48
1000775,Cotiz.Aceptada,0
1000779,Cotiz.Aceptada,0
1000817,Cotiz.Aceptada,0
1000855,Cotiz.Aceptada,0
1000870,Cotiz.Aceptada,0
1000872,Cotiz.Aceptada,1006
1000932,Cotiz.Aceptada,0
1001003,Cotiz.Aceptada,0
1001009,Cotiz.Aceptada,0
1001010,Cotiz.Aceptada,0
1001033,Cotiz.Aceptada,0
1001117,Cotiz.Aceptada,0
1001166,Cotiz.Aceptada,0
1001176,Cotiz.Aceptada,0
1001180,Cotiz.Aceptada,0
1001368,Cotiz.Aceptada,0
1001547,Cotiz.Aceptada,0
1001627,Cotiz.Aceptada,0
1001761,Cotiz.Aceptada,0
