o_WORKORDERID,o_WONUM,o_STATUS,o_PARENT,o_SITEID,o_SLXCENTROOPER,o_DESCRIPTION,o_LOCATION,o_LOCDESC,o_ASSETNUM,o_ASSETDESC,o_WORKTYPE,o_SLXSUBTIPO,o_SLXTEMPORADA,o_SLXLOCCLASIF,o_SLXFAILGROUP,o_SLXFAILPROB,o_SLXFAILCAUSE,o_SLXFAILITEM,o_ASSETLOCPRIORITY,o_WOPRIORITY,o_SLXREPERCUSION,o_ISTASK,o_SLXESREG,o_SLXODMNUM,o_SLXPDNUM,o_JPNUM,o_PMNUM,o_TARGSTARTDATE,o_TARGCOMPDATE,o_SCHEDSTART,o_SCHEDFINISH,o_ACTSTART,o_ACTFINISH,o_ESTDUR,o_SLXACTDUR,o_SLXELEMENTOPEP,o_SLXCONTROLPEP,o_SLXTIPOIMPUTACION,o_SLXCUENTACONTABLE,o_SLXCENTROCOSTO,o_SLXOBRAENCURSO,o_SUPERVISOR,o_LEAD,o_REPORTEDBY,o_REPORTDATE,o_CHANGEDATE,o_OTconODM,t_PARENT,t_WONUM,t_TASKID,t_DESCRIPTION,t_ESTDUR,t_SLXACTDUR,t_SLXAVANCE,t_STATUS,t_SLXALMACEN,t_SLXFECHAREQ,t_VENDOR,t_TARGSTARTDATE,t_TARGCOMPDATE,t_SCHEDSTART,t_SCHEDFINISH,t_ACTSTART,t_ACTFINISH,t_HASLABOR,t_HASMATERIAL,t_HASSERVICE
249658,322660,CLOSE,,PLANTA,TCHD,CHD MP Mantenimiento compresor tornillo #5 motor,TCHD0501-0105,Compresor de Tornillo NH3 #5,300005019,"COMPRESOR DE TORNILLO _CFM, _PSI",MP,MP,CHDV2,CH-15,,,,,1,2,0,0,0,,,,,2201-10-22T08:00:00.000Z,,,,2021-12-15T12:44:57.260Z,2022-05-06T10:01:44.800Z,50,0,,,CEC,,3041000005,,OMONTENEGRO,,JCOTERA,2021-10-04T17:54:03.670Z,2022-05-06T10:02:31.506Z,NO,322660,322661,10,CHD MP Mantto compresor tornillo #5 motor,40,40,100,CLOSE,TCNO,2021-10-22T08:00:00.000Z,,2021-10-22T08:00:00.000Z,2021-10-31T18:00:00.000Z,2021-11-08T08:00:00.000Z,2021-11-16T17:00:00.000Z,2021-11-08T08:00:00.000Z,2021-11-13T17:00:00.000Z,0,0,1
377551,449260,CAN,,PESCA,T057,T57 SA_3A Mtto Tomas d7e fondo,TF01057-0701-04,Valvulas De Toma Fondo,,,MP,MP,CAR1,07,,,,,2,3,0,0,0,,,SATFOND500T,400000006083,2032-01-16T00:00:00.000Z,2032-01-16T00:00:00.000Z,,,,,0,0,,,CEC,,3023140008,,DBENAVIDES,,JMELENDEZ,2022-11-29T19:17:14.860Z,2025-06-03T14:53:49.940Z,NO,449260,449261,1,TXX SA_Mtto Valv. Toma de Mar ASTILLERO,56,0,0,CAN,,2032-01-16T00:00:00.000Z,,2032-01-16T00:00:00.000Z,2032-01-18T08:00:00.000Z,,,,,0,0,1
377551,449260,CAN,,PESCA,T057,T57 SA_3A Mtto Tomas d7e fondo,TF01057-0701-04,Valvulas De Toma Fondo,,,MP,MP,CAR1,07,,,,,2,3,0,0,0,,,SATFOND500T,400000006083,2032-01-16T00:00:00.000Z,2032-01-16T00:00:00.000Z,,,,,0,0,,,CEC,,3023140008,,DBENAVIDES,,JMELENDEZ,2022-11-29T19:17:14.860Z,2025-06-03T14:53:49.940Z,NO,449260,449262,2,TXX SA_3A Aplicación de Recubrimiento,16,0,0,CAN,,2032-01-16T00:00:00.000Z,,2032-01-16T00:00:00.000Z,2032-01-16T16:00:00.000Z,,,,,0,1,1
377548,449257,CAN,,PESCA,T057,T57 SA_3A Mtto Tomas d7e fondo,TF01057-0701-04,Valvulas De Toma Fondo,,,MP,MP,CAR1,07,,,,,2,3,0,0,0,,,SATFOND500T,400000006083,2029-01-16T00:00:00.000Z,2029-01-16T00:00:00.000Z,,,,,0,0,,,CEC,,3023140008,,DBENAVIDES,,JMELENDEZ,2022-11-29T19:17:13.326Z,2025-06-03T14:53:49.936Z,NO,449257,449258,1,TXX SA_Mtto Valv. Toma de Mar ASTILLERO,56,0,0,CAN,,2029-01-16T00:00:00.000Z,,2029-01-16T00:00:00.000Z,2029-01-18T08:00:00.000Z,,,,,0,0,1
377548,449257,CAN,,PESCA,T057,T57 SA_3A Mtto Tomas d7e fondo,TF01057-0701-04,Valvulas De Toma Fondo,,,MP,MP,CAR1,07,,,,,2,3,0,0,0,,,SATFOND500T,400000006083,2029-01-16T00:00:00.000Z,2029-01-16T00:00:00.000Z,,,,,0,0,,,CEC,,3023140008,,DBENAVIDES,,JMELENDEZ,2022-11-29T19:17:13.326Z,2025-06-03T14:53:49.936Z,NO,449257,449259,2,TXX SA_3A Aplicación de Recubrimiento,16,0,0,CAN,,2029-01-16T00:00:00.000Z,,2029-01-16T00:00:00.000Z,2029-01-16T16:00:00.000Z,,,,,0,1,1
384925,456586,CAN,,PESCA,T058,HALLADOR DE RED IT 56,TF01058-0606,Sistema de Izaje de Red,300036678,Hallador de Red IT 56,MP,MP,CAR1,06,,,,,1,3,0,0,0,,,FSHSIR240,FP58FSHSIR210,2028-12-15T00:00:00.000Z,2028-12-15T00:00:00.000Z,,,,,0,0,,,CEC,,3023140007,,NCOLLAZOS,,MTAPIA,2022-12-15T00:03:01.133Z,2025-06-03T14:54:06.993Z,NO,456586,456587,1,PM T000 SH 2100C HALLADOR DE RED IT 56,360,0,0,CAN,,2028-12-15T00:00:00.000Z,,2028-12-15T00:00:00.000Z,2028-12-30T00:00:00.000Z,,,,,0,0,1
80503,153593,CLOSE,,PESCA,T058,T58 SF DESCONEXI ELEC BBA CONDENSO RSW-VG - 200216155318/T058/SF,TF01058-0813,Manifolds y Líneas de Agua RSW (NO USAR),300032689,Bomba Centrifuga 13.2 kW  235 m3/h,MC,MCP,CHIN2,08,MECANIC,FRACELE,,,2,1,2,0,0,,200216155318,,,2028-02-16T15:46:42.000Z,,,,2020-02-16T15:56:17.923Z,2020-02-16T15:56:24.333Z,10,0,,,CEC,,3023140007,,NCOLLAZOS,,NCOLLAZOS,2020-02-16T15:58:04.000Z,2023-08-29T10:47:56.926Z,NO,153593,153594,10,T58 SF DESCONEXI ELEC BBA CONDENSO RSW-VG - 200216155318/T058/SF,0,0,100,COMP,TVEG,2028-02-16T15:46:42.000Z,2054799624,,,,,2020-02-16T15:56:18.706Z,2020-02-16T15:56:25.140Z,0,0,1
384919,456580,CAN,,PESCA,T058,HALLADOR DE RED IT 56,TF01058-0606,Sistema de Izaje de Red,300036678,Hallador de Red IT 56,MP,MP,CAR1,06,,,,,1,3,0,0,0,,,FSHSIR220,FP58FSHSIR210,2027-06-15T00:00:00.000Z,2027-06-15T00:00:00.000Z,,,,,0,0,,,CEC,,3023140007,,NCOLLAZOS,,MTAPIA,2022-12-15T00:02:57.036Z,2025-06-03T14:54:06.980Z,NO,456580,456581,1,PM T000 SH 525C HALLADOR DE RED IT 56,120,0,0,CAN,,2027-06-15T00:00:00.000Z,,2027-06-15T00:00:00.000Z,2027-06-20T00:00:00.000Z,,,,,0,1,1
691615,756821,APPR,,PLANTA,TCHI,TCHI_Mantto Quemador y Calibrar Caldera #4,TCHI0201-0111,Caldero #4,300021085,CALDERO DE VAPOR 1000 BHP; 125 PSI,MP,MP,CHIV1,11,,,,,2,2,0,0,0,,,CH11CALC1200CC-06M,,2026-12-25T00:00:00.000Z,,,,,,16,0,PMP26/01-TCHI-02-11-NO,PMP26/01-TCHI-02,CEC,,3032192001,,DLOPEZ,AORTIZ,AORTIZ,2025-12-15T16:04:07.830Z,2025-12-15T16:04:45.850Z,NO,756821,756822,10,Mantto Quemador y Calibrar Caldera #4,16,32,0,APPR,TCHI,2026-12-25T00:00:00.000Z,2055408726,,,,,,,0,0,1
657888,724067,CAN,,PESCA,P023,VEDA2 PANGA MOTOR CAT. 3304 Reparación de motor media vida-250722205044/P023,TF0523-03,MOTOR PRINCIPAL Y CAJA,,,MP,COND,VEDA2,03,,,,,2,2,3,0,0,,250722205044,,,2026-10-06T20:50:00.000Z,,,,,,0,0,,,CEC,,3023130007,,FJAIMES,,AANTAURCO,2025-07-22T20:50:44.000Z,2025-09-29T09:45:36.533Z,NO,724067,724068,10,P023 MC MANTENIMIENTO DE MOTOR,0,0,0,CAN,TCNO,2026-10-06T20:50:00.000Z,0000003268,2025-07-22T20:50:00.000Z,,,,,,0,0,1
644169,710363,CAN,,PLANTA,TMAT,TMAT [Rev22] NO Mantenimiento Tolva de Pesaje #1 LS,TMAT0102-0301,Tolva de Pesaje #1,300009324,TOLVA DE PESAJE 2000KG,MP,MP,,02,,,,,2,3,0,0,0,,,GG02TLVRICNOMP-06M,400000001394,2026-06-25T00:00:00.000Z,2026-06-25T08:00:00.000Z,,,,,8,0,,,CEC,,3032182001,,,WILTORRES,WILTORRES,2025-06-23T10:11:10.816Z,2025-06-23T10:13:14.096Z,NO,710363,710364,10,Serv. Mantto Normativo Preventivo Tolva (6M),8,0,0,CAN,,2026-06-25T00:00:00.000Z,,2026-06-25T00:00:00.000Z,2026-06-25T08:00:00.000Z,,,,,0,0,1
682859,748067,CAN,,PLANTA,TMAT,FS20 NO [Rev22] Sub-Estacion,TMAT0202-0101,Celda Eléctrica Principal,300020677,CELDA DE ENTRADA _KV (ALTA TENSION),MP,MP,,12,,,,,1,3,0,0,0,,,MASSEE01-10-10,200000014390,2026-05-27T00:00:00.000Z,2026-05-27T16:00:00.000Z,,,,,16,0,,,CEC,,3032182001,,,,FGARAY,2025-11-17T13:38:35.446Z,2025-11-17T13:41:02.263Z,NO,748067,748068,10,Mantenimiento Preventivo Subestacion(6M),8,0,0,CAN,,2026-05-27T00:00:00.000Z,,2026-05-27T00:00:00.000Z,2026-05-27T08:00:00.000Z,,,,,0,0,1
682859,748067,CAN,,PLANTA,TMAT,FS20 NO [Rev22] Sub-Estacion,TMAT0202-0101,Celda Eléctrica Principal,300020677,CELDA DE ENTRADA _KV (ALTA TENSION),MP,MP,,12,,,,,1,3,0,0,0,,,MASSEE01-10-10,200000014390,2026-05-27T00:00:00.000Z,2026-05-27T16:00:00.000Z,,,,,16,0,,,CEC,,3032182001,,,,FGARAY,2025-11-17T13:38:35.446Z,2025-11-17T13:41:02.263Z,NO,748067,748069,20,Mantto de línea de media tensión (6M),8,0,0,CAN,,2026-05-27T00:00:00.000Z,,2026-05-27T00:00:00.000Z,2026-05-27T08:00:00.000Z,,,,,0,0,1
692741,757947,CAN,,PESCA,T059,T59 SF_1A Limpiar Chiller Br ZFC 1608E,TF01059-0803,Chiller Lado Babor,300013835,Chiller Br 100 TR,MP,MP,CAR1,08,,,,,1,3,0,0,0,,,FCHILLER5,FP59FCHILLER5CE,2026-05-17T00:00:00.000Z,2026-05-17T00:00:00.000Z,,,,,0,0,F4A26/09-T059-EPPM02SFCA,F4A26/09-T059-EPPM02SF,CEC,,3023140006,,,,JMELENDEZ,2025-12-16T15:19:25.770Z,2025-12-16T15:35:56.766Z,NO,757947,757948,1,T59 SF_1A Limpiar Chiller Br ZFC 1608E,16,0,0,CAN,TCHI,2026-05-17T00:00:00.000Z,2060404717,2026-05-17T00:00:00.000Z,2026-05-17T16:00:00.000Z,2026-05-17T00:00:00.000Z,2026-05-17T16:00:00.000Z,,,0,1,1
681582,746790,CAN,,PLANTA,TVEG,TVEG [Rev20] NO MP Codificador de Sacos #2,TVEG0108-0402,Codificadora #2,300039006,CODIFICADORA DE SACOS IMAJE JAIME1000SB,MP,MP,CHIV1,08,,,,,2,3,0,0,0,,,VE08COD9040SE-6M,200000023062,2026-05-13T00:00:00.000Z,2026-05-13T04:00:00.000Z,,,,,4,0,PMP26/01-TVEG-02-08-NO,PMP26/01-TVEG-02,CEC,,3032132001,,MGRANDA,FGARAY,FGARAY,2025-11-13T14:21:29.783Z,2025-11-13T14:31:07.513Z,NO,746790,746791,10,NO Serv. Mantto Codificadora Imaje 9040,4,0,0,CAN,,2026-05-13T00:00:00.000Z,,2026-05-13T00:00:00.000Z,2026-05-13T04:00:00.000Z,,,,,0,0,1
692829,758035,CAN,,PESCA,T059,T59 SF_1A Limpiar Condensador ZC-1810,TF01059-0807,CONDENSADOR,300011210,Condensador tubular,MP,MP,CAR1,08,,,,,1,3,0,0,0,,,FCONDENS3,,2026-05-06T16:43:21.000Z,,,,,,0,0,F4A26/09-T059-EPPM02SFCA,F4A26/09-T059-EPPM02SF,CEC,,3023140006,,,,TCURO,2025-12-16T16:43:20.973Z,2025-12-16T16:47:09.146Z,NO,758035,758036,1,T59 SF_1A Limpiar Condensador ZC-1810,16,0,0,CAN,TCHI,2026-05-06T16:43:21.000Z,2060404717,,,,,,,0,0,1
692829,758035,CAN,,PESCA,T059,T59 SF_1A Limpiar Condensador ZC-1810,TF01059-0807,CONDENSADOR,300011210,Condensador tubular,MP,MP,CAR1,08,,,,,1,3,0,0,0,,,FCONDENS3,,2026-05-06T16:43:21.000Z,,,,,,0,0,F4A26/09-T059-EPPM02SFCA,F4A26/09-T059-EPPM02SF,CEC,,3023140006,,,,TCURO,2025-12-16T16:43:20.973Z,2025-12-16T16:47:09.146Z,NO,758035,758039,10,tarea 2,0,0,0,CAN,TCHI,2026-05-06T16:43:21.000Z,2060404717,2026-05-06T16:43:21.000Z,,,,,,0,0,1
692856,758062,APPR,,PESCA,T059,T59 SF_1A Calibracion Detector Amoniaco (2 Unid.),TF01059-0816,Controles  electrico  y  electronico,300032371,SISTEMA DETECTOR DE AMONIACO (SDA),MP,MP,CAR1,08,,,,,1,3,0,0,0,,,FDETAMON1,FP59FDETAMON1,2026-03-19T00:00:00.000Z,2026-03-30T00:00:00.000Z,,,,,0,0,F4A26/09-T059-EPPM02SFNO,F4A26/09-T059-EPPM02SF,CEC,,3023140006,,,,JMELENDEZ,2025-12-16T16:56:59.690Z,2025-12-16T17:02:39.823Z,NO,758062,758063,1,T59 SF_1A Calibracion Detector Amoniaco (2 Unid.),32,0,0,APPR,TCHI,2026-03-19T00:00:00.000Z,2060404717,2026-01-19T00:00:00.000Z,2026-01-20T08:00:00.000Z,2026-01-19T00:00:00.000Z,2026-01-20T08:00:00.000Z,,,0,1,1
684123,749330,APPR,,PESCA,T041,T41 SF Mtto 2000H Compresor Vilter Er (2),TF0141-0802,Compresor de frio # 2,400032730,Compresor de Pistones 2 (Er),MP,MP,VEDA1,08,,,,,1,3,0,0,0,,,FRECIPAM810,400000006595,2026-03-16T00:00:00.000Z,2026-04-24T00:00:00.000Z,,,,,0,0,F4A26/01-T041-EPPM02SFHO,F4A26/01-T041-EPPM02SF,CEC,,3023140004,,,,JMELENDEZ,2025-11-21T12:11:35.930Z,2025-11-21T12:20:47.213Z,NO,749330,749331,1,T41 SF Mtto 2000H Comp.Rec Vilter 458 XL,16,0,0,APPR,TCNO,2026-03-16T00:00:00.000Z,2060471752,2026-04-24T00:00:00.000Z,2026-04-24T16:00:00.000Z,2026-04-24T00:00:00.000Z,2026-04-24T16:00:00.000Z,,,0,1,1
