SLXHESID,CHANGEDATE,SITEID,HESNUM,DESCRIPTION,STATUS,STATUSDATE,CHANGEBY,WONUM,TASKID,TASKWONUM,SUPERVISOR,ATCNUM,HESSAPNUM,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
81567,2025-12-20T22:48:54.430Z,PESCA,82549,T310 SE PM_1A Rectificador Eltek 8KW,WAPPR,2024-04-25T16:21:24.440Z,MAXADMIN,337063,1,337064,,47276,,,,,,,,,,
126442,2025-12-20T22:48:54.386Z,PESCA,119885,"T71 SIN- Servicio de prueba vibracional de motor, caja y propulsión",WAPPR,2025-12-17T13:32:39.680Z,MAXADMIN,750634,10,750635,JEREYNA,1084745,,,,,,,,,,
126532,2025-12-20T22:48:54.353Z,PESCA,119975,Sin T41: Calderería base enfriador placas.,WAPPR,2025-12-17T16:58:48.600Z,MAXADMIN,756795,10,756796,JPAZ,1084306,,,,,,,,,,
126359,2025-12-20T22:48:54.316Z,PESCA,119802,Sin T427: Mantto. sistema eléctrico afectado.,WAPPR,2025-12-17T09:13:17.006Z,MAXADMIN,756390,10,756391,JPAZ,1084258,,,,,,,,,,
126365,2025-12-20T22:48:54.283Z,PESCA,119808,T427: Calderería adicional.,WAPPR,2025-12-17T09:19:10.153Z,MAXADMIN,743740,20,743742,JPAZ,1084136,,,,,,,,,,
125946,2025-12-20T22:48:54.246Z,PESCA,119389,Sin T41: Habilitar cartuchos p/bombas hidráulicas.,WAPPR,2025-12-15T01:55:02.336Z,MAXADMIN,756063,10,756066,JPAZ,1084102,,,,,,,,,,
126714,2025-12-20T22:48:54.213Z,PESCA,120157,T054 MP LIMPIEZA DE CARTER Y FLUSHING MOTOR PRINCIPAL,WAPPR,2025-12-20T11:27:23.886Z,MAXADMIN,756178,10,756179,DBENAVIDES,1084099,,,,,,,,,,
126035,2025-12-20T22:48:54.176Z,PESCA,119478,requiere cambio de.turbo compresor por rotura de turbo-240111185428/T056,WAPPR,2025-12-15T12:49:25.073Z,MAXADMIN,752541,10,752542,DBENAVIDES,1084076,,,,,,,,,,
126550,2025-12-20T22:48:54.140Z,PESCA,119993,Sin T41: Instalación tuberías p/enfriador placas.,WAPPR,2025-12-17T18:04:03.510Z,MAXADMIN,751194,20,753543,JPAZ,1084074,,,,,,,,,,
125983,2025-12-20T22:48:54.090Z,PESCA,119426,Sin T41: Maniobras p/enfriador placas.,WAPPR,2025-12-15T09:53:10.183Z,MAXADMIN,751194,10,751195,JPAZ,1084073,,,,,,,,,,
