WPLABORID,CHANGEDATE,SITEID,PARENT,TASKID,WONUM,CRAFT,SKILLLEVEL,QUANTITY,LABORCODE,LABORHRS,STANDARDRATE,LINECOST,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
66643,2025-12-20T05:22:16.760Z,PESCA,744508,10,744509,,,1,HDELACRUZ,8,0,0,,,,,,,,,
66642,2025-12-20T05:22:14.223Z,PESCA,744500,10,744501,,,1,HDELACRUZ,8,0,0,,,,,,,,,
66746,2025-12-20T05:21:40.636Z,PESCA,743711,10,743712,,,1,RGUERRERO,0,0,0,,,,,,,,,
66624,2025-12-20T05:20:34.756Z,PESCA,742695,10,742696,,,1,HDELACRUZ,8,0,0,,,,,,,,,
66717,2025-12-19T21:42:12.676Z,PLANTA,751306,10,751307,LUBRICADOR,NIVEL 1,1,,32.5,10,325,,,,,,,,,
67077,2025-12-19T18:26:25.046Z,PESCA,759696,10,759697,,,1,CVALENZUELA,0,0,0,,,,,,,,,
67075,2025-12-19T12:38:05.206Z,PLANTA,759628,10,759629,OPERADOR,NIVEL 4,1,,4,10,40,,,,,,,,,
67074,2025-12-19T12:26:51.116Z,PLANTA,759620,10,759621,OPERADOR,NIVEL 4,1,,4,10,40,,,,,,,,,
67073,2025-12-19T12:11:12.370Z,PLANTA,759606,10,759607,OPERADOR,NIVEL 4,2,,4,10,80,,,,,,,,,
67072,2025-12-19T12:08:36.493Z,PLANTA,759604,10,759605,OPERADOR,NIVEL 4,2,,4,10,80,,,,,,,,,
67071,2025-12-19T11:59:22.303Z,PLANTA,759593,10,759594,OPERADOR,NIVEL 4,2,,4,10,80,,,,,,,,,
67070,2025-12-19T11:47:00.226Z,PLANTA,759587,10,759588,OPERADOR,NIVEL 4,2,,16,10,320,,,,,,,,,
67069,2025-12-19T11:43:44.970Z,PLANTA,759585,10,759586,OPERADOR,NIVEL 4,2,,4,10,80,,,,,,,,,
67068,2025-12-19T11:41:54.563Z,PLANTA,759583,10,759584,OPERADOR,NIVEL 4,2,,4,10,80,,,,,,,,,
67067,2025-12-19T11:41:16.186Z,PLANTA,759581,10,759582,OPERADOR,NIVEL 4,2,,24,10,480,,,,,,,,,
66894,2025-12-19T09:03:40.960Z,PLANTA,758060,10,758061,OPERADOR,NIVEL 4,2,,16,10,320,,,,,,,,,
67065,2025-12-19T08:49:30.696Z,PLANTA,759215,10,759216,OPERADOR,NIVEL 4,1,,4,10,40,,,,,,,,,
67064,2025-12-19T08:46:44.110Z,PLANTA,759211,10,759212,OPERADOR,NIVEL 4,1,,4,10,40,,,,,,,,,
67063,2025-12-19T08:44:45.336Z,PLANTA,759201,10,759202,OPERADOR,NIVEL 4,2,,4,10,80,,,,,,,,,
67062,2025-12-19T08:43:38.046Z,PLANTA,759199,10,759200,OPERADOR,NIVEL 4,2,,4,10,80,,,,,,,,,
66893,2025-12-19T08:40:30.256Z,PLANTA,758056,10,758057,OPERADOR,NIVEL 4,1,,4,10,40,,,,,,,,,
66890,2025-12-19T08:16:14.423Z,PLANTA,758050,10,758051,OPERADOR,NIVEL 4,2,,32,10,640,,,,,,,,,
66892,2025-12-18T17:13:57.210Z,PLANTA,758054,10,758055,OPERADOR,NIVEL 4,2,,16,10,320,,,,,,,,,
66891,2025-12-18T17:12:12.663Z,PLANTA,758052,10,758053,OPERADOR,NIVEL 4,2,,16,10,320,,,,,,,,,
66889,2025-12-18T16:41:35.706Z,PLANTA,758048,10,758049,OPERADOR,NIVEL 4,2,,32,10,640,,,,,,,,,
