WPITEMID,CHANGEDATE,SITEID,PARENT,TASKID,WONUM,ITEMNUM,DESCRIPTION,CENTROLOGISTICO,REQUIREDATE,REQUESTBY,SLXRESNUM,ITEMQTY,ISSUEUNIT,UNITCOST,LINECOST,VENDOR,SLXMONEDA,SLXVENDORUNITCOST,SLXVENDORLINECOST,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
742782,2025-12-19T08:16:14.423Z,PLANTA,758050,10,758051,34003004,KIT SERV INTERMEDIO #549208-03,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175574-10-0,1,UN,1628,1628,0000038907,USD,1628,1628,,,,,,,,,
742784,2025-12-19T08:16:14.423Z,PLANTA,758050,10,758051,34002984,KIT SERV MAYOR #549223-03,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175574-20-0,1,UN,4357,4357,0000038907,USD,4357,4357,,,,,,,,,
742786,2025-12-19T08:16:14.423Z,PLANTA,758050,10,758051,34005063,HEIGHT ADJUSTING RING #539244 02,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175574-30-0,3,UN,104,312,0000038907,USD,104,312,,,,,,,,,
742788,2025-12-19T08:16:14.423Z,PLANTA,758050,10,758051,34003916,KIT OWM-TWIN 240 #558446-01,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175574-40-0,1,UN,760,760,0000038907,USD,760,760,,,,,,,,,
742790,2025-12-19T08:16:14.423Z,PLANTA,758050,10,758051,34005176,O-RING #223406 36,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175574-50-0,1,UN,3.7,3.7,0000038907,USD,3.7,3.7,,,,,,,,,
742792,2025-12-19T08:16:14.423Z,PLANTA,758050,10,758051,34004751,CORRUGATED SHIM #55421602,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175574-60-0,1,JGO,75,75,0000038907,USD,75,75,,,,,,,,,
730230,2025-12-18T16:42:35.630Z,PLANTA,747127,10,747133,34005063,HEIGHT ADJUSTING RING #539244 02,TMSU,2025-11-21T11:06:50.000Z,BODAR,20170856-10-0,3,UN,98,294,0000038907,USD,98,294,,,,,,,,,
730234,2025-12-18T16:42:35.630Z,PLANTA,747127,10,747133,34002984,MAJOR KIT #549223-03,TMSU,2025-11-21T11:06:50.000Z,BODAR,20170856-20-0,1,UN,4357,4357,0000038907,USD,4357,4357,,,,,,,,,
730251,2025-12-18T16:42:35.630Z,PLANTA,747127,10,747133,34003004,INTERMEDIATE SERVICE KIT #549208-03,TMSU,2025-11-21T11:06:50.000Z,BODAR,20170856-30-0,1,UN,1628,1628,0000038907,USD,1628,1628,,,,,,,,,
730254,2025-12-18T16:42:35.630Z,PLANTA,747127,10,747133,34002985,KIT OWMC #558446-05,TMSU,2025-11-21T11:06:50.000Z,BODAR,20170856-40-0,1,UN,1030,1030,0000038907,USD,1030,1030,,,,,,,,,
712419,2025-12-18T16:42:26.543Z,PLANTA,730360,10,730361,33061994,KIT P/CAJA REDUCT.EW MC3PLSF08,TMSU,2025-09-17T10:11:00.000Z,BODAR,20165021-10,1,UN,1090.48,1090.48,0000010159,USD,1090.48,1090.48,,,,,,,,,
710774,2025-12-18T16:42:18.646Z,PLANTA,727631,10,727637,33061932,KIT P/ACOPL. HID. NEW TURBOSTAR,TMSU,2025-09-12T11:27:05.000Z,BODAR,20164512-10,1,UN,1040.1,1040.1,0000010159,USD,1040.1,1040.1,,,,,,,,,
742623,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34005159,O-RING #1012.101.60,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-90-0,2,UN,28.33,56.66,2060832031,USD,28.33,56.66,,,,,,,,,
742636,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34003526,SELF-ALIGN ROLLER BEARING #1014.240.00,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-150-0,2,UN,2420.29,4840.58,2060832031,USD,2420.29,4840.58,,,,,,,,,
742639,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34005397,GUIDE RING #1019.301.00,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-160-0,2.6,M,295.92,769.39,2060832031,USD,295.92,769.39,,,,,,,,,
742625,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34003519,O-RING #1012.271.62,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-100-0,4,UN,41.2,164.8,2060832031,USD,41.2,164.8,,,,,,,,,
742627,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34004203,O-RING #1012.275.60,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-110-0,1,UN,114.02,114.02,2060832031,USD,114.02,114.02,,,,,,,,,
742629,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34003521,O-RING #1012.277.60,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-120-0,1,UN,31.93,31.93,2060832031,USD,31.93,31.93,,,,,,,,,
742631,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34004204,O-RING #1012.278.60,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-130-0,1,UN,26.68,26.68,2060832031,USD,26.68,26.68,,,,,,,,,
742634,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34004205,O-RING #1012.279.60,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-140-0,1,UN,30.19,30.19,2060832031,USD,30.19,30.19,,,,,,,,,
742641,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,30000925,GRASA RENOLIT HLT 2 BALDE 5KG,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-170-0,1,BAL,428.58,428.58,2060832031,USD,428.58,428.58,,,,,,,,,
742643,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34003544,RASCADOR REC. #2919.054.01,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-180-0,6,UN,146.26,877.56,2060832031,USD,146.26,877.56,,,,,,,,,
742603,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34003206,HEAD CAP SCREW #0037.068.41,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-10-0,6,UN,6.59,39.54,2060832031,USD,6.59,39.54,,,,,,,,,
742607,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34005048,HEAD CAP SCREW #0037.080.41,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-20-0,4,UN,7,28,2060832031,USD,7,28,,,,,,,,,
742611,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34003212,HEAD CAP SCREW #0037.111.41,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-30-0,4,UN,11.43,45.72,2060832031,USD,11.43,45.72,,,,,,,,,
742613,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34005058,HEAD CAP SCREW #0037.144.41,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-40-0,6,UN,14.52,87.12,2060832031,USD,14.52,87.12,,,,,,,,,
742615,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34005038,GREASE NIPLE #0122.002.41,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-50-0,1,UN,28.53,28.53,2060832031,USD,28.53,28.53,,,,,,,,,
742617,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34004696,GREASE NIPLE #0122.003.41,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-60-0,1,UN,50.88,50.88,2060832031,USD,50.88,50.88,,,,,,,,,
742619,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34003516,LAMELLAR RING 1005-109-40,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-70-0,1,UN,460.95,460.95,2060832031,USD,460.95,460.95,,,,,,,,,
742621,2025-12-18T15:52:41.630Z,PLANTA,758560,10,758561,34005157,O-RING #1012.004.60,TMSU,2026-02-09T08:00:00.000Z,LUSANCHEZ,20175538-80-0,1,UN,23.69,23.69,2060832031,USD,23.69,23.69,,,,,,,,,
715922,2025-12-18T11:30:09.913Z,PLANTA,733740,10,733741,34003004,INTERMEDIATE SERVICE KIT #549208-03,TCNO,2025-10-13T08:00:00.000Z,LUSANCHEZ,20166197-40,1,UN,1628,1628,0000038907,USD,1628,1628,,,,,,,,,
715924,2025-12-18T11:30:09.913Z,PLANTA,733740,10,733741,34002985,KIT OWMC #558446-05,TCNO,2025-10-13T08:00:00.000Z,LUSANCHEZ,20166197-30,1,UN,400,400,0000038907,USD,400,400,,,,,,,,,
715925,2025-12-18T11:30:09.913Z,PLANTA,733740,10,733741,34005176,O-RING #223406 36,TCNO,2025-10-13T08:00:00.000Z,LUSANCHEZ,20166197-20,1,UN,3.7,3.7,0000038907,USD,3.7,3.7,,,,,,,,,
715926,2025-12-18T11:30:09.913Z,PLANTA,733740,10,733741,34004751,CORRUGATED SHIM #55421602,TCNO,2025-10-13T08:00:00.000Z,LUSANCHEZ,20166197-10,1,JGO,75,75,0000038907,USD,75,75,,,,,,,,,
697117,2025-12-18T10:14:19.500Z,PLANTA,712122,10,712123,34002432,MAJOR KIT FOR CONVEYOR BRGS#6120.9798-31,TVEG,2025-08-04T08:00:00.000Z,LUSANCHEZ,20161162-60,1,UN,1931.03,1931.03,2010008638,USD,1931.03,1931.03,,,,,,,,,
697118,2025-12-18T10:14:19.500Z,PLANTA,712122,10,712123,34002433,MAJOR KIT FOR MAIN BRGS #6123.9787-31,TVEG,2025-08-04T08:00:00.000Z,LUSANCHEZ,20161162-50,1,UN,1931.03,1931.03,2010008638,USD,1931.03,1931.03,,,,,,,,,
697119,2025-12-18T10:14:19.500Z,PLANTA,712122,10,712123,34002813,RECTANGULAR RING #190604,TVEG,2025-08-04T08:00:00.000Z,LUSANCHEZ,20161162-40,1,UN,4.68,4.68,2010008638,USD,4.68,4.68,,,,,,,,,
697120,2025-12-18T10:14:19.500Z,PLANTA,712122,10,712123,34002939,LOCK NUT #6119.4340-18,TVEG,2025-08-04T08:00:00.000Z,LUSANCHEZ,20161162-30,1,UN,24.29,24.29,2010008638,USD,24.29,24.29,,,,,,,,,
697121,2025-12-18T10:14:19.500Z,PLANTA,712122,10,712123,34004749,KIT CJ. 2.5 KNM #6121.0508-30,TVEG,2025-08-04T08:00:00.000Z,LUSANCHEZ,20161162-20,1,UN,1194.5,1194.5,2010008638,USD,1194.5,1194.5,,,,,,,,,
697122,2025-12-18T10:14:19.500Z,PLANTA,712122,10,712123,34021031,MERETA 320 GEAR OIL 4L #6120367110,TVEG,2025-08-04T08:00:00.000Z,LUSANCHEZ,20161162-10,1,UN,162.04,162.04,2010008638,USD,162.04,162.04,,,,,,,,,
729491,2025-12-10T23:27:14.586Z,PLANTA,746284,10,746285,33062699,CABLE P/FLUJOMETRO INSER EUROMAG C0/C22,TVEG,2025-11-30T00:00:00.000Z,AORTIZ,20170566-10-0,1,M,255,255,2060295683,USD,255,255,,,,,,,,,
690098,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34003131,SELLO EJE CENTRAL 10035,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-20,1,UN,58.65,58.65,2045891615,USD,58.65,58.65,,,,,,,,,
690101,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34003080,SEAL DOG FEED 10077,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-30,1,UN,55.25,55.25,2045891615,USD,55.25,55.25,,,,,,,,,
690103,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34020997,SELLO DE PALANCAS #31014,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-40,1,UN,68.85,68.85,2045891615,USD,68.85,68.85,,,,,,,,,
690105,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34020995,KIT DE EMPAQUETADURAS #10099,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-50,1,UN,65.45,65.45,2045891615,USD,65.45,65.45,,,,,,,,,
690107,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34002540,FILTRO 15054,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-60,1,UN,14.45,14.45,2045891615,USD,14.45,14.45,,,,,,,,,
690109,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34003736,KNIFE MOVING STD #31029,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-70,1,UN,30.6,30.6,2045891615,USD,30.6,30.6,,,,,,,,,
690111,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34003735,KNIFE STATIONARY-STD #31032,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-80,1,UN,24.65,24.65,2045891615,USD,24.65,24.65,,,,,,,,,
690113,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34020996,RESORTE DE CUCHILLAS #10089,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-90,3,UN,11.9,35.7,2045891615,USD,11.9,35.7,,,,,,,,,
690184,2025-12-02T18:34:56.646Z,PLANTA,704208,10,704209,34020998,TORNILLOS VARIOS #SS64099,TMAT,2025-06-11T00:00:00.000Z,BODAR,20158796-220,9,UN,2.55,22.95,2045891615,USD,2.55,22.95,,,,,,,,,
