WPITEMID,CHANGEDATE,SITEID,PARENT,TASKID,WONUM,ITEMNUM,DESCRIPTION,LOCATION,REQUIREDATE,REQUESTBY,SLXRESNUM,ITEMQTY,ISSUEUNIT,UNITCOST,LINECOST,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
743262,2025-12-20T22:19:45.390Z,PLANTA,759738,10,759739,34002854,SEAL RING #543170 01,TVEG,2025-12-19T21:25:00.000Z,JPLASENCIA,39072957-1-0,1,UN,369.61,369.61,,,,,,,,,
743421,2025-12-20T18:49:27.566Z,PESCA,759919,10,759920,BSU-700061,HERAMIENTAS Y ACCESORIOS,TCNO,2025-12-23T00:00:00.000Z,YIZAGUIRRE,39073246-1-0,1,UN,0,0,,,,,,,,,
743408,2025-12-20T18:11:20.376Z,PLANTA,759903,10,759904,31008564,"ANILLO PRES.INOX.3/4""",TCHI,2025-12-07T18:07:51.000Z,MLEZAMA,39073243-1-0,1,UN,0.23,0.23,,,,,,,,,
743402,2025-12-20T18:08:09.893Z,PLANTA,759903,10,759904,33038277,"SELLO MEC.VITON SI-SI 1 1/8"" T/21",TCHI,2025-12-07T18:07:51.000Z,MLEZAMA,,1,UN,0,0,,,,,,,,,
743403,2025-12-20T18:08:09.893Z,PLANTA,759903,10,759904,33041122,RODAMIENTO 6307 C3,TCHI,2025-12-07T18:07:51.000Z,MLEZAMA,,1,UN,7.25,7.25,,,,,,,,,
743404,2025-12-20T18:08:09.893Z,PLANTA,759903,10,759904,33041163,RODAMIENTO 7307 BECBM,TCHI,2025-12-07T18:07:51.000Z,MLEZAMA,,1,UN,0,0,,,,,,,,,
743405,2025-12-20T18:08:09.893Z,PLANTA,759903,10,759904,31012490,"PERNO HEX.INOX.3/4""X7""",TCHI,2025-12-07T18:07:51.000Z,MLEZAMA,,1,UN,4.31,4.31,,,,,,,,,
743406,2025-12-20T18:08:09.893Z,PLANTA,759903,10,759904,31014743,"TUERCA INOX.3/4""",TCHI,2025-12-07T18:07:51.000Z,MLEZAMA,,1,UN,0.72,0.72,,,,,,,,,
743407,2025-12-20T18:08:09.893Z,PLANTA,759903,10,759904,31008511,"ANILLO PLANO INOX.3/4""",TCHI,2025-12-07T18:07:51.000Z,MLEZAMA,,1,UN,0.22,0.22,,,,,,,,,
743391,2025-12-20T17:53:25.346Z,PLANTA,759895,10,759896,31013867,SOLDADURA INOX.AW E308L-16 2.50MM,TCHI,2025-12-20T17:51:45.000Z,MLEZAMA,39073235-1-0,2,KG,16.61,33.22,,,,,,,,,
743382,2025-12-20T17:24:15.956Z,PESCA,759892,10,759893,33035561,O-RING VITON Ø6.00XØ242.00MM 1-1610-02-3,TCHI,2025-12-25T09:00:00.000Z,YIZAGUIRRE,,1,UN,0,0,,,,,,,,,
743378,2025-12-20T17:10:27.883Z,PLANTA,751081,10,751082,33032448,FAJA 5VX1500,TCHI,2025-12-20T14:09:04.000Z,GROBLES,39073189-1-0,6,UN,0,0,,,,,,,,,
743376,2025-12-20T16:54:56.556Z,PESCA,759886,10,759887,31008402,ANCOOL 4700M BALDE 5GL,TCNO,2025-12-27T16:11:00.000Z,EASMAT,39073184-1-0,1,UN,127.24,127.24,,,,,,,,,
743342,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,33059393,PILA ALCALINA TIPO AAA,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-1-0,12,UN,0.69,8.28,,,,,,,,,
743344,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,32005523,BOLIGRAFO PTA.FINA AZUL,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-2-0,4,UN,0.11,0.44,,,,,,,,,
743350,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,33031182,"CINTA PETROWRAPE 2""",TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-5-0,40,M,2.16,86.4,,,,,,,,,
743352,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31013761,"RODILLO P/PINTAR 3""",TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-6-0,3,UN,1.47,4.41,,,,,,,,,
743354,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31015439,"CINTA TEFL.1/2""",TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-7-0,12,ROL,0.25,3,,,,,,,,,
743358,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31015444,SILICONA ROJA,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-9-0,3,UN,4.05,12.15,,,,,,,,,
743356,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31032188,CINTA AISLANTE NEGRA 600V-33+ 3M,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-8-0,4,ROL,9.02,36.08,,,,,,,,,
743360,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31011265,LIMPIACONTACTOS ELECTRICOS/ELECT.,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-10-0,2,UN,7.4,14.8,,,,,,,,,
743362,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31029214,DILUYENTE EPOXICO NRO.37 JOTUN,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-11-0,3,UN,9.99,29.97,,,,,,,,,
743364,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31013880,SOLDIMIX 10 MINUTOS,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-12-0,3,UN,1.99,5.97,,,,,,,,,
743366,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31015382,"NIPLE INOX.NPT 1/2""X2""",TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-13-0,6,UN,0.7,4.2,,,,,,,,,
743368,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31015378,"NIPLE INOX.1""X2""",TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-14-0,6,UN,1.51,9.06,,,,,,,,,
743370,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,33042416,FAJA V B59,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-15-0,3,UN,42.64,127.92,,,,,,,,,
743372,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,33061324,FOCO AHORRADOR STD.LUZ DIA  20W 220V,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-16-0,12,UN,0,0,,,,,,,,,
743374,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,31015587,"ARCO SIERRA 12""",TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-17-0,1,UN,5.4,5.4,,,,,,,,,
743346,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,32005442,GALONERA 10GL,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-3-0,3,UN,6.21,18.63,,,,,,,,,
743348,2025-12-20T16:54:55.713Z,PESCA,759880,10,759881,30000506,LUBRICANTE MULTIUSO WD40,TCNO,2025-12-27T00:00:00.000Z,EASMAT,39073175-4-0,2,UN,8.66,17.32,,,,,,,,,
743074,2025-12-20T15:41:33.946Z,PESCA,759548,10,759551,30000382,ACEITE M-MOBILGARD 312 MOBIL 55GL,TCHI,2025-12-26T23:24:08.000Z,JHBORDA,39072160-1-0,5,GLN,11.32,56.6,,,,,,,,,
743076,2025-12-20T15:41:33.946Z,PESCA,759548,10,759551,32005443,GALONERA 5GL,TCHI,2025-12-26T23:24:08.000Z,JHBORDA,39072160-2-0,1,UN,2.82,2.82,,,,,,,,,
743340,2025-12-20T15:38:03.803Z,PLANTA,759873,10,759874,33048365,SENSOR INDUCTIVO XECRO IPS30-S16AO55-A2P,TPSU,2025-12-20T15:21:00.000Z,BFERNANDEZ,39073163-1-0,1,UN,150,150,,,,,,,,,
743239,2025-12-20T15:27:03.460Z,PLANTA,759724,10,759725,33032141,ELEM.FLEX.P/ACOPLE OMEGA E5,TVEG,2025-12-19T18:37:00.000Z,CHIDALGO,39072541-1-0,1,UN,0,0,,,,,,,,,
743336,2025-12-20T15:22:37.263Z,PLANTA,759871,10,759872,31013855,SOLDADURA CELLOCORD AP E6011 3.25MM,TPSU,2025-12-19T18:38:00.000Z,BFERNANDEZ,39073162-1-0,1,KG,3.03,3.03,,,,,,,,,
743338,2025-12-20T15:22:37.263Z,PLANTA,759871,10,759872,31013874,SOLDADURA SUPERCITO E7018 3.25MM 25KG,TPSU,2025-12-19T18:38:00.000Z,BFERNANDEZ,39073162-2-0,1,KG,3.02,3.02,,,,,,,,,
743334,2025-12-20T15:15:53.853Z,PLANTA,759869,10,759870,33039688,"VALV.BOLA INOX.NPT 150PSI 3/4""",TMSU,2025-12-16T15:52:00.000Z,EDGUERRERO,39073160-1-0,1,UN,5.09,5.09,,,,,,,,,
743330,2025-12-20T15:11:13.370Z,PESCA,759865,10,759866,30000473,GRASA M-MOBILUX EP 2 MOBIL BALDE 35LB,TCNO,2025-12-31T16:00:00.000Z,EASMAT,39073159-1-0,2,UN,78,156,,,,,,,,,
743312,2025-12-20T15:11:12.630Z,PESCA,759851,10,759852,33032008,ELEM.FILTRO PETR./SEP.AGUA RACOR 2020SM,TCNO,2025-12-31T00:00:00.000Z,EASMAT,39073088-1-0,36,UN,10.03,361.08,,,,,,,,,
743314,2025-12-20T15:11:12.630Z,PESCA,759851,10,759852,32005362,TRAPO IND.,TCNO,2025-12-31T00:00:00.000Z,EASMAT,39073088-2-0,15,KG,0.71,10.65,,,,,,,,,
743316,2025-12-20T15:11:12.630Z,PESCA,759851,10,759852,32022290,DETERGENTE IND.,TCNO,2025-12-31T00:00:00.000Z,EASMAT,39073088-3-0,15,KG,1.75,26.25,,,,,,,,,
