WORKORDERID,CHANGEDATE,SITEID,WONUM,DESCRIPTION,LOCATION,LOCDESC,SLXPESO,ASSETNUM,ASSETDESC,PARENT,STATUS,SLXCENTROOPER,WORKTYPE,SLXSUBTIPO,SLXTEMPORADA,SLXLOCCLASIF,SLXFAILGROUP,SLXFAILPROB,SLXFAILCAUSE,SLXFAILITEM,ISTASK,SLXESREG,SLXBLACKOUT,SLXODMNUM,SLXPDNUM,JPNUM,PMNUM,ASSETLOCPRIORITY,WOPRIORITY,SLXREPERCUSION,TARGSTARTDATE,TARGCOMPDATE,SCHEDSTART,SCHEDFINISH,ACTSTART,ACTFINISH,ESTDUR,SLXACTDUR,SLXALMACEN,SLXELEMENTOPEP,SLXCONTROLPEP,SLXTIPOIMPUTACION,SLXCUENTACONTABLE,SLXCENTROCOSTO,SLXOBRAENCURSO,REPORTEDBY,REPORTDATE,SUPERVISOR,LEAD,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
664632,2025-12-20T22:39:07.060Z,PESCA,730275,T428.Serv.Logistico.Aceites.Dic25-Ene26,TF01428-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T428,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-11-21T00:00:00.000Z,,,,,,0,0,,F2A25/04-T428-EPPR07MCCO,F2A25/04-T428-EPPR,CEC,,3023120015,,CTAIPE,2025-08-19T16:08:20.706Z,DDELGADO,,,,,,,,,,
664620,2025-12-20T22:38:47.433Z,PESCA,730263,T034.Serv.Logistico.Aceites.Dic25-Ene26,TF01034-03,MOTOR PRINCIPAL Y CAJA,0,,,,COMP,T034,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-11-21T00:00:00.000Z,,,,2025-12-19T14:31:27.653Z,2025-12-19T14:31:27.653Z,0,0,,F3A25/04-T034-EPPR07MCCO,F3A25/04-T034-EPPR,CEC,,3023130005,,CTAIPE,2025-08-19T16:08:08.723Z,RBALTODANO,,,,,,,,,,
686874,2025-12-20T22:37:20.566Z,PESCA,752081,T061.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF0161-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T061,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F2A25/04-T061-EPPR07MCCO,F2A25/04-T061-EPPR,CEC,,3023120012,,CTAIPE,2025-11-30T23:37:01.010Z,VIHUAMAN,,,,,,,,,,
686834,2025-12-20T22:37:16.336Z,PESCA,752041,T416.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01416-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T416,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F2A25/04-T416-EPPR07MCCO,F2A25/04-T416-EPPR,CEC,,3023120009,,CTAIPE,2025-11-30T23:36:37.356Z,VIHUAMAN,,,,,,,,,,
686832,2025-12-20T22:37:12.396Z,PESCA,752039,T414.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01414-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T414,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F2A25/04-T414-EPPR07MCCO,F2A25/04-T414-EPPR,CEC,,3023120004,,CTAIPE,2025-11-30T23:36:36.193Z,VIHUAMAN,,,,,,,,,,
686826,2025-12-20T22:37:08.283Z,PESCA,752033,T411.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01411-03,MOTOR PRINCIPAL Y CAJA,0,,,,COMP,T411,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,2025-12-16T10:46:47.663Z,2025-12-16T10:46:47.663Z,0,0,,F2A25/04-T411-EPPR07MCCO,F2A25/04-T411-EPPR,CEC,,3023120011,,CTAIPE,2025-11-30T23:36:32.476Z,VIHUAMAN,,,,,,,,,,
686816,2025-12-20T22:37:04.116Z,PESCA,752023,T035.Serv.Diagnostico.Aceites-Refrig.Dic.2025,TF01035-03,MOTOR PRINCIPAL Y CAJA,0,400036079,"TANQUE DE ACEITE MOTOR, CAP:100GLN",,COMP,T035,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,2,1,0,2025-12-31T00:00:00.000Z,,,,2025-12-04T19:00:48.120Z,2025-12-04T19:00:48.120Z,0,0,,F3A25/04-T035-EPPR07MCCO,F3A25/04-T035-EPPR,CEC,,3023130004,,CTAIPE,2025-11-30T23:36:26.266Z,VIHUAMAN,,,,,,,,,,
686770,2025-12-20T22:36:59.366Z,PESCA,751977,T061.Serv.Lab.Aceites.SGS.Dic.2025,TF0161-03,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,T061,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-31T00:00:00.000Z,,,,,,0,0,,F2A25/04-T061-EPPR07MCCO,F2A25/04-T061-EPPR,CEC,,3023120012,,CTAIPE,2025-11-30T22:20:31.263Z,VIHUAMAN,,,,,,,,,,
685110,2025-12-20T22:36:54.413Z,PESCA,750317,RMD6.Serv.Diagnostico.Aceite.Dic-Enero.CHIN2-25,TF0401-0203,MOTOR PRINCIPAL Y CAJA,0,,,,APPR,RMD6,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,0,1,0,2025-12-29T23:30:48.000Z,,,,,,0,0,,F0A25/04-RMD6-RMPR07MCCO,F0A25/04-RMD6-RMPR,CEC,,3023310002,,CTAIPE,2025-11-24T23:30:48.023Z,VIHUAMAN,,,,,,,,,,
684940,2025-12-20T22:36:49.833Z,PESCA,750147,T416.Serv.Diagnostico.Aceite.Oct-Nov.2025,TF01416-03,MOTOR PRINCIPAL Y CAJA,0,,,,COMP,T416,MPD,MON,CHIN2,03,,,,,0,0,0,,,,,1,1,0,2025-12-25T00:00:00.000Z,,,,2025-12-15T08:53:37.183Z,2025-12-15T08:53:37.183Z,0,0,,F2A25/04-T416-EPPR07MCCO,F2A25/04-T416-EPPR,CEC,,3023120009,,CTAIPE,2025-11-24T14:59:23.390Z,VIHUAMAN,,,,,,,,,,
