WOSTATUSID,CHANGEDATE,SITEID,WONUM,STATUS,STATUSDATE,CHANGEBY,MEMO,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
2424102,2025-12-20T22:07:40.670Z,PESCA,759933,WAPPR,2025-12-20T22:07:40.670Z,MXINTADM,,,,,,,,,,
2424100,2025-12-20T22:03:49.176Z,PESCA,759931,WAPPR,2025-12-20T22:03:49.176Z,MXINTADM,,,,,,,,,,
2424098,2025-12-20T21:35:19.073Z,PESCA,759929,WAPPR,2025-12-20T21:35:19.073Z,MXINTADM,,,,,,,,,,
2424096,2025-12-20T21:16:08.753Z,PESCA,759927,WAPPR,2025-12-20T21:16:08.753Z,MXINTADM,,,,,,,,,,
2424094,2025-12-20T20:47:12.216Z,PLANTA,759925,WAPPR,2025-12-20T20:47:12.216Z,MXINTADM,,,,,,,,,,
2424092,2025-12-20T19:45:43.716Z,PESCA,758448,COMP,2025-12-20T19:45:43.716Z,JEREYNA,,,,,,,,,,
2424090,2025-12-20T19:45:26.690Z,PESCA,758448,APPR,2025-12-20T19:45:26.690Z,JEREYNA,,,,,,,,,,
2424086,2025-12-20T19:01:08.460Z,PESCA,759243,COMP,2025-12-20T19:01:08.460Z,DDELGADO,,,,,,,,,,
2424084,2025-12-20T19:00:57.020Z,PESCA,759243,APPR,2025-12-20T19:00:57.020Z,DDELGADO,,,,,,,,,,
2424082,2025-12-20T18:59:52.416Z,PESCA,759218,COMP,2025-12-20T18:59:52.416Z,DDELGADO,,,,,,,,,,
2424080,2025-12-20T18:59:41.863Z,PESCA,759218,APPR,2025-12-20T18:59:41.863Z,DDELGADO,,,,,,,,,,
2424078,2025-12-20T18:56:15.060Z,PESCA,758649,COMP,2025-12-20T18:56:15.060Z,DDELGADO,,,,,,,,,,
2424076,2025-12-20T18:56:04.683Z,PESCA,758649,APPR,2025-12-20T18:56:04.683Z,DDELGADO,,,,,,,,,,
2424074,2025-12-20T18:54:26.216Z,PESCA,759923,WAPPR,2025-12-20T18:54:26.216Z,MXINTADM,,,,,,,,,,
2424072,2025-12-20T18:54:16.093Z,PESCA,759921,WAPPR,2025-12-20T18:54:16.093Z,MXINTADM,,,,,,,,,,
2424070,2025-12-20T18:52:19.490Z,PESCA,758873,COMP,2025-12-20T18:52:19.490Z,DDELGADO,,,,,,,,,,
