SITEID,WONUM,FEC_WAPPR,FEC_APPR,DIF_DIAS_OT,USER_WAPPR,USER_APPR,FLAG_CLOSE
PESCA,759933,2025-12-20T22:07:40.670Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759931,2025-12-20T22:03:49.176Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759929,2025-12-20T21:35:19.073Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759927,2025-12-20T21:16:08.753Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759925,2025-12-20T20:47:12.216Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759923,2025-12-20T18:54:26.216Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759921,2025-12-20T18:54:16.093Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759919,2025-12-20T18:45:30.070Z,2025-12-20T18:49:22.676Z,0,YIZAGUIRRE,YIZAGUIRRE,1
PESCA,759917,2025-12-20T18:44:13.396Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759915,2025-12-20T18:40:27.876Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759913,2025-12-20T18:26:39.033Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759911,2025-12-20T18:21:12.366Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759909,2025-12-20T18:16:50.606Z,2025-12-20T18:19:27.256Z,0,GROBLES,GROBLES,1
PESCA,759907,2025-12-20T18:14:14.550Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759905,2025-12-20T18:08:34.583Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759903,2025-12-20T18:07:50.680Z,2025-12-20T18:11:14.213Z,0,GROBLES,GROBLES,1
PESCA,759901,2025-12-20T18:03:43.386Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759899,2025-12-20T18:00:00.836Z,2025-12-20T18:02:06.456Z,0,HESPINOZA,HESPINOZA,1
PESCA,759897,2025-12-20T17:58:10.776Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759895,2025-12-20T17:51:29.300Z,2025-12-20T17:53:18.933Z,0,GROBLES,GROBLES,1
PESCA,759892,2025-12-20T17:21:58.543Z,2025-12-21T03:53:26.543Z,1,YIZAGUIRRE,,0
PESCA,759888,2025-12-20T16:27:32.616Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759886,2025-12-20T16:17:51.993Z,2025-12-20T16:44:42.316Z,0,MXINTADM,EASMAT,1
PESCA,759884,2025-12-20T16:13:00.890Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759882,2025-12-20T15:58:21.750Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759880,2025-12-20T15:54:10.310Z,2025-12-20T16:09:05.200Z,0,EASMAT,EASMAT,1
PESCA,759878,2025-12-20T15:53:43.983Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759876,2025-12-20T15:50:03.506Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759873,2025-12-20T15:24:45.336Z,2025-12-20T15:26:07.580Z,0,MXINTADM,BFERNANDEZ,1
PLANTA,759871,2025-12-20T15:20:29.733Z,2025-12-20T15:22:33.260Z,0,MXINTADM,BFERNANDEZ,1
PLANTA,759869,2025-12-20T15:08:55.436Z,2025-12-20T15:11:53.700Z,0,EDGUERRERO,EDGUERRERO,1
PESCA,759867,2025-12-20T14:58:04.333Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759865,2025-12-20T14:56:51.773Z,2025-12-20T14:58:08.230Z,0,EASMAT,EASMAT,1
PLANTA,759863,2025-12-20T14:52:47.426Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759861,2025-12-20T14:46:33.186Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759859,2025-12-20T14:44:17.866Z,2025-12-20T15:00:44.450Z,0,MXINTADM,EDGUERRERO,1
PESCA,759857,2025-12-20T14:42:15.643Z,2025-12-20T18:08:34.450Z,0,MXINTADM,VIHUAMAN,1
PESCA,759855,2025-12-20T14:24:19.200Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759853,2025-12-20T13:58:52.770Z,2025-12-20T14:11:35.960Z,0,YIZAGUIRRE,YIZAGUIRRE,1
PESCA,759851,2025-12-20T13:47:41.116Z,2025-12-20T13:55:02.186Z,0,EASMAT,EASMAT,1
PESCA,759849,2025-12-20T13:41:11.230Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759847,2025-12-20T13:22:57.603Z,2025-12-20T13:26:20.903Z,0,EASMAT,EASMAT,1
PESCA,759845,2025-12-20T13:02:26.426Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759843,2025-12-20T12:11:03.100Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759840,2025-12-20T11:08:35.976Z,2025-12-20T11:15:26.963Z,0,EDGUERRERO,EDGUERRERO,1
PESCA,759838,2025-12-20T10:54:24.986Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759836,2025-12-20T10:46:45.520Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PESCA,759834,2025-12-20T10:44:35.120Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
PLANTA,759832,2025-12-20T10:13:41.296Z,2025-12-20T10:16:54.973Z,0,MXINTADM,CHIDALGO,1
PESCA,759827,2025-12-20T10:07:51.023Z,2025-12-21T03:53:26.543Z,1,MXINTADM,,0
