WPITEMID,CHANGEDATE,SITEID,PARENT,TASKID,WONUM,ITEMNUM,DESCRIPTION,SLXRATENUM,CENTROLOGISTICO,REQUIREDATE,REQUESTBY,SLXRESNUM,ITEMQTY,UNITCOST,LINECOST,VENDOR,SLXMONEDA,SLXVENDORUNITCOST,SLXVENDORLINECOST,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
743435,2025-12-20T22:15:04.076Z,PESCA,759876,10,759877,1000982,Calderería y Soldadura,,TVEG,2025-12-20T15:34:00.000Z,DBENAVIDES,,1,444.27,444.27,2060567877,PEN,1666,1666,,,,,,,,,
743433,2025-12-20T19:45:46.153Z,PESCA,758448,10,758449,1000989,Enfibrado y aislamiento,,TCHI,2025-12-17T14:42:00.000Z,JEREYNA,20175681-10-10,1,139,139,2056915346,USD,139,139,,,,,,,,,
743429,2025-12-20T19:01:09.736Z,PESCA,759243,10,759244,1000968,Manto. de equipos mecánicos,,TCHI,2025-12-18T15:16:00.000Z,DDELGADO,20175680-10-10,1,0,0,2060471752,PEN,0,0,,,,,,,,,
743427,2025-12-20T18:59:53.580Z,PESCA,759218,10,759219,1000968,Manto. de equipos mecánicos,,TCHI,2025-12-18T14:46:00.000Z,DDELGADO,20175679-10-10,1,0,0,2060471752,PEN,0,0,,,,,,,,,
743425,2025-12-20T18:56:16.190Z,PESCA,758649,10,758650,1000979,Mantenimiento Equipos Electrónicos,,TCHI,2025-12-17T18:00:00.000Z,DDELGADO,20175678-10-10,1,1500,1500,0000005536,USD,1500,1500,,,,,,,,,
743423,2025-12-20T18:52:20.650Z,PESCA,758873,10,758874,1000973,Mantto habitab y acomod,,TCHI,2025-12-18T10:05:00.000Z,DDELGADO,20175677-10-10,1,114.67,114.67,2044552612,PEN,430,430,,,,,,,,,
743419,2025-12-20T18:46:48.660Z,PESCA,759004,10,759005,1000982,Calderería y Soldadura,,TCHI,2025-12-18T11:41:00.000Z,DDELGADO,20175676-10-10,1,213.33,213.33,2051449525,PEN,800,800,,,,,,,,,
743417,2025-12-20T18:45:06.166Z,PESCA,759205,10,759206,1000968,Manto. de equipos mecánicos,,TCHI,2025-12-18T12:16:00.000Z,DDELGADO,20175675-10-10,1,0,0,2060471752,PEN,0,0,,,,,,,,,
743415,2025-12-20T18:43:07.333Z,PESCA,759241,10,759242,1000968,Manto. de equipos mecánicos,,TCHI,2025-12-18T14:54:00.000Z,DDELGADO,20175674-10-10,1,0,0,2056917217,USD,0,0,,,,,,,,,
743413,2025-12-20T18:40:29.726Z,PESCA,759245,10,759246,1000966,Mantenimiento de equipos eléctricos,,TCHI,2025-12-18T04:00:00.000Z,DDELGADO,20175673-10-10,1,666.67,666.67,2054799624,PEN,2500,2500,,,,,,,,,
743411,2025-12-20T18:19:32.513Z,PLANTA,759909,10,759910,1000968,Manto. de equipos mecánicos,,TCHI,2025-12-07T18:16:51.000Z,GROBLES,20175672-10-10,1,528,528,2060108796,PEN,1980,1980,,,,,,,,,
743410,2025-12-20T18:11:20.376Z,PLANTA,759903,10,759904,1000968,Manto. de equipos mecánicos,,TCHI,2025-12-07T18:07:51.000Z,GROBLES,20175671-10-10,1,333.33,333.33,2060108796,PEN,1250,1250,,,,,,,,,
743326,2025-12-20T18:08:45.966Z,PESCA,759857,10,759858,1000982,Calderería y Soldadura,,TPSU,2025-12-20T14:26:00.000Z,VIHUAMAN,20175670-10-10,1,480,480,2061067449,PEN,1800,1800,,,,,,,,,
743401,2025-12-20T18:04:56.110Z,PESCA,759425,10,759426,1000966,Mantenimiento de equipos eléctricos,,TCHI,2025-12-18T23:22:00.000Z,DDELGADO,20175649-10-10,1,266.67,266.67,2060650981,PEN,1000,1000,,,,,,,,,
