WORKORDERID,CHANGEDATE,SITEID,PARENT,TASKID,WONUM,DESCRIPTION,ESTDUR,SLXACTDUR,SLXAVANCE,STATUS,SLXALMACEN,SLXFECHAREQ,VENDOR,TARGSTARTDATE,TARGCOMPDATE,SCHEDSTART,SCHEDFINISH,ACTSTART,ACTFINISH,HASLABOR,HASMATERIAL,HASSERVICE,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5,SLXSCHEDDUR
694533,2025-12-20T22:19:45.390Z,PLANTA,759738,10,759739,CAMBIO DE SEAL RING 543170 CENTRIFUGA 5-251219212506/TVEG,0,0,0,APPR,TVEG,2025-12-19T21:25:00.000Z,,2025-12-19T21:25:00.000Z,,2025-12-19T21:25:00.000Z,,,,0,1,0,,,,,,,,,,0
694671,2025-12-20T22:15:04.076Z,PESCA,759876,10,759877,rotura de cordón de soldadura de cancamo fijo del pistón de ronda del or-251220153416/T427,0,0,20,WAPPR,TVEG,2025-12-20T15:34:00.000Z,2060567877,2025-12-20T15:34:00.000Z,,,,,,0,0,1,,,,,,,,,,0
694728,2025-12-20T22:07:41.610Z,PESCA,759933,10,759934,cambio de carreto IT48 de ordenador de red por desgaste -251220220437/T428,0,0,0,WAPPR,,2025-12-20T22:04:00.000Z,,2025-12-20T22:04:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694726,2025-12-20T22:03:50.183Z,PESCA,759931,10,759932,cambio de carreto IT 48 de halador de red por desgaste -251220215830/T428,0,0,0,WAPPR,,2025-12-20T21:58:00.000Z,,2025-12-20T21:58:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694724,2025-12-20T21:35:20.256Z,PESCA,759929,10,759930,MEJORAMIENTO SISTEMA ELECTRICO AUX NRO. 1-251220211037/T412,0,0,0,WAPPR,,2025-12-20T21:10:00.000Z,,2025-12-20T21:10:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694722,2025-12-20T21:16:09.726Z,PESCA,759927,10,759928,se solicita cambio de carrete de macaco-251220190600/T034,0,0,0,WAPPR,,2025-12-20T19:06:00.000Z,,2025-12-20T19:06:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694720,2025-12-20T20:47:13.006Z,PLANTA,759925,10,759926,Rotura de visor salida de condensado RTD 4-251220145354/TVEG,0,0,0,WAPPR,TVEG,2025-12-20T14:53:00.000Z,,2025-12-20T14:53:00.000Z,,,,,,0,0,0,,,,,,,,,,0
693243,2025-12-20T19:45:46.153Z,PESCA,758448,10,758449,T035 MA aislamiento térmico del flexible roto-251217144223,0,0,100,COMP,TCHI,2025-12-17T14:42:00.000Z,2056915346,2025-12-17T14:42:00.000Z,2025-12-20T19:45:43.716Z,2025-12-17T14:42:00.000Z,2025-12-20T19:45:43.716Z,2025-12-20T19:45:43.716Z,2025-12-20T19:45:43.716Z,0,0,1,,,,,,,,,,0
694413,2025-12-20T19:01:43.940Z,PLANTA,759618,10,759619,TSAM SepSol#2 Westfalia CA 458 (MAYOR+CAJA),50,0,0,WAPPR,TCHI,2025-12-28T08:00:00.000Z,,2025-12-28T08:00:00.000Z,2025-12-30T10:00:00.000Z,,,,,0,0,0,,,,,,,,,,0
694038,2025-12-20T19:01:09.736Z,PESCA,759243,10,759244,motor eléctrico de bomba de recirculación del condenso se abre la llave -251218151635/T056,0,0,100,COMP,TCHI,2025-12-18T15:16:00.000Z,2060471752,2025-12-18T15:16:00.000Z,2025-12-20T19:01:08.990Z,2025-12-18T15:16:00.000Z,2025-12-20T19:01:08.990Z,2025-12-20T19:01:08.990Z,2025-12-20T19:01:08.990Z,0,0,1,,,,,,,,,,0
