CHANGEDATE,SITEID,WONUM,LOCATION,ASSETNUM,CODE,STARTDATE,FINISHDATE,DOWNTIME,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
2025-12-09T17:19:00.000Z,PLANTA,755057,TPUC0203-0601,300036426,,2025-12-09T17:09:00.000Z,2025-12-09T17:19:00.000Z,0.16666667,,,,,,,,,
2025-12-09T17:00:00.000Z,PLANTA,755053,TPUC0203-0601,300036426,,2025-12-09T15:07:00.000Z,2025-12-09T17:00:00.000Z,1.8833333,,,,,,,,,
2025-12-07T22:40:00.000Z,PLANTA,754790,TMAT0201-0113,300020765,,2025-12-07T22:40:00.000Z,2025-12-07T22:40:00.000Z,2,,,,,,,,,
2025-12-06T11:39:00.000Z,PLANTA,754460,TVEG0102-0301,300007306,,2025-12-06T10:59:00.000Z,2025-12-06T11:39:00.000Z,0.6666667,,,,,,,,,
2025-12-03T00:50:00.000Z,PLANTA,753206,TCNO0105-0201,300023904,,2025-12-02T23:10:00.000Z,2025-12-03T00:50:00.000Z,1.6666666,,,,,,,,,
2025-12-02T18:45:00.000Z,PLANTA,753165,TPUC0301-0601,300036620,,2025-12-02T18:45:00.000Z,2025-12-02T18:45:00.000Z,4.5833335,,,,,,,,,
2025-11-30T01:12:00.000Z,PLANTA,751674,TVEG0109-0304,300007479,,2025-11-29T21:22:00.000Z,2025-11-30T01:12:00.000Z,3.8333333,,,,,,,,,
2025-11-27T00:10:00.000Z,PLANTA,750931,TMSU0110-0208,300026839,,2025-11-26T23:00:00.000Z,2025-11-27T00:10:00.000Z,1.1666666,,,,,,,,,
2025-11-25T23:42:00.000Z,PLANTA,750662,TPUC0201-0101,300036335,,2025-11-25T23:06:00.000Z,2025-11-25T23:42:00.000Z,0.6,,,,,,,,,
2025-11-25T12:30:00.000Z,PLANTA,750603,TMSU0105-0503,300003136,,2025-11-25T08:30:00.000Z,2025-11-25T12:30:00.000Z,4,,,,,,,,,
2025-11-25T12:00:00.000Z,PLANTA,750613,TMSU0104-0303,300006277,,2025-11-25T09:30:00.000Z,2025-11-25T12:00:00.000Z,2.5,,,,,,,,,
2025-11-24T23:00:00.000Z,PLANTA,750351,TPUC0201-0404,300037570,,2025-11-24T22:18:00.000Z,2025-11-24T23:00:00.000Z,0.7,,,,,,,,,
2025-11-23T00:30:00.000Z,PLANTA,749633,TMSU0202-0101,300024332,,2025-11-23T00:30:00.000Z,2025-11-23T00:30:00.000Z,24.5,,,,,,,,,
2025-11-20T13:00:00.000Z,PLANTA,748949,TCHI0105-0305,300023179,,2025-11-19T23:30:00.000Z,2025-11-20T13:00:00.000Z,13.5,,,,,,,,,
2025-11-17T00:30:00.000Z,PLANTA,747860,TMSU0105-0503,300003136,,2025-11-17T00:30:00.000Z,2025-11-17T00:30:00.000Z,3.75,,,,,,,,,
2025-11-12T01:00:00.000Z,PLANTA,746128,TVEG0110-0203,300007489,,2025-11-12T01:00:00.000Z,2025-11-12T01:00:00.000Z,4.1666665,,,,,,,,,
