pmuid,changedate,siteid,slxcentrooper,assetnum,location,pmdesc,worktype,status,jpnum,jpdesc,jptask,jptaskdesc,pmnum
27062,2025-12-19T21:42:14.896Z,PLANTA,,,,MP TMAT Lubricación Zona Planta de Aceite Prod. (6M),MP,ACTIVE,LUBRI.PLANTA.ZONA.09,LUBRI.PROD.PLANTA.ZONA09.6M,10,Lubricación Planta Zona 09,400000000853
24629,2025-12-19T12:38:04.483Z,PLANTA,TCHI,300006940,TCHI0205-0105,TCHI SepLimp#2 Westfalia CC 458 (XXXX H),MP,ACTIVE,SEP-CC458-1250,TCHI SepXXX#X Westfalia CC 458 (1250 H),10,TCHI SepXXX#X Westfalia CC 458 (1250 H),200000006791
24629,2025-12-19T12:38:04.483Z,PLANTA,TCHI,300006940,TCHI0205-0105,TCHI SepLimp#2 Westfalia CC 458 (XXXX H),MP,ACTIVE,SEP-CC458-2500,TCHI SepXXX#X Westfalia CC 458 (INTERMEDIO),10,TCHI SepXXX#X Westfalia CC 458 (INTERMEDIO),200000006791
24629,2025-12-19T12:38:04.483Z,PLANTA,TCHI,300006940,TCHI0205-0105,TCHI SepLimp#2 Westfalia CC 458 (XXXX H),MP,ACTIVE,SEP-CC458-5000,TCHI SepXXX#X Westfalia CC 458 (MAYOR),10,TCHI SepXXX#X Westfalia CC 458 (MAYOR),200000006791
24629,2025-12-19T12:38:04.483Z,PLANTA,TCHI,300006940,TCHI0205-0105,TCHI SepLimp#2 Westfalia CC 458 (XXXX H),MP,ACTIVE,SEP-CC458-15000,TCHI SepXXX#X Westfalia CC 458 (MAYOR+CAJA),10,TCHI SepXXX#X Westfalia CC 458 (MAYOR+CAJA),200000006791
31656,2025-12-19T12:26:50.336Z,PLANTA,TCHI,300006423,TCHI0205-0104,TCHI SepLimp#1 Westfalia CA 458 (XXXX H),MP,ACTIVE,TSAMSS2CA458-1250,TSAM SepSol#2 Westfalia CA 458 (1250 H),10,TSAM SepSol#2 Westfalia CA 458 (1250 H),400000005858
31656,2025-12-19T12:26:50.336Z,PLANTA,TCHI,300006423,TCHI0205-0104,TCHI SepLimp#1 Westfalia CA 458 (XXXX H),MP,ACTIVE,TSAMSS2CA458-2500,TSAM SepSol#2 Westfalia CA 458 (INTERMEDIO),10,TSAM SepSol#2 Westfalia CA 458 (INTERM.),400000005858
31656,2025-12-19T12:26:50.336Z,PLANTA,TCHI,300006423,TCHI0205-0104,TCHI SepLimp#1 Westfalia CA 458 (XXXX H),MP,ACTIVE,TSAMSS2CA458-5000,TSAM SepSol#2 Westfalia CA 458 (MAYOR),10,TSAM SepSol#2 Westfalia CA 458 (MAYOR),400000005858
31656,2025-12-19T12:26:50.336Z,PLANTA,TCHI,300006423,TCHI0205-0104,TCHI SepLimp#1 Westfalia CA 458 (XXXX H),MP,ACTIVE,TSAMSS2CA458-15000,TSAM SepSol#2 Westfalia CA 458 (MAYOR+CAJA),10,TSAM SepSol#2 Westfalia CA 458 (MAYOR+CAJA),400000005858
43251,2025-12-19T12:22:58.303Z,PESCA,P059,300011218,TF05059-01,P059_PM_Caldereria casco panga,MP,ACTIVE,FSPANCAL19125,TXXXPA_PM_Caldereria casco,10,TXXXPA_PM_Caldereria casco,400000009018
