BANFN,BNFPO,TIPO_SOLPED,FRGKZ,FRGDT,LFDAT,ERNAM,AFNAM,NAME_TEXT,ZAFNAM,TXZ01,VALDOL,PTEXT,BLCKD,BLCKT,KOSTL,PS_PSP_PNR,AUFNR,WERKS,NCENTRO,EBELN,EBELP,IDEBELN,STATUSOC,EKGRP_RESP,LIFNR2,NAME1,BEDAT,FECLIB,VPEDIDOD,PROCSTAT_T,LZVON,ZZEMBAR,DIASLIBRES,DIASGENSOLP,DIASLIBSOLP,DIASNECUSU,DIASGENOC,DIASLIBOC,ELIKZ,HES_S,LOEKZ_S
0014967492,00010,COMPRAS,L,20190930,20190910,MGOMEZ,T060,REDES_PESCA,,T310 Servicio apoyo medida cables,143.41,Servicio,,,3027110004,00000000,,TCNO,TASA CALLAO NORTE,5010001105,00180,@0P@,,T70-Comp.MParodi,2052092051,SONIMAR SERVICIOS E.I.R.L.,20191009,20191010,141.68,Liberación concluida,20190701,T310,,,20,20-,9,1,,100,
0014967497,00010,COMPRAS,L,20190930,20190910,MGOMEZ,T060,REDES_PESCA,,Servicio instalación mangueras grua,110,Servicio,,,3024000001,00000000,,TCNO,TASA CALLAO NORTE,5010001037,00040,@0P@,Descargado en PDF.,T76-RPA Tipo4 B,2052479380,SOLUCIONES TECNICAS H & R S.A.,20191007,20191010,110,Liberación concluida,20190701,,,,20,20-,7,3,,100,
0014967501,00010,COMPRAS,L,20190930,20190910,MGOMEZ,T060,REDES_PESCA,,T56 Servicio confección defensa de panga,104.57,Servicio,,,3027140010,00000000,,TCNO,TASA CALLAO NORTE,5010000935,00030,@0P@,,T76-RPA Tipo4 B,2060300007,MAYURUMI NET E.I.R.L.,20191004,20191010,103.61,Liberación concluida,20190701,T56,,,20,20-,4,6,,100,
0014967501,00020,COMPRAS,L,20190930,20190910,MGOMEZ,T060,REDES_PESCA,,T54 Servicio confección defensa de panga,104.57,Servicio,,,3027140001,00000000,,TCNO,TASA CALLAO NORTE,5010000935,00020,@0P@,,T76-RPA Tipo4 B,2060300007,MAYURUMI NET E.I.R.L.,20191004,20191010,103.61,Liberación concluida,20190701,T56,,,20,20-,4,6,,100,
0014967504,00010,COMPRAS,L,20190930,20190910,MGOMEZ,T060,REDES_PESCA,,Servicio mantenimiento tensiometro,125.49,Servicio,,,3024000001,00000000,,TCNO,TASA CALLAO NORTE,5010001088,00010,@0P@,,T79-Comp.GBerna,2056267271,YULE ELECTRICIDAD S.A.C.,20191009,20191010,117.77,Liberación concluida,20190909,,,,20,20-,9,1,,100,
0014967509,00010,COMPRAS,L,20190930,20190910,MGOMEZ,T060,REDES_PESCA,,Servicio rellenado/esmerilado de anillas,361.52,Servicio,,,3027120007,00000000,,TCNO,TASA CALLAO NORTE,5010002015,00040,@0P@,Descargado en PDF.,T78-Comp.ANavarrete,2049483465,REPRESENTACIONES E INVERSIONES,20191021,20191022,343.44,Liberación concluida,20190516,,,,20,20-,21,1,,100,
0014967518,00010,COMPRAS,L,20190930,20190920,MGOMEZ,T060,REDES_PESCA,,Servicio mantenimiento grúa redes,290,Servicio,,,3024000001,00000000,,TCNO,TASA CALLAO NORTE,5010000920,00010,@0P@,Descargado en PDF.,T76-RPA Tipo4 B,2051693647,GRC GRUPO DE REPARACIONES Y CO,20191004,20191009,290,Liberación concluida,20190822,,,,20,10-,4,5,,100,
0015033833,00010,COMPRAS,L,20190930,20190916,MGOMEZ,T060,REDES_PESCA,,T61 Confección maniobra cadena,1242,Servicio,,,3027120012,00000000,,TCNO,TASA CALLAO NORTE,5010002660,00010,@0P@,Descargado en PDF.,T76-RPA Tipo4 B,0000009265,INGENIEROS MECANICO METALURGIC,20191029,20191104,1242,Liberación concluida,20191010,,,,14,14-,29,6,,100,
0015139693,00010,COMPRAS,L,20190930,20190924,MGOMEZ,T060,REDES_PESCA,,T57 Servicio embarque red sardinera,252.68,Servicio,,,3027140008,00000000,,TCNO,TASA CALLAO NORTE,5010001105,00190,@0P@,,T70-Comp.MParodi,2052092051,SONIMAR SERVICIOS E.I.R.L.,20191009,20191010,250.89,Liberación concluida,20190701,,,,6,6-,9,1,,100,
0015139693,00020,COMPRAS,L,20190930,20190924,MGOMEZ,T060,REDES_PESCA,,T57 Servicio pega red sardinera,237.81,Servicio,,,3027140008,00000000,,TCNO,TASA CALLAO NORTE,5010001105,00200,@0P@,,T70-Comp.MParodi,2052092051,SONIMAR SERVICIOS E.I.R.L.,20191009,20191010,236.13,Liberación concluida,20190701,,,,6,6-,9,1,,100,
0015139693,00030,COMPRAS,L,20190930,20190924,MGOMEZ,T060,REDES_PESCA,,T41 Servicio confección defensa panga,178.36,Servicio,,,3023140004,00000000,,TCNO,TASA CALLAO NORTE,5010001109,00170,@0P@,,T70-Comp.MParodi,2052469724,SERVICIOS GENERALES G.S.E. E.I,20191009,20191010,177.1,Liberación concluida,20190701,,,,6,6-,9,1,,100,
0015139693,00040,COMPRAS,L,20190930,20190924,MGOMEZ,T060,REDES_PESCA,,SB600 Servicio desembarque/embarque,505.35,Servicio,,,3023120010,00000000,,TCNO,TASA CALLAO NORTE,5010000935,00010,@0P@,,T76-RPA Tipo4 B,2060300007,MAYURUMI NET E.I.R.L.,20191004,20191010,503.26,Liberación concluida,20190701,,,,6,6-,4,6,,100,
0015253316,00010,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T 36LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023130002,00000000,,TMAT,MATARANI,5010001224,00090,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190904,,,,3,3,4,2,,100,
0015253316,00020,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T210LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023130003,00000000,,TMAT,MATARANI,5010001224,00080,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190904,,,,3,3,4,2,,100,
0015253316,00030,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T111LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023110008,00000000,,TMAT,MATARANI,5010001224,00070,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190905,,,,3,3,4,2,,100,
0015253316,00040,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T220LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023110002,00000000,,TMAT,MATARANI,5010001224,00060,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190909,,,,3,3,4,2,,100,
