MANDT,EKGRP,EKNAM,EBELN,EBELP,PSTYP,AEDAT_C,AEDAT_D,BATXT,BEDAT,ANIO,MES,EKORG,LIFNR,NAMEL,NAME1,ANTICIPO,KNTTP,EPSTP,PTEXT,BKLAS,BKBEZ,MTART,MATNR,TXZ01,MENGE,MEINS,DISGR,EINDT,NETPR,WAERS,NETWR,WKURS,PEINH,BPRME,MATKL,WGBEZ,ZTAG1,EKGRP2,EKNAM2,KTWRT2,BUKRS,BUTXT,WERKS,LGORT,ERNAM,ZTERM,F_PAGO,ELIKZ,CANTEM,UO,LOCALIDAD,BEDNR,BANFN,BNFPO,BADAT,LFDAT,ZAFNAM,ERNAM_EBAN,WAERS_EBAN,PREIS,PREIS_USD,KBETR,KBETR_DESC,ZZPAIS_ORIG,ZZFECHA_EMBARQ,ZZFECHA_ARRIBO,SUBMI,ZZMEDIO_TRANSP,ZZAGENTE_CARGA,ZZNUMERO_DOC_EMB,ZZNUMERO_DUA,ZZAGENTE_ADUANA,ZZNUMERO_APL_SEG,ZZPEDIDO_CLIENTE,ZTIPANTIC,ZZTARIFA,TEXT_F23,ZZREASON_REJECT,ZZESTAPROV,ZZMOTREPROV,ZZAG_ADUANA_DESC,REVNO,ZZESTAPROV_DESC,ZZMOTREPROV_DESC,RETENIDO,MED_TRANSP,DESCUENTO_SERV,BRTWR,BRTWR2,FRGGR_S,FRGST,FRGXT_S,FRGKZ,FRGDT,AFNAM,INCO1,ZAHORRO,NETWR_DOL,BUDAT,ANIOEM,MESEM,FRGGR_P,FRGSX,FRGXT_P,COD_LIB,STATU,BSART,FRGC1_S,FRGC2_S,FRGC3_S,FRGC4_S,FRGC5_S,FRGC6_S,FRGC7_S,FRGC8_S,DLIB1_S,DLIB2_S,DLIB3_S,DLIB4_S,DLIB5_S,DLIB6_S,DLIB7_S,DLIB8_S,DLIB_S,FRGC1_P,LIBOC1,FRGC2_P,LIBOC2,FRGC3_P,LIBOC3,FRGC4_P,LIBOC4,FRGC5_P,LIBOC5,FRGC6_P,LIBOC6,FRGC7_P,LIBOC7,FRGC8_P,LIBOC8,FE_LIB1,DLIB1_P,DIAS_PEND,FE_LIB2,DLIB2_P,FE_LIB3,DLIB3_P,FE_LIB4,DLIB4_P,FE_LIB5,DLIB5_P,FE_LIB6,DLIB6_P,FE_LIB7,DLIB7_P,FE_LIB8,DLIB8_P,FE_LIBU,FRGET,DLIB_P,OBJID,EFFWR2,ABSGR_TXT,ABSGR,LOEKZ,OID_EXTBOL,KONNR,KTPNR,KDATB,KDATE,FRGKE,ZZREQCONT,ZZTIECONT,ZZNCONTRA,ZZFECINIC,ZZFECFIN,ZZDIASEST,ZZCONTPER,ZZRCAFI,ZZTCAFI,ZZIDCAR,ZZFEINI,ZZFEFIN,F_MAIL,H_MAIL,TXT_CB,TXT_PS,STAT_ENV,ZCATEGORIA,PROCSTAT,FECING,MENING,WRBTR,WRBTR2,WRBTR3
600,T50,Compras Abastecimi,5040001071,00020,L,2025-11-22T00:00:00.000Z,2025-11-22T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,0000009265,INGENIEROS MECANICO METALURGICOS & CONSULTORES S.A.C.,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,34006001CI,MOTON DOBLE OVAL.FE.P/CABLE T10,1,ST,UIN,2025-11-22T00:00:00.000Z,420,PEN,420,1,1,ST,RPE-TAS99,VARIOS TASA,020,T50,Compras Abastecimi,0,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z020,Plazo 20  dias,X,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,01,,,,Aprobado proveedor,,,,0,420,123.86,,,,,0001-01-01,T150,,0,123.86,2025-11-27,2025,11,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,123.86,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:17,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,2025-11-27,1,123.86,123.86,0
600,T50,Compras Abastecimi,5040001071,00030,L,2025-11-22T00:00:00.000Z,2025-11-22T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,0000009265,INGENIEROS MECANICO METALURGICOS & CONSULTORES S.A.C.,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,34007714CI,MOTON SIMPLE OVAL.FE.P/CABLE T8 CGG,1,ST,UIN,2025-11-22T00:00:00.000Z,360,PEN,360,1,1,ST,RPE-TAS99,VARIOS TASA,020,T50,Compras Abastecimi,0,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z020,Plazo 20  dias,X,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,01,,,,Aprobado proveedor,,,,0,360,106.16,,,,,0001-01-01,T150,,0,106.16,2025-11-27,2025,11,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,106.16,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:17,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,2025-11-27,1,106.16,106.16,0
600,T50,Compras Abastecimi,5040001071,00040,L,2025-11-22T00:00:00.000Z,2025-11-22T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,0000009265,INGENIEROS MECANICO METALURGICOS & CONSULTORES S.A.C.,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,34005521CI,MOTON SIMPLE OVAL.FE.NRO.10 CGG,1,ST,UIN,2025-11-22T00:00:00.000Z,320,PEN,320,1,1,ST,RPE-TAS99,VARIOS TASA,020,T50,Compras Abastecimi,0,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z020,Plazo 20  dias,X,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,01,,,,Aprobado proveedor,,,,0,320,94.37,,,,,0001-01-01,T150,,0,94.37,2025-11-27,2025,11,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,94.37,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:17,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,2025-11-27,1,94.37,94.37,0
600,T50,Compras Abastecimi,5040001071,00050,L,2025-11-22T00:00:00.000Z,2025-11-22T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,0000009265,INGENIEROS MECANICO METALURGICOS & CONSULTORES S.A.C.,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,34005505CI,MOTON DOBLE OVAL.FE.NRO.12,1,ST,UIN,2025-11-22T00:00:00.000Z,480,PEN,480,1,1,ST,RPE-TAS99,VARIOS TASA,020,T50,Compras Abastecimi,0,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z020,Plazo 20  dias,X,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,01,,,,Aprobado proveedor,,,,0,480,141.55,,,,,0001-01-01,T150,,0,141.55,2025-11-27,2025,11,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,141.55,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:17,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,2025-11-27,1,141.55,141.55,0
600,T50,Compras Abastecimi,5040001072,00010,L,2025-11-22T00:00:00.000Z,2025-12-08T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,2047253918,COMERCIALIZADORA COERIMAR E.I.R.LTD,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,34007119CI,PASTECA MOD.PJ 12'' C/C/GIR.,1,ST,UIN,2025-11-22T00:00:00.000Z,400,PEN,400,1,1,ST,RPE-TAS99,VARIOS TASA,030,T50,Compras Abastecimi,353.88,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z030,Plazo 30  días.,X,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,,,,,Pendiente,,,,0,400,117.96,,,,,0001-01-01,T150,,0,117.96,2025-12-08,2025,12,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,117.96,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:10,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,2025-12-08,1,117.96,117.96,0
600,T50,Compras Abastecimi,5040001072,00020,L,2025-11-22T00:00:00.000Z,2025-12-08T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,2047253918,COMERCIALIZADORA COERIMAR E.I.R.LTD,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,34007119CI,PASTECA MOD.PJ 12'' C/C/GIR.,1,ST,UIN,2025-11-22T00:00:00.000Z,400,PEN,400,1,1,ST,RPE-TAS99,VARIOS TASA,030,T50,Compras Abastecimi,0,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z030,Plazo 30  días.,X,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,,,,,Pendiente,,,,0,400,117.96,,,,,0001-01-01,T150,,0,117.96,2025-12-08,2025,12,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,117.96,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:10,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,2025-12-08,1,117.96,117.96,0
600,T50,Compras Abastecimi,5040001072,00030,L,2025-11-22T00:00:00.000Z,2025-11-22T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,2047253918,COMERCIALIZADORA COERIMAR E.I.R.LTD,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,34007119CI,PASTECA MOD.PJ 12'' C/C/GIR.,1,ST,UIN,2025-11-22T00:00:00.000Z,400,PEN,400,1,1,ST,RPE-TAS99,VARIOS TASA,030,T50,Compras Abastecimi,0,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z030,Plazo 30  días.,X,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,,,,,Pendiente,,,,0,400,117.96,,,,,0001-01-01,T150,,0,117.96,2025-12-08,2025,12,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,117.96,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:10,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,2025-12-08,1,117.96,117.96,0
600,T53,Compras Traslados ,5010246969,00001,F,2025-12-10T00:00:00.000Z,2025-12-10T00:00:00.000Z,Pedido marco ZFO,2025-12-10T00:00:00.000Z,,00,1400,2048122116,EMPRESA DE TRANSPORTES UCEDA SAC,TASA CALLAO NORTE,,U,,Servicio,,,,,Generación automática - Servicio porte,1,UA,,2025-12-01T00:00:00.000Z,3756.32,PEN,3756.32,1,1,UA,,,030,T53,Compras Traslados,1114.97,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z030,Plazo 30  días.,,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,,,,,Pendiente,,,,0,3756.32,1114.97,,,,,0001-01-01,,,0,1114.97,2025-12-04,2025,12,,,,,X,ZFO,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0001-01-01,0,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-12-10,,,,0,,00,,,,00000,0001-01-01,0001-01-01,,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,0001-01-01,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-04,1,1114.97,1114.97,0
600,T53,Compras Traslados ,5010246970,00001,F,2025-12-10T00:00:00.000Z,2025-12-10T00:00:00.000Z,Pedido marco ZFO,2025-12-10T00:00:00.000Z,,00,1400,2048122116,EMPRESA DE TRANSPORTES UCEDA SAC,TASA CALLAO NORTE,,U,,Servicio,,,,,Generación automática - Servicio porte,1,UA,,2025-12-08T00:00:00.000Z,3535.36,PEN,3535.36,1,1,UA,,,030,T53,Compras Traslados,1049.38,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z030,Plazo 30  días.,,1,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,,,,,Pendiente,,,,0,3535.36,1049.38,,,,,0001-01-01,,,0,1049.38,2025-12-10,2025,12,,,,,X,ZFO,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0001-01-01,0,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-12-10,,,,0,,00,,,,00000,0001-01-01,0001-01-01,,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,0001-01-01,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-10,1,1049.38,1049.38,0
600,T50,Compras Abastecimi,5040001072,00050,L,2025-11-22T00:00:00.000Z,2025-12-17T00:00:00.000Z,Ped. Subcontratacion,2025-11-22T00:00:00.000Z,2025,11,1400,2047253918,COMERCIALIZADORA COERIMAR E.I.R.LTD,TASA CALLAO NORTE,,K,L,Subcontratación,3088,Componente de intercambio,ZCI,31027457CI,DISPARADOR PANGA NRO.3 ( MOLA) 180-350TN,1,ST,UIN,2025-11-22T00:00:00.000Z,500,PEN,500,1,1,ST,AUX-AFT05,CABLES DE ACERO,030,T50,Compras Abastecimi,147.45,TA10,Tecnológica de Alimentos,TCNO,L002,GBAZAN,Z030,Plazo 30  días.,,0,,,,,00000,0001-01-01,0001-01-01,,,,0,0,0,0,,0001-01-01,0001-01-01,,,,,,,,,,,,,,,,,Pendiente,,,,0,500,147.45,,,,,0001-01-01,T150,,0,147.45,0001-01-01,0000,00,TL,PE,C.Inter. < 20K$,"JX,GF",9,ZNB2,,,,,,,,,0,0,0,0,0,0,0,0,,JX,BPEREZPALMA,GF,EBUENANO,,,,,,,,,,,,,2025-11-22,0,0,2025-11-22,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,0001-01-01,0,2025-11-22,Liberado total Exsa,,,147.45,,00,,,,00000,0001-01-01,0001-01-01,8,,,,0001-01-01,0001-01-01,00000,,,,,0001-01-01,0001-01-01,2025-11-22,18:00:10,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,0001-01-01,0,0,0,0
