MANDT,MBLNR,MJAHR,ZEILE,BLDAT,CHARG,BUDAT,BWART,BTEXT,AUFNR,WERKS,LGORT,MATNR,MAKTX,MEINS,MENGE,VBELN_IM,WEMPF,EBELN,XBLNR_MKPF,ERFMG,ERFME,AUFPL,BUKRS,LIFNR,NPLNR,RSNUM,RSPOS,SGTXT,USNAM_MKPF,WAERS,DMBTR,NAME1,KOSTL,BKTXT,VORNR
600,4900193143,2025,0001,3035-03-03T00:00:00.000Z,50206CNO07,2025-03-03T00:00:00.000Z,309,TR Trasp.mat.a mat.,,TPUC,TK02,000000000050003976,ACEITE CRUDO OMEGA SUM 30,TO,-22.888,,,,MVEGAS,22.888,TO,0000000000,TA10,,,0000000000,0000,,MVEGAS,PEN,0,PUCUSANA PLANTA OMEGA,,,
600,4900193143,2025,0002,3035-03-03T00:00:00.000Z,50206CNO07,2025-03-03T00:00:00.000Z,309,TR Trasp.mat.a mat.,,TPUC,TBR1,000000000050003976,ACEITE CRUDO OMEGA SUM 30,TO,22.888,,,,MVEGAS,22.888,TO,0000000000,TA10,,,0000000000,0000,,MVEGAS,PEN,0,PUCUSANA PLANTA OMEGA,,,
600,4900189221,2025,0001,3035-03-03T00:00:00.000Z,50206CNO07,2025-03-03T00:00:00.000Z,309,TR Trasp.mat.a mat.,,TPUC,TK02,000000000050003976,ACEITE CRUDO OMEGA SUM 30,TO,-21.891,,,,MVEGAS,21.891,TO,0000000000,TA10,,,0000000000,0000,,MVEGAS,PEN,0,PUCUSANA PLANTA OMEGA,,,
600,4900189221,2025,0002,3035-03-03T00:00:00.000Z,50206CNO07,2025-03-03T00:00:00.000Z,309,TR Trasp.mat.a mat.,,TPUC,TBR1,000000000050003976,ACEITE CRUDO OMEGA SUM 30,TO,21.891,,,,MVEGAS,21.891,TO,0000000000,TA10,,,0000000000,0000,,MVEGAS,PEN,0,PUCUSANA PLANTA OMEGA,,,
600,5000429864,2025,0001,2925-08-26T00:00:00.000Z,,2025-08-26T00:00:00.000Z,102,Anul.EM para imput.,,TMSU,,,,,0,,,5010229237,O/C5010229237,1,UA,0000000000,TA10,2048207154,,0000000000,0000,Cerco y Pintado de Taller alterno p/sold,MFERNANDEZ,PEN,8892.5,MALABRIGO SUR,3032104001,sol. p colona,
600,5000108961,2019,0001,2918-11-29T00:00:00.000Z,,2019-11-29T00:00:00.000Z,101,EM p.stock consig.,,TCNO,L001,000000000030000527,PETROLEO DIESEL B5 S50 PD TASA,GLL,8993.2,,,5030000025,013-0128222,8993.2,GLL,0000000000,TA10,2055454574,,0000000000,0000,,FTRUJILLO,PEN,0,TASA CALLAO NORTE,,GR:013-0128222,
600,4900480228,2024,0001,2424-08-01T00:00:00.000Z,,2024-08-01T00:00:00.000Z,201,SM para centro coste,,T111,L001,000000000030000527,PETROLEO DIESEL B5 S50 PD TASA,GLL,-15,,NMALCA,,,15,GLL,0000000000,TA10,,,0000000000,0000,,NMALCA,PEN,176.14,TASA 111,3023110008,C.comb Veda,
600,5000561900,2025,0001,2225-11-07T00:00:00.000Z,CNO2500742,2025-11-07T00:00:00.000Z,101,EM Stock en tránsito,,TCNO,C001,000000000050003967,HARINA A SUPER PRIME,TO,30,0080836671,,5050218164,0080836671,600,SAC,0000000000,TA10,,,0000000000,0000,,CCARRASCOC,PEN,0,TASA CALLAO NORTE,,29.820,
600,5000001299,2023,0001,2223-01-03T00:00:00.000Z,230103TMSU,2023-01-03T00:00:00.000Z,101,EM para orden,000020202147,TMSU,PI03,000000000050003975,ACEITE CRUDO CH,TO,16.5,,,,PRODUCCION 03.01,16.5,TO,0000000000,TA10,,,0000000000,0000,,GCASO,PEN,53851.22,MALABRIGO SUR,,,
600,5000001299,2023,0002,2223-01-03T00:00:00.000Z,230103TMSU,2023-01-03T00:00:00.000Z,101,EM para orden,000020202147,TMSU,PI03,000000000050003972,ACEITE DE PESCADO PAMA,TO,4.3,,,,PRODUCCION 03.01,4.3,TO,0000000000,TA10,,,0000000000,0000,,GCASO,PEN,14033.95,MALABRIGO SUR,,,
600,5000001320,2023,0001,2223-01-03T00:00:00.000Z,230103TMSU,2023-01-03T00:00:00.000Z,102,Anul.EM para orden,000020202147,TMSU,PI03,000000000050003975,ACEITE CRUDO CH,TO,-16.5,,,,PRODUCCION 03.01,16.5,TO,0000000000,TA10,,,0000000000,0000,,GCASO,PEN,53851.22,MALABRIGO SUR,,,
