BUKRS,AUFNR,WERKS_CAB,GJAHR,PERIO,WAERS_PRIN,BUZEI,CATEG_TXT,KSTAR,KSTAR_TXT,MBGBTR,MEINH,WOGBTR,WOGBTR2,WOGBTR_REVAL,WAERS,HERKU,HERKU_TXT,MATNR,KOSTL,COST_PROM,WOGBTR_REVAL2,COST_PROM2,VPRSV,PLANMENG_G,PLANKOST_G,COST_UNIT_G,CANT_NOTI,COST_NOTI,UN_NEGOCIO,LINEA,PROCESO,DESV_CANT,DESV_CANT1,DESV_COST,MTART,AUART,TXT,MTBEZ,MATNR_TXT,AUFEX,MBGBTR2,MEINH2,IDPRO,PROCE,IDFAS,FASES,IDCOM,COMPO,IDCAM,CAMPA,MATN2,EXTCAS,TN_MATPRI,TN_MATPRISP,TN_PRODUC,TN_PRODUCSP
TA10,000020200427,TMSU,2020,07,USD,014,CONSUMOS,0061330119,INSUMO - CONSUMO,0.000,KG,0.00,0.00,0.00,USD,TMSU/10200023,COAGULANTE SULFATO FERRICO 40%,0000000000000000000000000000000010200023,,0.00,0.00,0.00,V,640.000,160.00,0.25,0.000,0.00,CHI,HARINA Y ACEITE,CHI,0.00,0.00,0.00,FHMI,ZHAR,Tasa - Harina Procesada General,Medios aux.fabricación,COAGULANTE SULFATO FERRICO 40%,,0.000,,000,,000,,000,,00000000000000,,000000000010200023,,0.000,0.000,0.000,0.000
TA10,000020200002,TATI,2019,10,PEN,026,CONSUMOS,0061330115,Suministros diversos consumo,0.000,L,0.00,0.00,0.00,PEN,TATI/31011665,MEK ADITIVO TECNICO 5191 - BOT 1 L,0000000000000000000000000000000031011665,,0.00,0.00,0.00,V,0.120,5.94,49.50,0.000,0.00,CHI,HARINA Y ACEITE,CHI,0.00,0.00,0.00,ZAUX,ZHAR,Tasa - Harina Procesada General,Suministros auxiliares,MEK ADITIVO TECNICO 5191 - BOT 1 L,,0.000,,000,,000,,000,,00000000000000,,000000000031011665,,0.000,0.000,0.000,0.000
TA10,000020200278,TSAM,2020,06,PEN,019,CONSUMOS,0061330115,Suministros diversos consumo,0.000,KG,0.00,0.00,0.00,PEN,TSAM/31010979,HISA 3303,0000000000000000000000000000000031010979,,0.00,0.00,0.00,V,0.100,2.26,22.60,0.000,0.00,CHI,HARINA Y ACEITE,CHI,0.00,0.00,0.00,ZAUX,ZHAR,Tasa - Harina Procesada General,Suministros auxiliares,HISA 3303,,0.000,,000,,000,,000,,00000000000000,,000000000031010979,,0.000,0.000,0.000,0.000
TA10,000020200018,TPSU,2019,11,PEN,005,CONSUMOS,0061330115,Suministros diversos consumo,0.000,KG,0.00,0.00,0.00,PEN,TPSU/31008221,ACIDO NITRICO IND 50-75 CIL 260 KG,0000000000000000000000000000000031008221,,0.00,0.00,0.00,V,120.000,242.40,2.02,0.000,0.00,CHI,HARINA Y ACEITE,CHI,0.00,0.00,0.00,ZAUX,ZHAR,Tasa - Harina Procesada General,Suministros auxiliares,ACIDO NITRICO IND 50-75 CIL 260 KG,,0.000,,000,,000,,000,,00000000000000,,000000000031008221,,0.000,0.000,0.000,0.000
TA10,000020200147,TMSU,2019,12,PEN,022,CONSUMOS,0061330110,Variac. Exist. Envases y Embalajes consu,0.000,ST,0.00,0.00,0.00,PEN,TMSU/20000617,SACO POLIPROP BLANCO TIPO JUMBO / 1 TM,0000000000000000000000000000000020000617,,0.00,0.00,0.00,V,2.000,86.76,43.38,0.000,0.00,CHI,HARINA Y ACEITE,CHI,0.00,0.00,0.00,LEER,ZHAR,Tasa - Harina Procesada General,Envases y Embalajes,SACO POLIPROP BLANCO TIPO JUMBO / 1 TM,,0.000,,000,,000,,000,,00000000000000,,000000000020000617,,0.000,0.000,0.000,0.000
TA10,000020200424,TMSU,2020,07,PEN,038,CONSUMOS,0061330110,Variac. Exist. Envases y Embalajes consu,0.000,ST,0.00,0.00,0.00,PEN,TMSU/20000617,SACO POLIPROP BLANCO TIPO JUMBO / 1 TM,0000000000000000000000000000000020000617,,0.00,0.00,0.00,V,2.000,84.44,42.22,0.000,0.00,CHI,HARINA Y ACEITE,CHI,0.00,0.00,0.00,LEER,ZHAR,Tasa - Harina Procesada General,Envases y Embalajes,SACO POLIPROP BLANCO TIPO JUMBO / 1 TM,,0.000,,000,,000,,000,,00000000000000,,000000000020000617,,0.000,0.000,0.000,0.000
TA10,000020100053,TCNO,2020,06,PEN,003,CONSUMOS,0071111001,VARIAC. PROD. TERMINADOS  - CONSUMO,0.000,TO,0.00,0.00,0.00,PEN,TCNO/50003906,HARINA NC. COMPACTACION,0000000000000000000000000000000050003906,,0.00,0.00,0.00,S,0.003,5.70,1900.00,0.000,0.00,CHI,HARINA DE REPROCESO,REPROCESO TÉRMICO,0.00,0.00,0.00,FERT,ZRTE,Tasa - Reproceso Térmico,Producto terminado,HARINA NC. COMPACTACION,,0.000,,000,,000,,000,,00000000000000,,000000000050003906,,0.000,0.000,0.000,0.000
TA10,000020100008,TCHI,2019,11,PEN,007,CONSUMOS,0061330110,Variac. Exist. Envases y Embalajes consu,0.000,KG,0.00,0.00,0.00,PEN,TCHI/20000577,HILO - POLIESTER BLANCO P/COSER SC,0000000000000000000000000000000020000577,,0.00,0.00,0.00,V,0.001,0.02,20.00,0.000,0.00,CHI,HARINA DE REPROCESO,REPROCESO TÉRMICO,0.00,0.00,0.00,LEER,ZRTE,Tasa - Reproceso Térmico,Envases y Embalajes,HILO - POLIESTER BLANCO P/COSER SC,,0.000,,000,,000,,000,,00000000000000,,000000000020000577,,0.000,0.000,0.000,0.000
TA10,000021000208,TCNO,2020,02,PEN,013,COSTOS,0063990017,Costos fijos Dif/Apli Congelado,0.000,,0.00,0.00,0.00,PEN,/,,,,0.00,0.00,0.00,,0.000,0.00,0.00,0.000,0.00,CHD,FRESCO,DESPACHO DE PESCADO FRESCO CHD,0.00,0.00,0.00,,ZFRE,Tasa-CH-Despacho De Pescado,,,,0.000,,000,,000,,000,,00000000000000,,,,0.000,0.000,0.000,0.000
TA10,000020200051,TMSU,2019,11,USD,019,CONSUMOS,0061330119,INSUMO - CONSUMO,0.000,KG,0.00,0.00,0.00,USD,TMSU/10200023,COAGULANTE SULFATO FERRICO 40%,0000000000000000000000000000000010200023,,0.00,0.00,0.00,V,931.200,232.80,0.25,0.000,0.00,CHI,HARINA Y ACEITE,CHI,0.00,0.00,0.00,FHMI,ZHAR,Tasa - Harina Procesada General,Medios aux.fabricación,COAGULANTE SULFATO FERRICO 40%,,0.000,,000,,000,,000,,00000000000000,,000000000010200023,,0.000,0.000,0.000,0.000
