MANDT,BUKRS,AUFNR,WERKS_CAB,GJAHR,PERIO,WAERS_PRIN,BUZEI,CATEG_TXT,KSTAR,KSTAR_TXT,MBGBTR,MEINH,WOGBTR,WOGBTR2,WOGBTR_REVAL,WAERS,HERKU,HERKU_TXT,MATNR,KOSTL,COST_PROM,WOGBTR_REVAL2,COST_PROM2,VPRSV,PLANMENG_G,PLANKOST_G,COST_UNIT_G,CANT_NOTI,COST_NOTI,UN_NEGOCIO,LINEA,PROCESO,DESV_CANT,DESV_CANT1,DESV_COST,MTART,AUART,TXT,MTBEZ,MATNR_TXT,AUFEX,EXPOR,MBGBTR2,MEINH2,IDPRO,PROCE,IDFAS,FASES,IDCOM,COMPO,IDCAM,CAMPA,MATN2,EXTCAS,TN_MATPRI,TN_MATPRISP,TN_PRODUC,TN_PRODUCSP
600,TA10,000000400000,TCNO,2020,03,PEN,001,COSTOS,0063930142,Servicios de Agencia de Aduanas PPTT,0,,-10.2,-10.2,-10.2,PEN,/,,,,0,-10.2,0,,0,0,0,0,0,,,,0,0,0,,0400,Orden CO - Marketing,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000400000,TCNO,2020,03,USD,001,COSTOS,0063930142,Servicios de Agencia de Aduanas PPTT,0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,,,,0,0,0,,0400,Orden CO - Marketing,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,09,USD,001,COSTOS,0062710105,Regimen de prestac de salud-Tripulantes,0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,100,0,100,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,09,USD,002,COSTOS,0062150106,Vacaciones tripulantes (Variable),0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,100,0,100,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,09,USD,003,COSTOS,0062730108,SCTR Tripulantes-variable,0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,100,0,100,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,09,USD,004,COSTOS,0062910105,CTS-Planilla Tripulante (Variable),0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,100,0,100,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,09,USD,005,COSTOS,0062201027,Otras Bonificaciones Tripulantes (Variab,0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,100,0,100,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,09,USD,006,COSTOS,0062140104,Gratificac fiest patria /navid tripul (V,0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,100,0,100,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,09,USD,007,COSTOS,0062750111,Sist de Pensiones - Jubilación Tripulant,0,,0,0,0,USD,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,100,0,100,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,10,PEN,001,COSTOS,0062110108,Participaciones de pesca tripulantes,0,,14186.78,14186.78,14186.78,PEN,/,,,,0,14186.78,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,0,0,0,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,10,PEN,002,COSTOS,0062750111,Sist de Pensiones - Jubilación Tripulant,0,,617.68,617.68,617.68,PEN,/,,,,0,617.68,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,0,0,0,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,000000700520,T017,2019,10,PEN,003,COSTOS,0062740105,Seguro Vida Ley Tripulantes Variable,0,,0,0,0,PEN,/,,,,0,0,0,,0,0,0,0,0,EXT,EXTRACCIÓN,EXTRACCIÓN,0,0,0,,RM01,Colector de costes del producto,,,CHI_PES_SUR,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
