MANDT,BUKRS,AUFNR,WERKS_CAB,GJAHR,PERIO,WAERS_PRIN,BUZEI,CATEG_TXT,KSTAR,KSTAR_TXT,MBGBTR,MEINH,WOGBTR,WOGBTR2,WOGBTR_REVAL,WAERS,HERKU,HERKU_TXT,MATNR,KOSTL,COST_PROM,WOGBTR_REVAL2,COST_PROM2,VPRSV,PLANMENG_G,PLANKOST_G,COST_UNIT_G,CANT_NOTI,COST_NOTI,UN_NEGOCIO,LINEA,PROCESO,DESV_CANT,DESV_CANT1,DESV_COST,MTART,AUART,TXT,MTBEZ,MATNR_TXT,AUFEX,EXPOR,MBGBTR2,MEINH2,IDPRO,PROCE,IDFAS,FASES,IDCOM,COMPO,IDCAM,CAMPA,MATN2,EXTCAS,TN_MATPRI,TN_MATPRISP,TN_PRODUC,TN_PRODUCSP
600,TA10,            ,    ,2020,12,PEN  ,000,COSTOS,0063990014,Costos fijos Dif/Apli Planta CHI,0,,-5473271.88,-5473271.88,0,PEN,,,,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,010,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,1084344.67,1084344.67,0,PEN,,HARINA A SUPER PRIME,000000000050003967,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,020,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,2220539.15,2220539.15,0,PEN,,HARINA B PRIME,000000000050003969,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,030,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,1063801.59,1063801.59,0,PEN,,HARINA C TAILANDIA,000000000050003970,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,040,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,351888.75,351888.75,0,PEN,,HARINA D STANDARD,000000000050003971,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,050,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,59304.99,59304.99,0,PEN,,HARINA E GENERAL,000000000050004985,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,060,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,83578.18,83578.18,0,PEN,,ACEITE DE PESCADO PAMA,000000000050003972,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,070,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,52755.28,52755.28,0,PEN,,ACEITE CRUDO NCH,000000000050003974,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,PEN  ,080,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,557059.27,557059.27,0,PEN,,ACEITE CRUDO CH,000000000050003975,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,000,COSTOS,0063990014,Costos fijos Dif/Apli Planta CHI,0,,-1571575.95,-1571575.95,0,USD,,,,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,010,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,311354.9,311354.9,0,USD,,HARINA A SUPER PRIME,000000000050003967,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,020,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,637597.77,637597.77,0,USD,,HARINA B PRIME,000000000050003969,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,030,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,305456.23,305456.23,0,USD,,HARINA C TAILANDIA,000000000050003970,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,040,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,101040.09,101040.09,0,USD,,HARINA D STANDARD,000000000050003971,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,050,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,17028.62,17028.62,0,USD,,HARINA E GENERAL,000000000050004985,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,060,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,23998.34,23998.34,0,USD,,ACEITE DE PESCADO PAMA,000000000050003972,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,070,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,15147.96,15147.96,0,USD,,ACEITE CRUDO NCH,000000000050003974,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
600,TA10,            ,    ,2020,12,USD  ,080,ENTREGAS,0071111002,VARIAC. PROD. TERMINADOS,0,,159952.03,159952.03,0,USD,,ACEITE CRUDO CH,000000000050003975,,0,0,0,,0,0,0,0,0,CHI,HARINA Y ACEITE,CHI,0,0,0,,,ORD CF  8000021 Incluye Extracc CHI,,,,,0,,000,,000,,000,,00000000000000,,,,0,0,0,0
