MANDT,KOSTL,LTEXT,SWERK,FLOTA
600,3100100000,(B)SOPORTE Y CORPORATIVOS,,
600,3100101000,GERENCIA GENERAL,,
600,3100101010,ASISTENCIA GERENCIAL,,
600,3100101020,EVALUACION Y DISEÑO DE PROYECTOS,,
600,3100101030,AUDITORÍA  INTERNA,,
600,3100101040,MARKETING E INTELIGENCIA COMERCIAL,,
600,3100101050,PROYECTOS Y DESARROLLO DE NEGOCIOS,,
600,3100101060,(B)INNOVACION Y MEJORA CONTINUA,,
600,3100102000,GERENCIA DE FINANZAS,,
600,3100102010,(B) ADMINISTRACIÓN CENTRAL,,
600,3100102020,(B) GESTIÓN HUMANA,,
600,3100102030,(B) ABASTECIMIENTO DE RECURSOS,,
600,3100102040,PLANEAMIENTO  ESTRATEGICO Y FINANCIERO,,
600,3100102050,CONTABILIDAD,,
600,3100102060,SOPORTE LEGAL,,
600,3100102070,SOPORTE TECNOLOGIA DE LA INFORMACIÓN.,,
600,3100102080,(B)CONTROL DE GESTION Y CONTRATOS,,
600,3100102090,(B)SERVICIOS GENERALES LIMA,,
600,3100103000,GERENCIA DE OPERACIONES,,
600,3100103010,SEGURIDAD,,
600,3100103020,SALUD OCUPACIONAL Y MEDIO AMBIENTE,,
600,3100103030,SEGURIDAD OPERACIONAL,,
600,3100103040,SIG DE SSMA,,
600,3100103050,COVID-19 LIMA,,
600,3100103060,PLANEAMIENTO OPERATIVO,,
600,3100103070,OFICINA TÉCNICA,,
600,3100103080,MEJORA CONTINUA,,
600,3100103090,(B)SERVICIO AL CLIENTE,,
600,3100103100,CONTROL DE GESTION,,
600,3100104000,GERENCIA DE GESTIÓN HUMANA,,
600,3100104010,DESARROLLO Y TALENTO,,
600,3100104020,ADMINISTRACIÓN CENTRAL,,
600,3100104030,CLIMA Y CALIDAD DE VIDA,,
600,3100104040,SOPORTE LEGAL GESTION HUMANA,,
600,3100104050,SELECCIÓN DE PERSONAL,,
600,3100104060,REPOSICIÓN DE PERSONAL,,
600,3100104070,RELACIONES LABORALES,,
600,3100104080,FORMACION Y PROYECTOS,,
600,3100104090,CULTURA Y COMUNICACIONES,,
600,3100104100,SERVICIOS GENERALES LIMA,,
600,3100105000,(B) GERENCIA DE SSMA,,
600,3100105010,(B)SEGURIDAD OPERACIONAL,,
600,3100105020,(B)SALUD OCUPACIONAL Y MEDIO AMBIENTE,,
600,3100105030,(B)SIG DE SSMA,,
600,3100105040,(B)COVID-19 LIMA,,
600,3100106000,GERENCIA DE EQUIPOS Y LOGISTICA,,
600,3100106010,PLANEAMIENTO CENTRAL DE EQUIPOS,,
600,3100106020,EQUIPOS Y COMPONENTES,,
600,3100106030,LOGISTICA,,
600,3100106040,ALMACENES Y DISTRIBUCION,,
