MANDT,KSTAR,LTEXT,ZORIG_PPTO
600,0002001GAS,TO OPERACIONES,
600,0002003GAS,TO EQUIPOS LIMA,
600,0002013GAS,TO MANTENIMIENTO,
600,0002021Dep,reciación EQ,
600,0002022Gto,s. Int.-Leasing EQ,
600,0002023Act,ividades EQ,
600,0002024Dep,reciación EQ Lima,
600,0002025Act,ividades EQ Lima,
600,006130 LAO,SUMINISTROS,
600,006130 LOM,SUMINISTROS,
600,006200 LOM,COSTOS DE PERSONAL,
600,006310 LAO,SERVICIO TERCEROS,
600,006310 LOM,SERVICIO TERCEROS,
600,006500 LOM,GASTOS GESTION,
600,00HMAN HOR,AS MANTENIMIENTO,
600,0A6130 LOM,SUMINISTROS CORR,
600,0A6310 LOM,SERVICIO TERCERO CORR,
600,0A6500 LOM,GASTOS GESTION CORR,
600,0B6130 LOM,SUMINISTROS PREV,
600,0B6310 LOM,SERVICIO TERCERO PREV,
600,0B6500 LOM,GASTOS GESTION PREV,
600,0C6130 LOM,SUMINISTROS CRRP,
600,0C6310 LOM,SERVICIO TERCERO CRRP,
600,0C6500 LOM,GASTOS GESTION CRRP,
600,1301001Z-S,uministros Consumo,
600,1320102Sum,inistros Consumo,
600,1320103Sum,inistros de cómputo,
600,1320104Eco,nomato,
600,1320105Sum,inistros Químicos consumo,
600,1323001Man,gueras y accesorios,
600,1323004Per,"nos, anillos y arandelas",
600,1323005Pla,nchas y tolvas,
600,1323006Rod,ajes,
600,1323007Lla,ntas y accesorios,
600,1323008Sol,"dadura, oxigeno, acetileno",
600,1323009Lub,ricante,
600,1323010Fil,tros,
600,1323011Pet,roleo,
600,1323013Ace,ros y accesorios de perforación,
600,1323014Mat,eriales de ventilación,
600,1323015Mat,eriales de sostenimiento,
600,1323016Her,ramientas de operación,
600,1323017Imp,lementos de seguridad,
600,1323018Her,ramientas para voladura,
600,1323019Ins,umos quimicos no fiscalizados,
600,1323020Mat,eriales de Shotcrete,
600,1323023Her,ramientas de Mantenimiento,
600,1323024Cab,les y Accesorios,
600,1323101Rep,uestos Eléctricos,
600,1323102Rep,uestos Mecanicos,
