MANDT,NOMBRE,DESCRIPCION
600,0000075921                    ,>>> Ningún reg.maestro válido
600,0060301001                    ,>>> Ningún reg.maestro válido
600,0060301002                    ,>>> Ningún reg.maestro válido
600,0060301003                    ,>>> Ningún reg.maestro válido
600,0060310101                    ,>>> Ningún reg.maestro válido
600,0060320101                    ,>>> Ningún reg.maestro válido
600,0060330101                    ,>>> Ningún reg.maestro válido
600,0061201001                    ,>>> Ningún reg.maestro válido
600,0061201002                    ,>>> Ningún reg.maestro válido
600,0061201003                    ,>>> Ningún reg.maestro válido
600,0061301001                    ,Z-Suministros Consumo
600,0061301002                    ,Z-Suministros de cómputo
600,0061301003                    ,Z-Economato
600,0061301004                    ,Z-Repuestos Consumo
600,0061302001                    ,Z-Aglomerados
600,0061302002                    ,Z-Acero
600,0061302003                    ,Z-Materiales de arcilla
600,0061302004                    ,Z-Acabados
600,0061302005                    ,Z-Materiales PVC
600,0061302006                    ,Z-Cables y artefactos eléctricos
600,0061302007                    ,Z-Equipamiento
600,0061303001                    ,Z-Mangueras y accesorios
600,0061303002                    ,"Z-Conductores, accesorios"
600,0061303003                    ,Z-Cables de acero y accesorios
600,0061303004                    ,"Z-Pernos, anillos y arandelas"
600,0061303005                    ,Z-Planchas y tolvas
600,0061303006                    ,Z-Rodajes
600,0061303007                    ,Z-Llantas y accesorios
600,0061303008                    ,"Z-Soldadura, oxigeno, acetileno"
600,0061303009                    ,Z-Lubricante
600,0061303010                    ,Z-Filtros
600,0061303011                    ,Z-Petroleo
600,0061303012                    ,Z-Gasolina
600,0061303013                    ,Z-Aceros y accesorios de perforación
600,0061303014                    ,Z-Materiales de ventilación
600,0061303015                    ,Z-Materiales de sostenimiento
600,0061303016                    ,Z-Herramientas
600,0061303017                    ,Z-Implementos de seguridad
600,0061303018                    ,Z-Herramientas para voladura
600,0061303019                    ,Z-Insumos quimicos no fiscalizados
600,0061303101                    ,Z-Repuestos Eléctricos
600,0061303102                    ,Z-Repuestos Mecanicos
600,0061304001                    ,Z-Vestuario
600,0061304002                    ,Z-Habitabilidad
600,0061304003                    ,Z-Defensa y protección
600,0061309999                    ,Z-Suministros y Repuestos faltantes de i
600,0061310101                    ,Otros Materiales auxiliares y suministro
600,0061320101                    ,>>> Ningún reg.maestro válido
600,0061320102                    ,Suministros Consumo
600,0061320103                    ,Suministros de cómputo
