MANDT,PADRE,CHILD1,CHILD2,CHILD3,CHILD4,CHILD5,CHILD6,CHILD7,CHILD8,CHILD9,CHILD10,CHILD11,CHILD12,CHILD13,CHILD14,VALOR
600,0010_GTOS                     ,0010_G0                       ,                              ,                              ,,,,,,,,,,,,0065401008
600,0010_GTOS                     ,0010_G1                       ,                              ,                              ,,,,,,,,,,,,0060330101
600,0010_GTOS                     ,0010_G10                      ,                              ,                              ,,,,,,,,,,,,0063210106
600,0010_GTOS                     ,0010_G11                      ,                              ,                              ,,,,,,,,,,,,0063210107
600,0010_GTOS                     ,0010_G12                      ,                              ,                              ,,,,,,,,,,,,0063210115
600,0010_GTOS                     ,0010_G13                      ,                              ,                              ,,,,,,,,,,,,0063210121
600,0010_GTOS                     ,0010_G14                      ,                              ,                              ,,,,,,,,,,,,0063401023
600,0010_GTOS                     ,0010_G15                      ,                              ,                              ,,,,,,,,,,,,0063520102
600,0010_GTOS                     ,0010_G16                      ,                              ,                              ,,,,,,,,,,,,0063630101
600,0010_GTOS                     ,0010_G17                      ,                              ,                              ,,,,,,,,,,,,0063801026
600,0010_GTOS                     ,0010_G18                      ,                              ,                              ,,,,,,,,,,,,0063801038
600,0010_GTOS                     ,0010_G19                      ,                              ,                              ,,,,,,,,,,,,0063930115
600,0010_GTOS                     ,0010_G2                       ,                              ,                              ,,,,,,,,,,,,0061323013
600,0010_GTOS                     ,0010_G20                      ,                              ,                              ,,,,,,,,,,,,0063930116
600,0010_GTOS                     ,0010_G21                      ,                              ,                              ,,,,,,,,,,,,0063801052
600,0010_GTOS                     ,0010_G22                      ,                              ,                              ,,,,,,,,,,,,0063801030
600,0010_GTOS                     ,0010_G23                      ,                              ,                              ,,,,,,,,,,,,0063801028
600,0010_GTOS                     ,0010_G24                      ,                              ,                              ,,,,,,,,,,,,0063930103
600,0010_GTOS                     ,0010_G25                      ,                              ,                              ,,,,,,,,,,,,0063801007
600,0010_GTOS                     ,0010_G26                      ,                              ,                              ,,,,,,,,,,,,0063930107
600,0010_GTOS                     ,0010_G27                      ,                              ,                              ,,,,,,,,,,,,0063930111
600,0010_GTOS                     ,0010_G28                      ,                              ,                              ,,,,,,,,,,,,0063930122
600,0010_GTOS                     ,0010_G29                      ,                              ,                              ,,,,,,,,,,,,0064101001
600,0010_GTOS                     ,0010_G3                       ,                              ,                              ,,,,,,,,,,,,0062301002
600,0010_GTOS                     ,0010_G30                      ,                              ,                              ,,,,,,,,,,,,0065101013
600,0010_GTOS                     ,0010_G31                      ,                              ,                              ,,,,,,,,,,,,0065301001
600,0010_GTOS                     ,0010_G32                      ,                              ,                              ,,,,,,,,,,,,0065401001
600,0010_GTOS                     ,0010_G34                      ,                              ,                              ,,,,,,,,,,,,0068141001
600,0010_GTOS                     ,0010_G35                      ,                              ,                              ,,,,,,,,,,,,0067320103
600,0010_GTOS                     ,0010_G4                       ,                              ,                              ,,,,,,,,,,,,0063111001
600,0010_GTOS                     ,0010_G5                       ,                              ,                              ,,,,,,,,,,,,0063120101
600,0010_GTOS                     ,0010_G6                       ,                              ,                              ,,,,,,,,,,,,0063130101
600,0010_GTOS                     ,0010_G7                       ,                              ,                              ,,,,,,,,,,,,0063301027
600,0010_GTOS                     ,0010_G8                       ,                              ,                              ,,,,,,,,,,,,0063210104
600,0010_GTOS                     ,0010_G9                       ,                              ,                              ,,,,,,,,,,,,0063210105
600,0011_COSTO                    ,0011_CTAS.10                  ,                              ,                              ,,,,,,,,,,,,0065970106
600,0011_COSTO                    ,0011_CTAS.11                  ,                              ,                              ,,,,,,,,,,,,0063930102
600,0011_COSTO                    ,0011_CTAS.12                  ,                              ,                              ,,,,,,,,,,,,0063210123
600,0011_COSTO                    ,0011_CTAS.13                  ,                              ,                              ,,,,,,,,,,,,0063801013
600,0011_COSTO                    ,0011_CTAS.14                  ,                              ,                              ,,,,,,,,,,,,0063401010
600,0011_COSTO                    ,0011_CTAS.15                  ,                              ,                              ,,,,,,,,,,,,0063401006
600,0011_COSTO                    ,0011_CTAS.16                  ,                              ,                              ,,,,,,,,,,,,0063801040
600,0011_COSTO                    ,0011_CTAS.17                  ,                              ,                              ,,,,,,,,,,,,0063520103
600,0011_COSTO                    ,0011_CTAS.18                  ,                              ,                              ,,,,,,,,,,,,0063930103
600,0011_COSTO                    ,0011_CTAS.19                  ,                              ,                              ,,,,,,,,,,,,0063801002
600,0011_COSTO                    ,0011_CTAS.2                   ,                              ,                              ,,,,,,,,,,,,0061324001
600,0011_COSTO                    ,0011_CTAS.20                  ,                              ,                              ,,,,,,,,,,,,0063120101
600,0011_COSTO                    ,0011_CTAS.21                  ,                              ,                              ,,,,,,,,,,,,0063801020
600,0011_COSTO                    ,0011_CTAS.22                  ,                              ,                              ,,,,,,,,,,,,0063130101
600,0011_COSTO                    ,0011_CTAS.23                  ,                              ,                              ,,,,,,,,,,,,0063930105
