MANDT,KOSTL,KSTAR,GJAHR,VERSN,LFMON,WRTTP,VRGNG,WTG001,WOG001
600,3100100000,0061320103,2018,000,   ,04,    ,0,0
600,3100100000,0061320104,2010,000,   ,04,    ,0,0
600,3100100000,0061320104,2016,000,   ,04,    ,0,0
600,3100100000,0063112001,2017,000,   ,04,    ,0,0
600,3100100000,0063112001,2018,000,   ,04,    ,0,0
600,3100100000,0063112003,2017,000,   ,04,    ,0,0
600,3100100000,0063112003,2018,000,   ,04,    ,0,0
600,3100100000,0063120101,2015,000,   ,04,    ,146.63,500
600,3100100000,0063120101,2016,000,   ,04,    ,0,0
600,3100100000,0063150101,2011,000,   ,04,    ,0,0
600,3100100000,0063150103,2018,000,   ,04,    ,0,0
600,3100100000,0063210104,2015,000,   ,04,    ,6.81,23
600,3100100000,0063210104,2018,000,   ,04,    ,0,0
600,3100100000,0063210113,2013,000,   ,04,    ,0,0
600,3100100000,0063210116,2017,000,   ,04,    ,0,0
600,3100100000,0063210121,2010,000,   ,04,    ,0,0
600,3100100000,0063210121,2011,000,   ,04,    ,0,0
600,3100100000,0063210121,2012,000,   ,04,    ,0,0
600,3100100000,0063210121,2013,000,   ,04,    ,0,0
600,3100100000,0063210121,2014,000,   ,04,    ,0,0
600,3100100000,0063210121,2015,000,   ,04,    ,548.79,1864.9
600,3100100000,0063210121,2016,000,   ,04,    ,0,0
600,3100100000,0063210121,2017,000,   ,04,    ,0,0
600,3100100000,0063210121,2018,000,   ,04,    ,0,0
600,3100100000,0063210121,2019,000,   ,04,    ,0,0
600,3100100000,0063210123,2010,000,   ,04,    ,0,0
600,3100100000,0063210123,2011,000,   ,04,    ,0,0
600,3100100000,0063210123,2012,000,   ,04,    ,0,0
600,3100100000,0063210123,2016,000,   ,04,    ,0,0
600,3100100000,0063210123,2017,000,   ,04,    ,0,0
600,3100100000,0063210123,2018,000,   ,04,    ,0,0
600,3100100000,0063210124,2016,000,   ,04,    ,0,0
600,3100100000,0063210125,2010,000,   ,04,    ,0,0
600,3100100000,0063210125,2011,000,   ,04,    ,0,0
600,3100100000,0063210125,2012,000,   ,04,    ,0,0
600,3100100000,0063210125,2013,000,   ,04,    ,0,0
600,3100100000,0063210125,2014,000,   ,04,    ,0,0
600,3100100000,0063210125,2015,000,   ,04,    ,92723.08,315980.07
600,3100100000,0063210125,2016,000,   ,04,    ,0,0
600,3100100000,0063210125,2017,000,   ,04,    ,0,0
600,3100100000,0063210125,2018,000,   ,04,    ,0,0
600,3100100000,0063301001,2009,000,   ,04,    ,0,0
600,3100100000,0063301002,2009,000,   ,04,    ,0,0
600,3100100000,0063301022,2009,000,   ,04,    ,0,0
600,3100100000,0063301024,2009,000,   ,04,    ,0,0
600,3100100000,0063301026,2009,000,   ,04,    ,0,0
600,3100100000,0063401001,2016,000,   ,04,    ,0,0
600,3100100000,0063401001,2017,000,   ,04,    ,0,0
600,3100100000,0063401001,2018,000,   ,04,    ,0,0
600,3100100000,0063401004,2018,000,   ,04,    ,0,0
