MANDT,KOSTL,KSTAR,GJAHR,VERSN,LFMON,WRTTP,VRGNG,WTG001,WOG001
600,3100100000,0061320103,2018,000,01 ,04,    ,0,0
600,3100100000,0061320103,2018,000,02 ,04,    ,0,0
600,3100100000,0061320103,2018,000,03 ,04,    ,0,0
600,3100100000,0061320103,2018,000,04 ,04,    ,0,0
600,3100100000,0061320103,2018,000,05 ,04,    ,0,0
600,3100100000,0061320103,2018,000,06 ,04,    ,0,0
600,3100100000,0061320103,2018,000,07 ,04,    ,0,0
600,3100100000,0061320103,2018,000,08 ,04,    ,0,0
600,3100100000,0061320103,2018,000,09 ,04,    ,0,0
600,3100100000,0061320103,2018,000,10 ,04,    ,0,0
600,3100100000,0061320103,2018,000,11 ,04,    ,0,0
600,3100100000,0061320103,2018,000,12 ,04,    ,0,0
600,3100100000,0061320104,2010,000,01 ,04,    ,0,0
600,3100100000,0061320104,2010,000,02 ,04,    ,0,0
600,3100100000,0061320104,2010,000,03 ,04,    ,0,0
600,3100100000,0061320104,2010,000,04 ,04,    ,0,0
600,3100100000,0061320104,2010,000,05 ,04,    ,0,0
600,3100100000,0061320104,2010,000,06 ,04,    ,0,0
600,3100100000,0061320104,2010,000,07 ,04,    ,0,0
600,3100100000,0061320104,2010,000,08 ,04,    ,0,0
600,3100100000,0061320104,2010,000,09 ,04,    ,0,0
600,3100100000,0061320104,2010,000,10 ,04,    ,0,0
600,3100100000,0061320104,2010,000,11 ,04,    ,0,0
600,3100100000,0061320104,2010,000,12 ,04,    ,0,0
600,3100100000,0061320104,2016,000,01 ,04,    ,0,0
600,3100100000,0061320104,2016,000,02 ,04,    ,0,0
600,3100100000,0061320104,2016,000,03 ,04,    ,0,0
600,3100100000,0061320104,2016,000,04 ,04,    ,0,0
600,3100100000,0061320104,2016,000,05 ,04,    ,0,0
600,3100100000,0061320104,2016,000,06 ,04,    ,0,0
600,3100100000,0061320104,2016,000,07 ,04,    ,0,0
600,3100100000,0061320104,2016,000,08 ,04,    ,0,0
600,3100100000,0061320104,2016,000,09 ,04,    ,0,0
600,3100100000,0061320104,2016,000,10 ,04,    ,0,0
600,3100100000,0061320104,2016,000,11 ,04,    ,0,0
600,3100100000,0061320104,2016,000,12 ,04,    ,0,0
600,3100100000,0063112001,2017,000,01 ,04,    ,0,0
600,3100100000,0063112001,2017,000,02 ,04,    ,0,0
600,3100100000,0063112001,2017,000,03 ,04,    ,0,0
600,3100100000,0063112001,2017,000,04 ,04,    ,0,0
600,3100100000,0063112001,2017,000,05 ,04,    ,0,0
600,3100100000,0063112001,2017,000,06 ,04,    ,0,0
600,3100100000,0063112001,2017,000,07 ,04,    ,0,0
600,3100100000,0063112001,2017,000,08 ,04,    ,0,0
600,3100100000,0063112001,2017,000,09 ,04,    ,0,0
600,3100100000,0063112001,2017,000,10 ,04,    ,0,0
600,3100100000,0063112001,2017,000,11 ,04,    ,0,0
600,3100100000,0063112001,2017,000,12 ,04,    ,0,0
600,3100100000,0063112001,2018,000,01 ,04,    ,0,0
600,3100100000,0063112001,2018,000,02 ,04,    ,0,0
