MANDT,NRDES,TICKE,CDBAL,CDTPC,CDPTA,CDEMB,CDPDG,CDLDS,CDBOM,CDSPC,CNPDS,DCMPC,EMPRD,MBLNR,EMCVN,FIDES,HIDES,FFDES,HFDES,ESDES,FECCONMOV,NROPEDI,PESACUMOD,DOC_MB1B,DOC_MIGO,DOC_MFBF,NROLOTE,SALDO,CNPCM,MREMB,FHMOD,HRMOD,ATMOD,TPDES,CNTOL
600,TVEG005658,00006080,0000000017,I,0011,0000000064,008,N,,0000000004,121.88,,0000,,0000,2025-05-18,21:14:00,2025-05-18,22:31:00,N,2025-05-18,,121.88,4900404080,,4900404069,TVEG005658,121.88,140,HO-10722-PM,0000-00-00,00:00:00,,,91
600,TCHI013369,00008385,0000000038,I,0119,0000004080,029,S,,0000000004,86.3,,0000,,0000,2025-05-19,00:03:00,2025-05-19,01:31:00,N,2025-05-18,5010219274,86.3,,5000249690,,TCHI013369,86.3,100,CE-28225-PM,0000-00-00,00:00:00,,,91
600,TCHI013373,00011593,0000000039,I,0119,0000004061,029,N,,0000000004,68.145,,0000,,0000,2025-05-19,01:41:00,2025-05-19,02:58:00,N,2025-05-18,5010219287,68.145,,5000249747,,TCHI013373,68.145,75,PT-03901-PM,0000-00-00,00:00:00,,,83
600,TCNO008778,00003621,0000000019,I,0012,0000000240,004,S,,0000000004,191.72,,0000,,0000,2025-05-19,01:19:00,2025-05-19,02:58:00,N,2025-05-18,5010219278,191.72,,5000249639,,TCNO008778,191.72,210,CO-43668-PM,0000-00-00,00:00:00,,,126
600,TCNO008779,00004195,0000000043,I,0012,0000000013,022,N,,0000000004,187.485,,0000,,0000,2025-05-19,01:20:00,2025-05-19,03:02:00,N,2025-05-18,,187.485,4900404257,,4900404256,TCNO008779,187.485,200,HO-10201-PM,0000-00-00,00:00:00,,,121
600,TCHI013378,00010449,0000000040,I,0119,0000004831,020,S,,0000000004,79.91,,0000,,0000,2025-05-19,04:23:00,2025-05-19,05:36:00,N,2025-05-18,5010219288,79.91,,5000249739,,TCHI013378,79.91,87,PT-59633-PM,0000-00-00,00:00:00,,,96
600,TCHI013379,00011595,0000000039,I,0119,0000004956,029,N,,0000000004,37.545,,0000,,0000,2025-05-19,05:07:00,2025-05-19,05:43:00,N,2025-05-18,5010219289,37.545,,5000249748,,TCHI013379,37.545,42,TA-70406-PM,0000-00-00,00:00:00,,,46
600,TVEG005665,00006082,0000000017,I,0011,0000000046,008,N,,0000000004,224.2,,0000,,0000,2025-05-19,00:13:00,2025-05-19,02:07:00,N,2025-05-18,,224.2,4900404378,,4900404377,TVEG005665,224.2,240,HO-6579-PM,0000-00-00,00:00:00,,,167
600,TCHI013382,00001273,0000000047,I,0119,0000001132,020,N,,0000000004,47.395,,0000,,0000,2025-05-19,05:59:00,2025-05-19,06:50:00,N,2025-05-18,5010219291,47.395,,5000249791,,TCHI013382,47.395,60,CO-20742-CM,0000-00-00,00:00:00,,,57
600,TCHI013381,00010450,0000000040,I,0119,0000004041,020,S,,0000000004,77.95,,0000,,0000,2025-05-19,05:40:00,2025-05-19,06:49:00,N,2025-05-18,5010219292,77.95,,5000249773,,TCHI013381,77.95,85,PL-17597-CM,0000-00-00,00:00:00,,,93
600,TVEG005666,00002340,0000000046,I,0011,0000000042,033,N,,0000000004,272.635,,0000,,0000,2025-05-18,23:12:00,2025-05-19,02:14:00,N,2025-05-18,,272.635,4900404396,,4900404394,TVEG005666,272.635,320,PS-6710-PM,0000-00-00,00:00:00,,,220
600,TCHI013383,00011596,0000000039,I,0119,0000004505,029,N,,0000000004,84.635,,0000,,0000,2025-05-19,05:50:00,2025-05-19,06:53:00,N,2025-05-18,5010219293,84.635,,5000249774,,TCHI013383,84.635,85,TA-3854-PM,0000-00-00,00:00:00,,,101
600,TCNO008783,00002143,0000000044,I,0012,0000000413,022,S,,0000000004,114.44,,0000,,0000,2025-05-19,05:07:00,2025-05-19,06:56:00,N,2025-05-18,5010219294,114.44,,5000249786,,TCNO008783,114.44,120,IO-12075-PM,0000-00-00,00:00:00,,,93
600,TCHI013384,00008386,0000000038,I,0119,0000004586,029,S,,0000000004,177.63,,0000,,0000,2025-05-19,06:20:00,2025-05-19,07:47:00,N,2025-05-18,5010219295,177.63,,5000249835,,TCHI013384,177.63,190,CO-11071-PM,0000-00-00,00:00:00,,,180
600,TCHI013385,00011597,0000000039,I,0119,0000000350,029,N,,0000000004,81.195,,0000,,0000,2025-05-19,06:56:00,2025-05-19,07:57:00,N,2025-05-18,5010219296,81.195,,5000249854,,TCHI013385,81.195,80,PT-20064-PM,0000-00-00,00:00:00,,,97
600,TCHI013364,00011590,0000000039,I,0119,0000000585,029,N,,0000000004,89.71,,0000,,0000,2025-05-18,22:12:00,2025-05-18,23:30:00,N,2025-05-18,5010219271,89.71,,5000249648,,TCHI013364,89.71,80,PL-02703-PM,0000-00-00,00:00:00,,,108
600,TCHI013365,00008384,0000000038,I,0119,0000004186,029,S,,0000000004,196.68,,0000,,0000,2025-05-18,21:56:00,2025-05-18,23:35:00,N,2025-05-18,5010219266,196.68,,5000249575,,TCHI013365,196.68,200,CE-13954-PM,0000-00-00,00:00:00,,,203
600,TMSU010713,00005489,0000000041,I,0005,0000000214,035,N,,0000000004,263.27,,0000,,0000,2025-05-18,21:33:00,2025-05-18,23:59:00,N,2025-05-18,,263.27,4900404145,,4900404144,TMSU010713,263.27,280,CO-18294-PM,0000-00-00,00:00:00,,,211
600,TVEG005660,00006081,0000000017,I,0011,0000000062,008,N,,0000000004,200.23,,0000,,0000,2025-05-18,22:32:00,2025-05-19,00:12:00,N,2025-05-18,,200.23,4900404078,,4900404077,TVEG005660,200.23,210,PS-10414-PM,0000-00-00,00:00:00,,,149
600,TPSU002316,00003992,0000000026,I,0015,0000000005,010,S,,0000000004,461.075,,0000,,0000,2025-05-18,20:10:00,2025-05-19,01:01:00,N,2025-05-18,,461.075,4900404159,,4900404158,TPSU002316,461.075,500,CO-22326-PM,0000-00-00,00:00:00,,,344
600,TCHI013368,00001268,0000000047,I,0119,0000000228,020,N,,0000000004,32.075,,0000,,0000,2025-05-18,23:05:00,2025-05-19,00:56:00,N,2025-05-18,,32.075,4900404195,,4900404194,TCHI013368,32.075,40,PS-22771-PM,0000-00-00,00:00:00,,,38
600,TCNO008776,00003620,0000000019,I,0012,0000000041,004,S,,0000000004,235.625,,0000,,0000,2025-05-18,20:25:00,2025-05-19,01:07:00,N,2025-05-18,,235.625,4900404197,,4900404196,TCNO008776,235.625,290,PT-02461-PM,0000-00-00,00:00:00,,,155
600,TCNO008777,00002142,0000000044,I,0012,0000000222,022,S,,0000000004,186.41,,0000,,0000,2025-05-18,22:49:00,2025-05-19,01:13:00,N,2025-05-18,,186.41,4900404175,,4900404174,TCNO008777,186.41,200,CO-14971-PM,0000-00-00,00:00:00,,,151
600,TVEG005661,00005461,0000000018,I,0011,0000000032,008,S,,0000000004,138.26,,0000,,0000,2025-05-18,19:15:00,2025-05-18,21:07:00,N,2025-05-18,,138.26,4900404211,,4900404210,TVEG005661,138.26,170,SE-0831-PM,0000-00-00,00:00:00,,,108
600,TSUP003221,00004630,0000000016,I,0010,0000000047,005,S,,0000000004,251.18,,0000,,0000,2025-05-18,22:22:00,2025-05-19,01:17:00,N,2025-05-18,,251.18,4900404221,,4900404220,TSUP003221,251.18,290,CE-4830-PM,0000-00-00,00:00:00,,,203
600,TCHI013372,00010447,0000000040,I,0119,0000004187,020,S,,0000000004,129.605,,0000,,0000,2025-05-19,01:05:00,2025-05-19,02:55:00,N,2025-05-18,5010219277,129.605,,5000249704,,TCHI013372,129.605,150,CE-0254-PM,0000-00-00,00:00:00,,,155
600,TCHI013374,00001270,0000000047,I,0119,0000003895,020,N,,0000000004,81.465,,0000,,0000,2025-05-19,02:17:00,2025-05-19,03:28:00,N,2025-05-18,5010219279,81.465,,5000249707,,TCHI013374,81.465,70,SY-21108-PM,0000-00-00,00:00:00,,,96
600,TCHI013375,00010448,0000000040,I,0119,0000001122,020,S,,0000000004,60.015,,0000,,0000,2025-05-19,03:09:00,2025-05-19,04:10:00,N,2025-05-18,5010219280,60.015,,5000249732,,TCHI013375,60.015,68,PT-20063-CM,0000-00-00,00:00:00,,,71
600,TCNO008782,00003710,0000000020,I,0012,0000004876,004,N,,0000000004,58.28,,0000,,0000,2025-05-19,04:15:00,2025-05-19,04:59:00,N,2025-05-18,5010219285,58.28,,5000249744,,TCNO008782,58.28,70,HO-66639-PM,0000-00-00,00:00:00,,,38
600,TCHI013377,00011594,0000000039,I,0119,0000004872,029,N,,0000000004,13.665,,0000,,0000,2025-05-19,03:10:00,2025-05-19,05:01:00,N,2025-05-18,5010219284,13.665,,5000249735,,TCHI013377,13.665,20,PT-65521-PM,0000-00-00,00:00:00,,,16
