MANDT,CDEMB,NMEMB,MREMB,NRPER,CDEMP,CDSPE,REGIM,CDTPR,CDTCS,CVADM,CPSDM,CVPMS,CPPMS,CDGCP,CDGFL,CDGAC,WERKS,LGORT,CDALS,KOSTL,NRUBC,COCSC,ESLOR,MANGA,PNTAL,TRBRT,TRNET,ESEMB,IMAGN,FCEMB,UCEMB,FMEMB,UMEMB,NRTRI,FHACT,TCBPS,CDTEM,CNVPS,FCVPS,INOOC,CPNCN,CPNSR,EMPTO,TONAB,AQBRT,AQNET,CDTAN,NRORD,COCAS,COSUP,OCMSP,OSMSP,CDSVE,AREMB,EPNSU,HPACH,CODHA
600,0000000001,TASA 12,CE-13274-PM,00000000,0000000001,001,,4,A,156.13,160.191,156.13,160.19,003,002,I,FP02,L002,L001,3203120201,00,1,0,0,0,0,0,O,,0000-00-00,,2010-11-18,,15,0000-00-00,30,001,N,2008-04-01,1,0,0,N,0,0,0,3000,4,,,,620001670,,,N,S,
600,0000000002,TASA 43,CO-21913-PM,00000000,0000000001,001,,1,A,399.31,409.69,399.307,409.69,005,002,I,T043,L002,L001,3023120002,00,0,0,0,0,0,0,O,,0000-00-00,,2025-03-13,,21,0000-00-00,90,001,S,2008-04-01,1,0,0,S,0.208,410.03,101.1,8600,55,AZUL - CELESTE,BLANCO - CELESTE,,,,,S,S,
600,0000000003,TASA 44,CO-22058-PM,00000000,0000000001,001,,1,A,400,410.4,400,410.4,006,002,I,T044,L002,L001,3023120003,00,0,0,0,0,0,0,O,,0000-00-00,,2025-07-28,,21,0000-00-00,90,001,S,2008-04-01,1,0,0,S,0.203,422.41,100.8,10000,56,CELESTE,BLANCO,,,,,S,S,
600,0000000004,TASA 45,CO-22029-PX,00000000,0000000001,001,,1,A,364.84,374.321,364.844,374.33,005,002,I,T045,L002,L001,3023120001,00,0,0,0,0,0,0,S,,0000-00-00,,2025-04-05,,21,0000-00-00,70,001,S,2008-04-01,1,0,0,S,0.168,422.49,91.66,10687,57,AZUL - CELESTE,BLANCO - CELESTE,,,,,,S,
600,0000000005,TASA 55,CO-22326-PM,00000000,0000000001,001,,1,A,500,513,500,513,007,004,I,T055,L002,L001,3023140005,00,0,0,0,0,0,0,O,,0000-00-00,,2025-03-26,,21,0000-00-00,130,001,S,0000-00-00,1,0,0,S,0.235,500.05,127.08,15000,82,AZUL,BLANCO,,,,,S,S,
600,0000000006,CHATA CHILLON (TASA CALLAO),CO-13678-AM,00000000,0000000001,001,,,,0,0,0,0,00,099,,,,,3032145001,,0,0,0,0,0,0,O,,0000-00-00,,2019-12-26,,28,0000-00-00,0,013,S,0000-00-00,2,0,0,,0,0,0,0,0,,,,,,,S,S,
600,0000000007,CHATA SAN ANTONIO IV (TASA PISCO),CO-18469-AM,00000000,0000000001,001,,,,0,0,0,0,00,099,,,,,3032105001,,0,0,0,0,0,0,O,,0000-00-00,,2024-11-22,,22,0000-00-00,0,013,S,0000-00-00,2,0,0,,0,0,0,0,0,,,,,,,,N,
600,0000000008,CHATA COPETSA (TASA SUPE),SE-13042-AM,00000000,0000000001,001,,,,0,0,0,0,00,099,,,,,3032125001,,0,0,0,0,0,0,O,,0000-00-00,,2019-12-26,,27,0000-00-00,0,013,S,0000-00-00,2,0,0,,0,0,0,0,0,,,,,,,S,N,
600,0000000009,CHATA ECESA (TASA SAMANCO),CE-13011-AM,00000000,0000000001,001,,,,0,0,0,0,00,099,,,,,3032115001,,0,0,0,0,0,0,O,,0000-00-00,,2019-12-26,,19,0000-00-00,0,013,S,0000-00-00,2,0,0,,0,0,0,0,0,,,,,,,S,N,
600,0000000010,CHATA SARIMON,,00000000,0000000001,,,1,A,0,0,0,0,00,099,,,,,3032115001,,0,0,0,0,0,0,O,,0000-00-00,,2022-12-22,,2,0000-00-00,0,009,S,0000-00-00,,0,0,,0,0,0,0,0,,,,,,,S,N,
600,0000000011,CHATA TASA MALABRIGO,CO-22279-AM,00000000,0000000001,001,,,,0,0,0,0,00,099,,,,,3032135001,,0,0,0,0,0,0,O,,0000-00-00,,2020-11-12,,18,0000-00-00,0,013,S,0000-00-00,2,0,0,,0,0,0,0,0,,,,,,,S,N,
600,0000000012,TASA 56,CO-19871-PM,00000000,0000000001,001,,1,A,520.07,533.59,487.33,500,007,004,I,T056,L002,L001,3023140001,00,0,0,0,0,0,0,O,,0000-00-00,,2024-01-01,,23,0000-00-00,130,001,S,0000-00-00,1,0,0,S,0.205,612,132.31,10000,83,AZUL,BLANCO - CELESTE,,,,,S,S,
600,0000000013,TASA 21,HO-10201-PM,00000000,0000000001,001,,5,A,321.64,330,321.64,330.003,005,003,I,T021,L002,L001,3023130006,00,0,0,0,0,0,0,O,,0000-00-00,,2021-09-01,,18,0000-00-00,70,001,S,2008-04-01,1,0,0,S,0.154,266.85,81,7150,60,NEGRO,AZUL,,,,,S,S,
600,0000000014,TASA 51,CO-20761-PM,00000000,0000000001,001,,1,A,586.46,601.71,586.461,601.71,007,004,I,T051,L002,L001,3023140011,00,0,0,0,0,0,0,O,,0000-00-00,,2024-07-15,,21,0000-00-00,130,001,S,0000-00-00,1,0,0,S,0.343,550.02,150.8,15000,78,AZUL,BLANCO - CELESTE,,,,,S,S,
600,0000000015,TASA 52,CO-20777-PM,00000000,0000000001,001,,1,A,589.22,604.539,598.216,604.539,007,004,I,T052,L002,L001,3023140012,00,0,0,0,0,0,0,O,,0000-00-00,,2023-12-23,,21,0000-00-00,130,001,S,0000-00-00,1,0,0,S,0.328,556.96,151.51,15500,79,AZUL,BLANCO - CELESTE,,,,,S,S,
600,0000000016,TASA 53,CO-13918-PM,00000000,0000000001,001,,1,A,572.9,551,572.9,545.69,007,004,I,T053,L002,L001,3023140009,00,0,0,0,0,0,0,O,,0000-00-00,,2023-09-18,,21,0000-00-00,130,001,S,2008-05-20,1,0,0,S,0.271,457.66,140.15,15000,80,AZUL,,,,,,S,S,
600,0000000017,TASA 41,CO-10614-PM,00000000,0000000001,001,,1,A,480.72,493.224,480.721,493.22,006,004,I,T041,L002,L001,3023140004,00,0,0,0,0,0,0,O,,0000-00-00,,2024-10-11,,21,0000-00-00,90,001,S,0000-00-00,1,0,0,S,0.211,484.67,122.03,8500,73,AZUL,BLANCO - CELESTE,,,,,S,S,
600,0000000018,TASA 31,PT-6531-PM,00000000,0000000001,001,,4,A,321.5,329.865,321.5,160,,001,I,T031,L002,L001,3023110005,00,0,0,0,0,0,0,O,,0000-00-00,,2024-10-31,,18,0000-00-00,70,001,S,2008-11-06,1,0,0,S,0.147,200.44,81.4,4000,38,BLANCO - NEGRO,BLANCO - NEGRO - VER,,,,,,S,
600,0000000019,TASA 23,IO-11723-PM,00000000,0000000001,001,,5,A,321.64,330,321.64,330.003,005,003,I,T023,L002,L001,3023130007,00,0,0,0,0,0,0,O,,0000-00-00,,2021-09-01,,18,0000-00-00,70,001,S,2008-05-14,1,0,0,S,0.16,265.74,80.66,5700,64,AZUL,BLANCO - CELESTE,,,,,S,S,
