MANDT,NRMAR,NREVN,CDTEV,DSEVN,FIEVN,HIEVN,FFEVN,HFEVN,CDZPC,CDPTO,CDPTA,CDEMP,CDMNP,ESOPE,CDMLM,STCMB,LTGEO,LNGEO,TEMAR,CDTDS,TMESP,CDMES,KMEVN,MBLNR1,MJAHR1,EBELN,VBELN,MDOCM,MBLNR2,MJAHR2,ESEVN,FCEVN,HCEVN,ACEVN,FMEVN,HMEVN,AMEVN,NRDES,MUEST,ESTSF,FICAL,HICAL,FFCAL,HFCAL,MOTVEN
600,975,2,2,,2009-04-18,05:20:00,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,15:21:40,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,975,3,3,,2009-04-18,13:00:00,2009-04-18,15:00:00,0007,0001,0016,0000000001,,,,0,01601,07425,18.6,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,15:22:13,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,975,4,4,,2009-04-18,18:12:55,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,18:12:55,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,975,5,5,,2009-04-18,20:00:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,1508,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,21:05:16,MBOULANGGER,2009-04-18,21:07:52,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,975,6,6,,2009-04-18,22:21:00,2009-04-18,23:00:00,,0001,0016,0000000001,,,,2000,,,0,P,0,,,,0000,,,,,0000,S,2009-04-19,02:37:49,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,FS19002157,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,976,1,1,,2009-04-18,00:50:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,2995,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,03:00:50,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,976,2,2,,2009-04-18,05:00:00,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,08:14:07,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,976,3,3,,2009-04-18,06:10:00,2009-04-18,08:00:00,0007,0001,0016,0000000001,,,,0,01615,07416,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,08:15:18,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,976,4,3,,2009-04-18,13:00:00,2009-04-18,14:35:00,0007,0001,0016,0000000001,,,,0,01601,07424,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,15:00:18,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,976,5,4,,2009-04-18,16:54:38,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,16:54:38,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,976,6,5,,2009-04-18,21:30:43,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,2685,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,21:30:43,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,976,7,6,,2009-04-19,02:03:00,2009-04-19,02:31:00,,0001,0016,0000000001,,,,2680,,,0,P,0,,,,0000,,,,,0000,S,2009-04-19,02:40:53,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,FS19002161,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,977,1,1,,2009-04-18,03:02:56,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,1910,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,03:02:56,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,977,2,2,,2009-04-18,05:50:00,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,11:50:30,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,977,3,3,,2009-04-18,09:30:00,2009-04-18,11:40:00,0007,0001,0016,0000000001,,,,0,01619,07414,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,11:50:51,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,977,4,3,,2009-04-18,14:00:00,2009-04-18,15:40:00,0007,0001,0016,0000000001,,,,0,01609,07420,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,15:46:24,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,977,5,4,,2009-04-18,18:15:05,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,18:15:05,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,977,6,5,,2009-04-18,22:15:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,1600,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,22:37:24,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,977,7,6,,2009-04-19,07:49:00,2009-04-19,08:38:00,,0001,0016,0000000001,,,,1580,,,0,P,0,,,,0000,,,,,0000,S,2009-04-19,13:28:01,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,FS19002171,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,1,1,,2009-04-18,03:11:49,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,3820,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,03:11:49,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,2,2,,2009-04-18,05:00:00,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,08:39:30,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,3,3,,2009-04-18,06:30:00,2009-04-18,08:00:00,0007,0001,0016,0000000001,,,,0,01617,07417,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,08:43:21,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,4,3,,2009-04-18,09:30:00,2009-04-18,11:00:00,0007,0001,0016,0000000001,,,,0,01607,07422,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,11:19:59,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,5,3,,2009-04-18,12:35:00,2009-04-18,14:00:00,0007,0001,0016,0000000001,,,,0,01600,07425,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,14:56:26,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,6,4,,2009-04-18,18:02:09,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,18:02:09,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,7,5,,2009-04-18,20:00:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,3540,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,21:29:15,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,978,8,6,,2009-04-18,23:25:00,2009-04-19,00:18:00,,0001,0016,0000000001,,,,3535,,,0,P,0,,,,0000,,,,,0000,S,2009-04-19,02:36:11,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,FS19002158,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,980,1,H,,2009-04-18,11:28:35,0000-00-00,00:00:00,,0011,0006,0000000001,,,,1450,,,0,,0,,MOTORISTA CORRIGIO EL STOK AL ARRIBO,,0000,,,,,0000,S,2009-04-18,11:28:35,ROVIEDO,0000-00-00,00:00:00,ROVIEDO,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,981,1,H,,2009-04-18,07:34:23,0000-00-00,00:00:00,,0023,0002,0000000001,,,,172,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,07:34:23,NCARRASCO,2009-04-27,08:16:23,NCARRASCO,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,982,1,1,,2009-04-18,07:11:00,0000-00-00,00:00:00,,0005,0012,0000000001,,N,,9300,,,0,,0,,ZARPO EN TRAVESIA Y PROSPECCION CON RUMBO A PISCO,,0000,,,,,0000,S,2009-04-18,07:56:38,WCARBAJAL,0000-00-00,00:00:00,WCARBAJAL,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,982,2,5,,2009-04-18,21:56:00,0000-00-00,00:00:00,,0025,0014,0000000001,,N,,8600,,,0,,0,,,,0000,,,,,0000,S,2009-04-19,01:03:05,CRAMOS,0000-00-00,00:00:00,CRAMOS,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,983,1,1,,2009-04-18,05:20:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,09:27:41,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,983,2,2,,2009-04-18,05:30:00,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,09:27:55,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,983,3,3,,2009-04-18,07:40:00,2009-04-18,09:17:00,0007,0001,0016,0000000001,,,,0,01612,07418,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,09:28:44,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,983,4,4,,2009-04-18,17:06:48,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,17:06:48,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,983,5,5,,2009-04-18,22:28:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,22:28:00,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,983,6,6,,2009-04-19,07:56:00,2009-04-19,08:37:00,,0001,0016,0000000001,,,,0,,,0,P,0,,,,0000,,,,,0000,S,2009-04-19,13:07:37,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,FS19002170,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,984,1,1,,2009-04-18,02:00:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,09:59:20,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,984,2,2,,2009-04-18,08:00:00,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,10:00:05,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,984,3,3,,2009-04-18,08:30:00,2009-04-18,10:00:18,0007,0001,0016,0000000001,,,,0,00000,00000,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,10:00:18,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,984,4,4,,2009-04-18,11:46:15,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,11:46:15,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,984,5,5,,2009-04-18,15:52:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,18:46:28,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,984,6,6,,2009-04-18,16:14:00,2009-04-18,17:34:00,,0001,0016,0000000001,,,,0,,,0,P,0,,,,0000,,,,,0000,S,2009-04-18,18:46:49,ELAVA,0000-00-00,00:00:00,ELAVA,FS19002152,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,985,1,1,,2009-04-18,02:00:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,11:31:57,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,985,2,2,,2009-04-18,06:00:00,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,11:32:18,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,985,3,3,,2009-04-18,10:00:00,2009-04-18,11:30:00,0007,0001,0016,0000000001,,,,0,01618,07406,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,11:32:39,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,985,4,3,,2009-04-18,12:20:00,2009-04-18,14:03:20,0007,0001,0016,0000000001,,,,0,01601,07425,0,,0,,SE DECLARO ESPECIES NO VALIDAS.,,0000,,,,,0000,S,2009-04-18,14:03:20,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,985,5,4,,2009-04-18,17:12:43,0000-00-00,00:00:00,0007,0001,0016,0000000001,,,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,17:12:43,ELAVA,0000-00-00,00:00:00,ELAVA,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,985,6,5,,2009-04-18,20:00:00,0000-00-00,00:00:00,,0001,0016,0000000001,,N,,0,,,0,,0,,,,0000,,,,,0000,S,2009-04-18,22:28:28,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
600,985,7,6,,2009-04-19,01:22:00,2009-04-19,01:54:00,,0001,0016,0000000001,,,,0,,,0,P,0,,,,0000,,,,,0000,S,2009-04-19,02:42:53,MBOULANGGER,0000-00-00,00:00:00,MBOULANGGER,FS19002160,0,,0000-00-00,00:00:00,0000-00-00,00:00:00,
