MANDT,NRMAR,CDEMB,CDEMP,CDMMA,FEARR,HEARR,OBMAR,ESMAR,FEMAR,HAMAR,AAMAR,FXMAR,HXMAR,AXMAR,FIMAR,HIMAR,FFMAR,HFMAR,CDPTA,ESCMA,FCBLO,HRBLO,USBLO,ESBLO,INUBC,ATCRE,FCCRE,HRCRE,ATMOD,FCMOD,HRMOD
600,226636,0000000060,2010097177,2,2025-07-08,23:00:00,,C,2025-07-07,21:10:00,TASA_PORTAL,2025-07-09,02:53:52,TAWA_RADIOTS,2025-07-07,21:09:00,2025-07-09,00:48:00,0005,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTS,2025-07-09,02:53:26
600,226637,0000000071,2010097177,2,2025-07-09,17:40:00,,C,2025-07-07,21:58:00,TASA_PORTAL,2025-07-10,22:59:11,TAWA_RADIOTM,2025-07-07,21:57:00,2025-07-09,22:14:00,0005,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTM,2025-07-09,22:58:25
600,226642,0000000013,2010097177,2,2025-07-08,19:17:00,,C,2025-07-07,23:44:00,TASA_PORTAL,2025-07-09,05:17:48,TAWA_RADIOTP,2025-07-07,23:43:00,2025-07-09,04:46:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-09,05:17:26
600,226645,0000004551,0000000572,2,2025-07-08,17:00:00,,C,2025-07-08,23:59:00,TAWA_RADIOTC,2025-07-08,18:02:05,TASA_PORTAL,2025-07-07,23:58:00,2025-07-08,18:02:05,0012,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTC,2025-07-08,16:44:18
600,226646,0000004539,0000000572,2,2025-07-08,15:40:00,,C,2025-07-08,00:00:00,TAWA_RADIOTC,2025-07-08,17:57:04,TASA_PORTAL,2025-07-08,00:01:00,2025-07-08,17:57:04,0012,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTC,2025-07-08,15:34:24
600,226643,0000000021,2010097177,2,2025-07-08,12:10:00,,C,2025-07-07,23:54:00,TASA_PORTAL,2025-07-09,20:18:25,TAWA_RADIOTP,2025-07-07,23:53:00,2025-07-08,17:39:00,0015,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTP,2025-07-08,20:17:28
600,226644,0000004481,0000000572,2,2025-07-08,13:00:00,,C,2025-07-08,23:57:00,TAWA_RADIOTC,2025-07-08,14:47:05,TASA_PORTAL,2025-07-07,23:57:00,2025-07-08,14:47:05,0012,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTC,2025-07-08,13:29:50
600,226649,0000003992,2060871601,2,2025-07-08,17:00:00,,C,2025-07-08,00:05:00,TAWA_RADIOTC,2025-07-08,18:52:05,TASA_PORTAL,2025-07-08,00:04:00,2025-07-08,18:52:05,0012,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,TAWA_RADIOTC,2025-07-08,16:59:17
600,226652,0000000025,2010097177,2,2025-07-08,18:40:00,,C,2025-07-08,00:08:00,TASA_PORTAL,2025-08-26,14:25:10,USANDOVAL,2025-07-08,00:07:00,2025-07-08,23:12:00,0158,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,USANDOVAL,2025-08-26,14:24:56
600,226648,0000000054,2010097177,2,2025-07-08,19:00:00,,C,2025-07-08,00:04:00,TASA_PORTAL,2025-07-09,22:41:46,FCARRILLO,2025-07-08,00:03:00,2025-07-08,18:33:00,0158,T,0000-00-00,00:00:00,,,2,,0000-00-00,00:00:00,FCARRILLO,2025-07-08,22:41:30
