MANDT,NRMAR,NREVN,CDSPC,CNPCM,CDUMD,OBSER,ZMODA
600,220531,5,0000000004,10,006,No se habilitó pesca de esta especie en la zona.,0
600,220534,5,0000000004,80,006,No se habilitó pesca de esta especie en la zona.,0
600,220441,3,0000000004,60,006,,0
600,220442,3,0000000004,0,006,,0
600,220444,3,0000000004,40,006,,0
600,220558,3,0000000004,180,006,,0
600,220558,4,0000000004,120,006,,0
600,220593,3,0000000004,250,006,,0
600,220565,4,0000000004,50,006,,0
600,220598,3,0000000004,190,006,,0
600,220442,4,0000000004,250,006,,0
600,220582,3,0000000004,50,006,No se habilitó pesca de esta especie en la zona.,0
600,220574,3,0000000004,120,006,,0
600,220563,3,0000000004,220,006,,0
600,220576,3,0000000004,30,006,No se habilitó pesca de esta especie en la zona.,0
600,220564,4,0000000004,190,006,,0
600,220560,4,0000000004,190,006,,0
600,220613,3,0000000004,20,006,No se habilitó pesca de esta especie en la zona.,0
600,220591,3,0000000004,140,006,No se habilitó pesca de esta especie en la zona.,0
600,220580,3,0000000004,250,006,No se habilitó pesca de esta especie en la zona.,0
600,220601,3,0000000004,200,006,No se habilitó pesca de esta especie en la zona.,0
600,220567,3,0000000004,95,006,No se habilitó pesca de esta especie en la zona.,0
600,220561,3,0000000004,70,006,,0
600,220565,5,0000000004,100,006,,0
600,220570,3,0000000004,30,006,No se tiene permiso de pesca para esta especie. No se habilitó pesca de esta especie en la zona.,0
600,220607,3,0000000004,230,006,No se tiene permiso de pesca para esta especie. No se habilitó pesca de esta especie en la zona.,0
600,220568,4,0000000004,60,006,No se habilitó pesca de esta especie en la zona.,0
600,220574,4,0000000004,100,006,,0
600,220625,3,0000000004,220,006,No se habilitó pesca de esta especie en la zona.,0
600,220611,3,0000000004,150,006,No se habilitó pesca de esta especie en la zona.,0
600,220559,3,0000000004,60,006,,0
600,220564,5,0000000004,170,006,,0
600,220596,3,0000000004,20,006,,0
600,220611,4,0000000004,140,006,No se habilitó pesca de esta especie en la zona.,0
600,220586,3,0000000004,70,006,No se habilitó pesca de esta especie en la zona.,0
600,220594,4,0000000004,60,006,,0
600,220598,4,0000000004,180,006,No se habilitó pesca de esta especie en la zona.,0
600,220585,3,0000000004,100,006,No se habilitó pesca de esta especie en la zona.,0
600,220592,4,0000000004,140,006,,0
600,220609,4,0000000004,140,006,No se habilitó pesca de esta especie en la zona.,0
600,220569,4,0000000004,100,006,No se habilitó pesca de esta especie en la zona.,0
600,220610,3,0000000004,230,006,No se habilitó pesca de esta especie en la zona.,0
600,220597,3,0000000004,250,006,,0
600,220602,3,0000000004,400,006,No se habilitó pesca de esta especie en la zona.,0
600,220612,3,0000000004,220,006,No se habilitó pesca de esta especie en la zona.,0
600,220606,5,0000000004,40,006,,0
600,220558,5,0000000004,80,006,No se habilitó pesca de esta especie en la zona.,11.5
600,220581,5,0000000004,50,006,,0
600,220625,4,0000000004,50,006,No se habilitó pesca de esta especie en la zona.,0
600,220605,3,0000000004,130,006,No se habilitó pesca de esta especie en la zona.,0
