MANDT,CDPTO,DSPTO,CDZLT,ESREG,LTGEO,LNGEO,ORPTZ
600,0001,ATICO,0006,S,01620,07030,031
600,0002,BAYOVAR,0001,S,00000,00000,006
600,0003,CALETA DE CARQUIN,0004,S,00000,00000,020
600,0004,CALETA LA CRUZ,0001,S,00000,00000,001
600,0005,CALLAO,0009,S,01203,07700,024
600,0006,CARQUIN,0004,S,00000,00000,021
600,0007,CASMA,0003,S,00000,00000,015
600,0008,CHANCAY,0004,S,00000,00000,023
600,0009,MALABRIGO,0002,S,00706,07900,009
600,0010,CHICLAYO,0002,S,00000,00000,007
600,0011,CHIMBOTE,0003,S,00908,07830,013
600,0012,COISHCO,0003,S,00000,00000,012
600,0013,CULEBRAS,0003,S,00000,00000,016
600,0014,HUACHO,0004,S,00000,00000,022
600,0015,HUARMEY,0003,S,00000,00000,017
600,0016,ILO,0008,S,01714,07054,039
600,0017,ISLAY,0007,S,00000,00000,035
600,0018,LA PLANCHADA,0006,S,00000,00000,032
600,0019,LOMAS,0005,S,00000,00000,030
600,0020,MATARANI,0007,S,00623,00862,036
600,0021,MOLLENDO,0007,S,00000,00000,037
600,0022,OCONA,0006,S,00000,00000,033
600,0023,PAITA,0001,S,00500,08100,003
600,0024,PARACHIQUE,0001,S,00000,00000,005
600,0025,PISCO,0005,S,01343,07650,028
600,0026,PUCUSANA,0004,S,00000,00000,026
600,0027,SALAVERRY,0002,S,00000,00000,010
600,0028,SAMANCO,0003,S,00000,00000,014
600,0029,SAN JUAN DE MARCONA,0005,S,00000,00000,029
600,0030,SANTA,0003,S,00000,00000,011
600,0031,SECHURA,0001,S,00000,00000,004
600,0032,SUPE,0004,S,00000,00000,018
600,0033,TACNA,0008,S,00000,00000,040
600,0034,TALARA,0001,S,00000,00000,002
600,0035,TAMBO DE MORA,0005,S,00000,00000,027
600,0036,U.N. C.H.D.,0003,S,,,000
600,0037,VEGUETA,0004,S,01100,07760,019
600,0038,PUERTO DE PALOS,0005,S,00000,00000,041
600,0039,PACOCHA,0008,S,00000,00000,038
600,0040,QUILCA,0006,S,00000,00000,034
600,0041,PIMENTEL,0002,S,00000,00000,008
600,0042,ZORRITOS,0001,S,00000,00000,042
