MANDT,NRRSV,NRMAR,NRPOS,CDSUM,CNSUM,CDUMD,CDPTA,CDALM
600,0010183170,226620,0001,0000000005,1100,011,TCNO,L001
600,0010183171,226591,0001,0000000005,800,011,TCNO,L001
600,0010183173,226619,0001,0000000005,300,011,TCNO,L001
600,0036352201,226633,0001,0000000005,1000,011,FP09,0001
600,0036352342,226643,0001,0000000005,400,011,FP09,0009
600,0036352376,226635,0001,0000000005,620,011,FP09,0005
600,0010183183,226644,0001,0000000005,400,011,TCNO,L001
600,0036352791,226584,0001,0000000005,2200,011,FP09,0005
600,0036352801,226634,0001,0000000005,2000,011,FP09,0005
600,0010183192,226667,0001,0000000005,600,011,TMSU,L001
600,0010183191,226628,0001,0000000005,1000,011,TMSU,L001
600,0036352806,226617,0001,0000000005,1870,011,FP09,0005
600,0010183193,226669,0001,0000000005,1000,011,TMSU,L001
600,0036352831,226632,0001,0000000005,1000,011,FP09,0005
600,0036352833,226578,0001,0000000005,3000,011,FP09,0005
600,0036352835,226587,0001,0000000005,1400,011,FP09,0005
600,0036419414,226585,0001,0000000005,1400,011,FP09,0005
600,0010183200,226671,0001,0000000005,600,011,TMSU,L001
600,0036419429,226589,0001,0000000005,1350,011,FP09,0005
600,0036419538,226660,0001,0000000005,2000,011,FP09,0009
600,0010183206,226674,0001,0000000005,600,011,TPSU,L001
600,0036419887,226652,0001,0000000005,1100,011,FP09,0009
600,0036419946,226676,0001,0000000005,1000,011,FP09,0009
600,0010183209,226624,0001,0000000005,500,011,TCNO,L001
600,0010183215,226730,0001,0000000005,200,011,TPSU,L001
600,0036428174,226695,0001,0000000005,400,011,FP09,0009
600,0010183226,226721,0001,0000000005,300,011,TPSU,L001
600,0036428222,226678,0001,0000000005,1800,011,FP09,0009
600,0036428284,226689,0001,0000000005,500,011,FP09,0005
600,0010183231,226723,0001,0000000005,300,011,TCNO,L001
600,0036428337,226709,0001,0000000005,700,011,FP09,0005
600,0010183233,226724,0001,0000000005,500,011,TCNO,L001
600,0010183232,226725,0001,0000000005,400,011,TCNO,L001
600,0036429042,226686,0001,0000000005,780,011,FP09,0005
600,0036429046,226637,0001,0000000005,2900,011,FP09,0005
600,0036439072,226757,0001,0000000005,1340,011,FP09,0001
600,0036439115,226766,0001,0000000005,2000,011,FP09,0009
600,0036439129,226758,0001,0000000005,600,011,FP09,0009
600,0010183246,226768,0001,0000000005,200,011,TPSU,L001
600,0010183249,226779,0001,0000000005,700,011,TSUP,L001
600,0036440761,226691,0001,0000000005,2000,011,FP09,0005
600,0036440759,226739,0001,0000000005,1300,011,FP09,0005
600,0036440765,226740,0001,0000000005,700,011,FP09,0005
600,0036440800,226738,0001,0000000005,1500,011,FP09,0005
600,0036441151,226759,0001,0000000005,550,011,FP09,0001
600,0010183263,226736,0001,0000000005,1400,011,TCNO,L001
600,0036441152,226751,0001,0000000005,1500,011,FP09,0001
600,0010183264,226771,0001,0000000005,700,011,TCNO,L001
600,0010183265,226773,0001,0000000005,800,011,TCNO,L001
600,0010183266,226774,0001,0000000005,700,011,TCNO,L001
