MANDT,BANFN,BNFPO,MATNR,MAKTX,MENGE,MEINS,BADAT,LFDAT,AFNAM,ERNAM,BLCKD,USERNAMEB,UDATEB,LOEKZ,USERNAMEL,UDATEL,FRGKZ,UDATEF,UTIMEF,FRGCX,FRGCT,OBJID,BUKRS,BUTXT,BSART,BATXT,EBELN,LIFNR,NAMEL,BEDAT,WAERS,FRGZU,UDATEHES,USRNAMEHES,EBELP,PSTYP,WERKS,MENGE_P,WEMNG,NETPR,RLWRT,NETWR,EINDT,BELNR,GJAHR,BUZEI,TXZ01,AENAM,ERDAT,BUDAT,BPMNG,WRBTR_EK,KNTTP,IMP_HES,IMP_HES2,UDATE,USERNAME,BELNR_AN,GJAHR_AN,BUDAT_AN,WRBTR_AN,BELNR_RS,GJAHR_RS,BUKRS_RS,BELNR_BK,BLART_BK,XBLNR_BK,CPUDT_BK,BUDAT_BK,BKTXT_BK,ZTERM,ZLSCH,ZFBDT,ZFBDF,AUGBL,AUGCP,AUGDT,WRBTR,PSWSL,DMBTR,KIDNO,KOSTL,TIP_REG
600,0016933357,00010,,,1,UA,2020-06-01T00:00:00.000Z,2020-06-01T00:00:00.000Z,T001,PECHE,,,,,,,3,2020-06-01T00:00:00.000Z,142637,SC,TCHI_Chi Administ,JMONCADA,TA10,Tecnológica de Alimentos,NB,Pedido estándar,5010020700,2060027263,LOGISTICO CINGER E.I.R.L.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-02T00:00:00.000Z,CCOTRINA,00010,9,TCHI,1,1,4012.25,4812.25,4012.25,2020-06-01T00:00:00.000Z,1000369905,0000,000,Serv. agua cisterna Produ.,MFERNANDEZ,2020-06-03T00:00:00.000Z,2020-06-03T00:00:00.000Z,0,4012.25,K,3034010019,,2020-06-05T00:00:00.000Z,MFERNANDEZ,,0000,,0,5105611195,2020,TA10,0035028215,01,01-0E001-0000333,2020-06-09T00:00:00.000Z,2020-06-09T00:00:00.000Z,TRANSPORTE DE BIENES,Z007,N,2020-06-09T00:00:00.000Z,2020-06-16T00:00:00.000Z,0060004600,2020-06-16T00:00:00.000Z,2020-06-16T00:00:00.000Z,4545.46,PEN,4545.46,CSN1813000170067,,MM
600,0016933357,00020,,,1,UA,2020-06-01T00:00:00.000Z,2020-06-01T00:00:00.000Z,T001,PECHE,,,,,,,3,2020-06-01T00:00:00.000Z,142638,SC,TCHI_Chi Administ,JMONCADA,TA10,Tecnológica de Alimentos,NB,Pedido estándar,5010020700,2060027263,LOGISTICO CINGER E.I.R.L.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-02T00:00:00.000Z,CCOTRINA,00020,9,TCHI,1,1,800,4812.25,800,2020-06-01T00:00:00.000Z,1000369906,0000,000,Serv. agua cisterna Produ. almacen PPTT,MFERNANDEZ,2020-06-03T00:00:00.000Z,2020-06-03T00:00:00.000Z,0,800,K,3050221019,,2020-06-05T00:00:00.000Z,MFERNANDEZ,,0000,,0,5105611196,2020,TA10,0035028216,01,01-0E001-0000334,2020-06-09T00:00:00.000Z,2020-06-09T00:00:00.000Z,TRANSPORTE DE BIENES,Z007,N,2020-06-09T00:00:00.000Z,2020-06-16T00:00:00.000Z,0060004600,2020-06-16T00:00:00.000Z,2020-06-16T00:00:00.000Z,906,PEN,906,CSN1813000170068,,MM
600,0016933354,00010,000000000032006256,,1,UN,2020-06-01T00:00:00.000Z,2020-05-22T00:00:00.000Z,T001,JDELACRUZ,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016376,,VEGUETA,2020-06-01T00:00:00.000Z,PEN,,,,00010,7,TVEG,1,1,0,0,0,2020-05-22T00:00:00.000Z,,0000,000,TERMOMETRO DE NO CONTACTO MOD: YT-003,,,,0,0,,,,,,5000066296,2020,2020-06-07T00:00:00.000Z,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016933364,00010,000000000032006256,,5,UN,2020-06-01T00:00:00.000Z,2020-06-01T00:00:00.000Z,T001,JDELACRUZ,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016380,,VEGUETA,2020-06-01T00:00:00.000Z,PEN,,,,00010,7,TVEG,5,5,0,0,0,2020-06-01T00:00:00.000Z,,0000,000,TERMOMETRO DE NO CONTACTO MOD: YT-003,,,,0,0,,,,,,4900127233,2020,2020-06-07T00:00:00.000Z,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016933405,00010,000000000033035325,,2,UN,2020-06-01T00:00:00.000Z,2020-06-01T00:00:00.000Z,TMB1,OCORAL,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016398,,CHIMBOTE,2020-06-01T00:00:00.000Z,PEN,,,,00010,7,TCHI,2,2,0,0,0,2020-06-01T00:00:00.000Z,,0000,000,OIL FILTER 328-21600,,,,0,0,,,,,,5000062966,2020,2020-06-01T00:00:00.000Z,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016933406,00010,000000000032004543,,24,UN,2020-06-01T00:00:00.000Z,2020-05-12T00:00:00.000Z,TPUC,ECAVERO,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016400,,PUCUSANA PLANTA OMEGA,2020-06-01T00:00:00.000Z,PEN,,,,00010,7,TPUC,24,24,0,0,0,2020-06-12T00:00:00.000Z,,0000,000,LENTE SEGURIDAD TRANSP. SECUREFIT 400/3M,,,,0,0,,,,,,5000066107,2020,2020-06-06T00:00:00.000Z,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016933393,00010,000000000032005321,,20,UN,2020-06-01T00:00:00.000Z,2020-04-13T00:00:00.000Z,T103,JMEJIA,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016401,,ASTILLERO - CHIMBOTE,2020-06-01T00:00:00.000Z,PEN,,,,00010,7,TAST,20,20,0,0,0,2020-06-01T00:00:00.000Z,,0000,000,TOCA DESCARTABLE BLANCA P/CABELLO,,,,0,0,,,,,,5000063534,2020,2020-06-01T00:00:00.000Z,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016933393,00020,000000000031009815,,3,GLN,2020-06-01T00:00:00.000Z,2020-04-20T00:00:00.000Z,TMU3,JMEJIA,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016401,,ASTILLERO - CHIMBOTE,2020-06-01T00:00:00.000Z,PEN,,,,00020,7,TAST,3,3,0,0,0,2020-06-01T00:00:00.000Z,,0000,000,DILUYENTE JETPOXY AF 200 1GL,,,,0,0,,,,,,5000063527,2020,2020-06-01T00:00:00.000Z,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016933443,00010,000000000032004355,,1,UN,2020-06-01T00:00:00.000Z,2020-06-01T00:00:00.000Z,T150,EMURGUEYTIO,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016447,,MALABRIGO SUR,2020-06-01T00:00:00.000Z,PEN,,,,00010,7,TMSU,1,1,0,0,0,2020-06-01T00:00:00.000Z,,0000,000,GRAPA 26/6,,,,0,0,,,,,,5000066105,2020,2020-06-06T00:00:00.000Z,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016933463,00010,000000000032003749,,1,PAR,2020-06-01T00:00:00.000Z,2020-06-02T00:00:00.000Z,TSAM,EBAZAN,,,,,,,,,000000,,,,TA10,Tecnológica de Alimentos,UB,Pedido de traslado,5050016461,,SAMANCO,2020-06-01T00:00:00.000Z,PEN,,,,00010,7,TSAM,1,0,0,0,0,2020-06-02T00:00:00.000Z,,0000,000,BOTIN NEGRO DIELECT.P/COMPO. KEVLAR T.43,,,,0,0,,,,,,,0000,,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
