MANDT,WERKS,MATNR,BERID,LGORT,MAKTX,MEINS,MMSTA,MSTAE,DISGR,EISBE,MINBE,DISLS,BSTMI,DISMM,MATKL,WGBEZ,ENDSTOCK,ENDVAL,CLASF,ENMNG,STOCK,PRECIO_UNITARIO,CONSMX1,CONSMX2,CONSMX3,CONSMX4,CONSMX5,CONSMX6,ZCOBACT,ZRANCOB,ZSTOOPT,ZSTOOPTVAL,ZSTOOPTCOBD,ZRANCOB_SO,ZSIM01,ZSIM02,ZSIM03,ZSIM04,ZSIM05,ZSIM06,ZSIMV01,ZSIMV02,ZSIMV03,ZSIMV04,ZSIMV05,ZSIMV06,ZRANCOBCOR,ZRIESVAL,MABST,BSTMA,BSTFE,BSTRF
600,TAST,000000000010200045                      ,TAST-PLANI,L001,HIDROXIDO DE SODIO 98% (SODIUM HIDROXIDE,KG,,,PRD,2000,0,,0,ND,AUX-IQB01,INSUMOS QUÍMICOS Y B,0,0,UIN,0,0,3.21,0,0,0,0,0,0,0,[00 - 30],2000,6420,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-6420,0,0,0,0
600,TAST,000000000010200075                      ,TAST-PLANI,L001,SAL INDUSTRIAL MOLIDA X 50 KG - 98.6%,KG,,,ART,0,0,,0,ND,FHM-TAS01,Insumos Comprados,0,0,UIN,0,0,0.55,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000010200081                      ,TAST-PLANI,L001,SULFATO FERRICO EN POLVO,KG,,,PRD,4000,0,,0,ND,FHM-TAS01,Insumos Comprados,0,0,UIN,0,0,1.84,0,0,0,0,0,0,0,[00 - 30],4000,7360,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-7360,0,0,0,0
600,TAST,000000000010200082                      ,TAST-PLANI,L001,SUPERFLOC 130 V,KG,,,PRD,0,0,,0,ND,FHM-TAS01,Insumos Comprados,0,0,UIN,0,0,16.05,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000020000546                      ,TAST-PLANI,L001,"CINTA EMB TRANSP 2"" X 110 YDS. 45 MICR",ROL,,,ART,2,3,EX,5,Z2,LEE-ENV13,CINTAS,1,0.73,UIN,0,1,2.52,2,1,1,0,0,0,44.978,[30 - 60],4.5,11.34,202.399,[60 - 90],0.022,0.667,0.667,1.334,1.334,2.001,0.055,1.681,1.681,3.362,3.362,5.043,[60 - 90],-10.61,0,0,0,0
600,TAST,000000000020000549                      ,TAST-PLANI,L001,"CORDEL 1/4"" RAFIA TORCIDA",KG,,,BRT,15,0,,10,ND,LEE-ENV99,VARIOS-ENVASES,20,87.3,UIN,2,18,14.97,10,0,0,0,0,0,323.935,[Excedido],20,299.4,359.928,[60 - 90],0.056,1.667,1.667,3.334,3.334,5.001,0.838,24.955,24.955,49.91,49.91,74.865,[60 - 90],-212.1,0,0,0,0
600,TAST,000000000020000602                      ,TAST-PLANI,L001,PRECINTO SEGURIDAD E30 PULLL GRIP E-30,ST,,,BRT,35,0,,30,ND,LEE-EMB99,VARIOS-EMBALAJE,0,0,UIN,0,0,0.59,32,20,0,0,0,0,0,[00 - 30],50,29.5,173.07,[60 - 90],0.289,8.667,8.667,17.334,17.334,26.001,0.171,5.114,5.114,10.227,10.227,15.341,[60 - 90],-29.5,0,0,0,0
600,TAST,000000000020000605                      ,TAST-PLANI,L001,PRECINTO SEGURIDAD MCLP 180 1.8X350MM,ST,,,BRT,0,0,,0,ND,LEE-EMB99,VARIOS-EMBALAJE,0,0,UIN,0,0,2.21,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000020000606                      ,TAST-PLANI,L001,PRECINTO SEGURIDAD MCLP 180 1.8X800MM,ST,,,BRT,0,0,,0,ND,LEE-EMB99,VARIOS-EMBALAJE,0,0,UIN,0,0,2.6,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000020000613                      ,TAST-PLANI,L001,"SACO HP LAM NEGRO S/LOGO 28""X43""",ST,,,BRT,0,0,,0,ND,LEE-ENV07,SACOS,0,0,UIN,0,0,1.52,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
