MANDT,KONNR,KTPNR,BSART,EKGRP,EKNAM,ERNAM,COMPRADOR,AEDAT,KDATB,KDATE,MVIGENTE,FRGKE,FECHA_LIBER,LIFNR,NAME1,MATNR,TXZ01,MATKL,WGBEZ,KTMNG,CANT_CONSUMIDA,CANT_PENDIENTE,MEINS,WERKS,LGORT,BUKRS,EKORG,NETPR,PEINH,BPRME,KTWRT,WAERS2,ZTERM,VCONTRATO_POS,VCONSUMO,WAERS1,VALOR_DOLAR,KTWRT_DOL,UNSEZ,IHREZ,EBELN,EBELP,LBLNI,ICON_1,STATUS,ERDAT,ERNAM2,LWERT,WAERS3,WRBTR,WAERS4,SCOMP,ZZREQCONT,ZZTIECONT,ZZNCONTRA,ZZFECINI,ZZFECFIN,ZZRCAFI,ZZTCAFI,ZZIDCAR,ZZFEINI,ZZFEFIN,ZZACTVA
600,5000001787,00110,WK,T78,Comp.ALopez,ANAVARRETE,ANA PAULA NAVARRETE MAC LEAN,2025-09-02,2025-09-02,2026-09-30,9.63,8,2025-09-11,2055269173,SAPISCO COMERCIAL S.A.C.,000000000020000617,SACO PP.JUMBO BLANCO 1.2 TN,LEE-ENV07,SACOS,10000,0,10000,ST,,,TA10,1400,13.5,1,ST,0,USD,Z090,135000,0,,135000,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
600,5000001785,00020,WK,T78,Comp.ALopez,ANAVARRETE,ANA PAULA NAVARRETE MAC LEAN,2025-09-01,2025-09-01,2026-09-30,9.63,8,2025-09-01,0000005180,AIR PRODUCTS PERU S.A.,000000000031026784,GAS CO2 100% PROTEC.,AUX-CON02,GASES INDUSTRIALES,9600,6600,3000,KG,TAST,,TA10,1400,1.48,1,KG,0,USD,Z060,14208,9768,USD,14208,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
600,5000001789,00020,WK,T78,Comp.ALopez,ANAVARRETE,ANA PAULA NAVARRETE MAC LEAN,2025-09-03,2025-09-01,2025-12-30,0.5,,2025-09-03,0000010699,SOLENIS PERU SOCIEDAD ANONIMA,000000000010200082,POLYCHEM PA 8750,FHM-TAS01,Insumos Comprados,60000,0,60000,KG,,,TA10,1400,5.25,1,KG,0,USD,Z120,315000,0,,315000,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,X
600,5000001788,00010,WK,T74,Comp.EGonzales,EDGONZALES,EDITH GONZALES NAUPA,2025-09-03,2025-09-03,2026-12-31,12.7,8,2025-11-14,2060663186,JALEG S.A.C.,,HG - JUREL,238,Serv. Fabricacion PT,1,0,1,UA,,,TA10,1400,580,1,UA,1208084.61,PEN,Z007,580,0,,163.56,340689.4,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
600,5000001790,00110,WK,T80,Comp.VUribe,VURIBE,VALERY MAIRAH URIBE MANRIQUE,2025-09-03,2025-09-03,2026-09-30,9.63,8,2025-09-09,2060577137,IMPORTACIONES SGS S.A.C.,000000000031008982,"BRIDA SLIP ON AC.CARB.ANSI150 10""",AUX-FER16,BRIDAS Y DISCOS,6,2,4,ST,TAST,,TA10,1400,110,1,ST,0,PEN,Z020,660,220,PEN,186.13,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
600,5000001790,00270,WK,T80,Comp.VUribe,VURIBE,VALERY MAIRAH URIBE MANRIQUE,2025-09-03,2025-09-03,2026-09-30,9.63,8,2025-09-09,2060577137,IMPORTACIONES SGS S.A.C.,000000000031012648,"PERNO HEX.INOX.5/8""X5""",AUX-FER06,"PERNO, TUERC Y ARAND",86,0,86,ST,TAST,,TA10,1400,7,1,ST,0,PEN,Z020,602,0,,169.77,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
600,5000001790,00030,WK,T80,Comp.VUribe,VURIBE,VALERY MAIRAH URIBE MANRIQUE,2025-09-03,2025-09-03,2026-09-30,9.63,8,2025-09-09,2060577137,IMPORTACIONES SGS S.A.C.,000000000031011785,"ABRAZADERA U-BOLT C/ANG.FEG.3/8""X1""",AUX-FER11,"SUJETADORE, ABRAZ, C",78,30,48,ST,TAST,,TA10,1400,15,1,ST,0,PEN,Z020,1170,450,PEN,329.95,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
600,5000000734,01970,WK,T80,Comp.VUribe,MPARODI,,2022-05-18,2022-05-23,2026-06-30,6.57,8,2025-11-03,2010007372,CORPORACION PERUANA DE PRODUCT,000000000031033840,PINT.JETHANE 650HS RAL 2004 + CAT 1 GL,AUX-FER07,PINTURAS Y DERIVADOS,20,4,16,JGO,,,TA10,1400,65,1,JGO,0,USD,Z060,1300,260,USD,1300,0,,,,00000,,,,0000-00-00,,0,,0,,,X,X,CRW2250966,2023-02-25,2999-02-27,,,,0000-00-00,0000-00-00,
600,5000001790,00070,WK,T80,Comp.VUribe,VURIBE,VALERY MAIRAH URIBE MANRIQUE,2025-09-03,2025-09-03,2026-09-30,9.63,8,2025-09-09,2060577137,IMPORTACIONES SGS S.A.C.,000000000031008963,"BRIDA SLIP ON  AC.CARB.ANSI150 16""",AUX-FER16,BRIDAS Y DISCOS,3,0,3,ST,TAST,,TA10,1400,330,1,ST,0,PEN,Z020,990,0,PEN,279.19,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
600,5000001540,00190,WK,T74,Comp.EGonzales,EDGONZALES,EDITH GONZALES NAUPA,2024-11-30,2024-11-30,2026-12-31,12.7,8,2024-12-26,2012771517,IMPORTADORA QUEIROLO E.I.R.L.,000000000032005292,TINTA YELLOW T664420 6500PAG EPSON,DIV-OFI03,SUMINISTROS COMPUTO,1,1,0,ST,,,TA10,1400,59,1,ST,0,PEN,Z020,59,59,PEN,15.75,0,,,,00000,,,,0000-00-00,,0,,0,,,,,,0000-00-00,0000-00-00,,,,0000-00-00,0000-00-00,
