MANDT,AUFNR,CORREL,AUART,LTXA1,PSPEL,STTX2,KONTY,REC_OBJNR1,TXTREC,ERDA2,ERNA2,BANFN,BNFPO,TXZ01,WERKS,PREIS,WAER1,MONT1,AFNAM,AFNAM_N,BADAT,LFDAT,LIFNR_SP,NAME1_EBAN,PRIO_REQ,ERNAM,NAME_TEXT,ERDAT,BEDNR,EKGRP_SP,ZZORDTR,ZZPOSNR,ZZEMBAR,ZZTMANT,ZCLASIF_UBIC,ZZSISTE,ZZDSIST,ZZEQUIP,ZZDESEM,BANPR,BLCKD,LOEKZ_SP,FRGKZ_SP,FKZTX,SFRGDU,SFRGC1,LIBSP1,SFRGD1,SFRGZ1,SFRGC2,LIBSP2,SFRGD2,SFRGZ2,SFRGC3,LIBSP3,SFRGD3,SFRGZ3,EBELN,EBELP,LIFNR,NAME1,AEDAT,EINDT,EKGRP,MENGE,MEINS,NETPR,WAER2,MONT2,LOEKZ_OC,FRGKE,FRGET,OFRGDU,OFRGC1,LIBOC1,OFRGD1,OFRGZ1,OFRGC2,LIBOC2,OFRGD2,OFRGZ2,OFRGC3,LIBOC3,OFRGD3,OFRGZ3,OFRGC4,LIBOC4,OFRGD4,OFRGZ4,OFRGC5,LIBOC5,OFRGD5,OFRGZ5,OFRGC6,LIBOC6,OFRGD6,OFRGZ6,OFRGC7,LIBOC7,OFRGD7,OFRGZ7,OFRGC8,LIBOC8,OFRGD8,OFRGZ8,LBLNI,KZABN_TXT,FINAL_TXT,TXZ01_HES,LBLNE,NETWR,WAERS_HE2,LWERT,WAERS_HE1,ERDA3,HESNM,NMHES,CNTEN,LZVON,LZBIS,DLORT,SBNAMAG,SBNAMAN,QASRV,TXSRV,PLAZOSRV,TXPLAZOSRV,EVASEGOCU,TXEVASEGOCU,TXNROATC,HFRGC1,LIBHE1,HFRGD1,HFRGZ1,HFRGC2,LIBHE2,HFRGD2,HFRGZ2,BELNR,GJAHR,BUDAT,XBLNR,RMWWR,WMWST1,WAERS_FAC,XEXPORT
600,M616977     ,000001,ZMAX,TVEG Cambio Luminarias Estanco y Tendido,PMP24/03-TVEG-02-02-CO,CTEC MOVM,KS,3032132001,HyP Fijo TVEG,2024-08-05,TASA_MAXIMO,0020132398,00010,TVEG Cambio Luminarias Estanco y Tendido,TVEG,1500,USD,1500,TMV1,MANTTO PLA,2024-08-05,2024-08-31,2056914480,ASISTENCIA ELECTRICA S.A.C.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T79,616977,616978,TVEG,MP,02,TVEG0102-06,Transportadores de Pozas,0000000000000000000000000,,05,,,3,Liberado Total,2024-08-05,M2,EMORE,2024-08-05,X,,,0000-00-00,,,,0000-00-00,,5010179902,00010,2056914480,ASISTENCIA ELECTRICA S.A.C.,2024-08-12,2024-08-31,T72,1,UA,1500,USD,1500,,8,Liberado total Exsa,2024-08-13,L2,RGAMBINI,2024-08-13,X,GM,EDELASCASAS,2024-08-13,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001868822,Aceptada,,TVEG Cambio Luminarias Estanco y Tendido,,1500,USD,1500,USD,2024-08-17,TASA_MAXIMO,1,100,2024-04-15,2024-04-17,Vegueta,PHEREDIA,miguel hid,100,MUY SATISFECHO,100,MUY SATISFECHO,100,MUY SATISFECHO,1047306,PM,TCURO,2024-08-17,X,,,0000-00-00,,5105616732,2024,2024-08-20,01-0E001-0000489,1770,270,USD,
600,M616981     ,000001,ZMAX,TVEG Mantto Pastorales Zona Tks Despacho,PMP24/03-TVEG-02-14-CO,CTEC MOVM,KS,3032132001,HyP Fijo TVEG,2024-08-05,TASA_MAXIMO,0020132399,00010,TVEG Mantto Pastorales Zona Tks Despacho,TVEG,810,USD,810,TMV1,MANTTO PLA,2024-08-05,2024-08-31,2056914480,ASISTENCIA ELECTRICA S.A.C.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T79,616981,616984,TVEG,MP,14,TVEG0204-02,Tanques de Almacenamiento de Aceite de P,0000000000000000000000000,,05,,,3,Liberado Total,2024-08-05,M2,EMORE,2024-08-05,X,,,0000-00-00,,,,0000-00-00,,5010179902,00020,2056914480,ASISTENCIA ELECTRICA S.A.C.,2024-08-12,2024-08-31,T72,1,UA,810,USD,810,,8,Liberado total Exsa,2024-08-13,L2,RGAMBINI,2024-08-13,X,GM,EDELASCASAS,2024-08-13,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001868823,Aceptada,,TVEG Mantto Pastorales Zona Tks Despacho,,810,USD,810,USD,2024-08-17,TASA_MAXIMO,1,100,2024-05-08,2024-05-09,Vegueta,PHEREDIA,andy salda,100,MUY SATISFECHO,100,MUY SATISFECHO,100,MUY SATISFECHO,1047307,PM,TCURO,2024-08-17,X,,,0000-00-00,,5105616734,2024,2024-08-20,01-0E001-0000490,955.8,145.8,USD,
600,M616985     ,000001,ZMAX,Sensor de alarma de temperatura de agua,F4A24/08-T071-EPBL01MC,CTEC MOVM,KS,3023140013,Tasa 71 (Don Abraham,2024-08-13,TASA_MAXIMO,0020132967,00010,Sensor de alarma de temperatura de agua,TCNO,1380,PEN,368.29,TMF1,MANTTO CCC,2024-08-13,2024-08-04,2011015409,SERVICIOS ELECTROM. INDUSTRIALES S.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PESCA,T79,616985,616986,T071,MCP,03,TF01071-0301,Motor Principal,0000000000000000300011233,MOTOR DIESEL 2481 HP 1000 RPM,05,,,3,Liberado Total,2024-11-04,SA,JURAMOS,2024-11-04,X,,,0000-00-00,,,,0000-00-00,,5010188292,00010,2011015409,SERVICIOS ELECTROM. INDUSTRIAL,2024-11-07,2024-08-04,T76,1,UA,1380,PEN,364.4,,8,Liberado total Exsa,2024-11-07,LT,JHDELGADO,2024-11-07,X,GM,EDELASCASAS,2024-11-07,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001989597,Aceptada,,Sensor de alarma de temperatura de agua,,1380,PEN,1380,PEN,2024-11-13,TASA_MAXIMO,1,100,2024-08-05,2024-10-28,TASA 71,PJIMENEZ,L FRANCO,080,SATISFECHO,080,SATISFECHO,080,SATISFECHO,1047732,01,,2024-11-13,X,,,0000-00-00,,5105660417,2024,2024-11-18,01-0E001-0000511,14431.4,2201.4,PEN,
600,M616991     ,000001,ZMAX,TVEG Mantto Pastorales Zona Planta Evapo,PMP24/03-TVEG-02-10-CO,CTEC MOVM,KS,3032132001,HyP Fijo TVEG,2024-08-05,TASA_MAXIMO,0020132410,00010,TVEG Mantto Pastorales Zona Planta Evapo,TVEG,650,USD,650,TMV1,MANTTO PLA,2024-08-05,2024-08-31,2056914480,ASISTENCIA ELECTRICA S.A.C.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T79,616991,616992,TVEG,MP,10,TVEG0110-01,Unidad Evaporadora #1,0000000000000000000000000,,05,,,3,Liberado Total,2024-08-05,M2,EMORE,2024-08-05,X,,,0000-00-00,,,,0000-00-00,,5010179902,00030,2056914480,ASISTENCIA ELECTRICA S.A.C.,2024-08-12,2024-08-31,T72,1,UA,650,USD,650,,8,Liberado total Exsa,2024-08-13,L2,RGAMBINI,2024-08-13,X,GM,EDELASCASAS,2024-08-13,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001888885,Aceptada,,TVEG Mantto Pastorales Zona Planta Evapo,,650,USD,650,USD,2024-09-01,TASA_MAXIMO,1,100,2024-05-16,2024-05-17,Vegueta,PHEREDIA,darlyn vas,100,MUY SATISFECHO,100,MUY SATISFECHO,100,MUY SATISFECHO,1047308,PM,TCURO,2024-09-01,X,,,0000-00-00,,5105623478,2024,2024-09-04,01-0E001-0000502,767,117,USD,
600,M616993     ,000001,ZMAX,TVEG  Mantto Pastorales Zona Secado,PMP24/03-TVEG-02-05-CO,CTEC MOVM,KS,3032132001,HyP Fijo TVEG,2024-08-05,TASA_MAXIMO,0020132411,00010,TVEG  Mantto Pastorales Zona Secado,TVEG,890,USD,890,TMV1,MANTTO PLA,2024-08-05,2024-08-31,2056914480,ASISTENCIA ELECTRICA S.A.C.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T79,616993,616994,TVEG,MP,05,TVEG0105-02,Secador Rotadiscos,0000000000000000000000000,,05,,,3,Liberado Total,2024-08-05,M2,EMORE,2024-08-05,X,,,0000-00-00,,,,0000-00-00,,5010179902,00040,2056914480,ASISTENCIA ELECTRICA S.A.C.,2024-08-12,2024-08-31,T72,1,UA,890,USD,890,,8,Liberado total Exsa,2024-08-13,L2,RGAMBINI,2024-08-13,X,GM,EDELASCASAS,2024-08-13,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001868824,Aceptada,,TVEG  Mantto Pastorales Zona Secado,,890,USD,890,USD,2024-08-17,TASA_MAXIMO,1,100,2024-05-13,2024-05-14,Vegueta,PHEREDIA,miguel hid,100,MUY SATISFECHO,100,MUY SATISFECHO,100,MUY SATISFECHO,1047309,PM,TCURO,2024-08-17,X,,,0000-00-00,,5105616735,2024,2024-08-20,01-0E001-0000491,1050.2,160.2,USD,
600,M616995     ,000001,ZMAX,TVEG Mantto Pastorales Zona de Enfriador,PMP24/03-TVEG-02-06-CO,CTEC MOVM,KS,3032132001,HyP Fijo TVEG,2024-08-05,TASA_MAXIMO,0020132412,00010,TVEG Mantto Pastorales Zona de Enfriador,TVEG,650,USD,650,TMV1,MANTTO PLA,2024-08-05,2024-08-31,2056914480,ASISTENCIA ELECTRICA S.A.C.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T79,616995,616996,TVEG,MP,06,TVEG0106-01,Enfriadores,0000000000000000000000000,,05,,,3,Liberado Total,2024-08-05,M2,EMORE,2024-08-05,X,,,0000-00-00,,,,0000-00-00,,5010179902,00050,2056914480,ASISTENCIA ELECTRICA S.A.C.,2024-08-12,2024-08-31,T72,1,UA,650,USD,650,,8,Liberado total Exsa,2024-08-13,L2,RGAMBINI,2024-08-13,X,GM,EDELASCASAS,2024-08-13,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001868825,Aceptada,,TVEG Mantto Pastorales Zona de Enfriador,,650,USD,650,USD,2024-08-17,TASA_MAXIMO,1,100,2024-05-14,2024-05-15,Vegueta,PHEREDIA,miguel hid,100,MUY SATISFECHO,100,MUY SATISFECHO,100,MUY SATISFECHO,1047310,PM,TCURO,2024-08-17,X,,,0000-00-00,,5105616736,2024,2024-08-20,01-0E001-0000492,767,117,USD,
600,M616997     ,000001,ZMAX,TVEG Mantto Pastorales Zona de Recepción,PMP24/03-TVEG-02-11-CO,CTEC MOVM,KS,3032132001,HyP Fijo TVEG,2024-08-05,TASA_MAXIMO,0020132413,00010,TVEG Mantto Pastorales Zona de Recepción,TVEG,688,USD,688,TMV1,MANTTO PLA,2024-08-05,2024-08-31,2056914480,ASISTENCIA ELECTRICA S.A.C.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T79,616997,616998,TVEG,MP,11,TVEG0201-06,Tanque Diario de Combustible,0000000000000000000000000,,05,,,3,Liberado Total,2024-08-05,M2,EMORE,2024-08-05,X,,,0000-00-00,,,,0000-00-00,,5010179902,00060,2056914480,ASISTENCIA ELECTRICA S.A.C.,2024-08-12,2024-08-31,T72,1,UA,688,USD,688,,8,Liberado total Exsa,2024-08-13,L2,RGAMBINI,2024-08-13,X,GM,EDELASCASAS,2024-08-13,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001868826,Aceptada,,TVEG Mantto Pastorales Zona de Recepción,,688,USD,688,USD,2024-08-17,TASA_MAXIMO,1,100,2024-05-06,2024-05-08,Vegueta,PHEREDIA,miguel hid,100,MUY SATISFECHO,100,MUY SATISFECHO,100,MUY SATISFECHO,1047311,PM,TCURO,2024-08-17,X,,,0000-00-00,,5105617355,2024,2024-08-21,01-0E001-0000493,811.84,123.84,USD,
600,M617001     ,000001,ZMAX,SSOMA-Levant.Anorm.Condic.Inseg.DAF/Tram,PMP24/03-TMSU-02-03-CO,CTEC MOVM,KS,3032102001,HyP Fijo TMSU,2024-08-05,TASA_MAXIMO,0020132418,00010,SSOMA-Levant.Anorm.Condic.Inseg.DAF/Tram,TMSU,6900,PEN,1840.98,TMM1,MANTTO PLA,2024-08-05,2024-08-14,2060593786,MEKRAS S.A.C.,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T67,617001,617002,TMSU,COND,03,TMSU0103-04,Celda de Flotación DAF,0000000000000000000000000,,05,,,3,Liberado Total,2024-08-05,M2,EMORE,2024-08-05,X,,,0000-00-00,,,,0000-00-00,,5010179557,00010,2060593786,MEKRAS S.A.C.,2024-08-08,2024-08-14,T73,1,UA,6900,PEN,1844.92,,8,Liberado total Exsa,2024-08-09,LT,JHDELGADO,2024-08-08,X,GM,EDELASCASAS,2024-08-09,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001873801,Aceptada,,SSOMA-Levant.Anorm.Condic.Inseg.DAF/Tram,,6900,PEN,6900,PEN,2024-08-21,TASA_MAXIMO,1,100,2024-06-06,2024-06-12,Malabrigo,PCOLONNA,TANGOA G.,090,DE 81% A 90 % DE CUMPLIMIENTO,090,DE 81% A 90 % DE CUMPLIMIENTO,090,DE 81% A 90 % DE CUMPLIMIENTO,1047316,PM,TCURO,2024-08-21,X,,,0000-00-00,,5105619112,2024,2024-08-23,01-0E001-0000817,8142,1242,PEN,
600,M617003     ,000001,ZMAX,TMSU_Adic.Reparaciòn Motor de GG.EE #4-S,,LIB. MOVM NLIQ,SK,65970150,,2024-08-05,TASA_MAXIMO,0020132414,00010,TMSU_Adic.Reparaciòn Motor de GG.EE #4-S,TMSU,17323.11,USD,17323.11,TMM6,MANTTO SIN,2024-08-05,2024-05-17,2022622064,EMPRESA DE SERVICIOS MULTIPLES SERM,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T76,617003,617004,TMSU,SIN,12,TMSU0202-0304,Grupo Electrógeno #4,0000000000000000300012422,MOTOR COMBUSTION 1360KW @ 1800RPM,05,,,3,Liberado Total,2024-08-07,SM,EROBLES,2024-08-05,X,BG,EDWPEREZ,2024-08-07,X,,,0000-00-00,,5010180212,00010,2022622064,EMPRESA DE SERVICIOS MULTIPLES,2024-08-14,2024-05-17,T84,1,UA,17323.11,USD,17323.11,,8,Liberado total Exsa,2024-08-15,LT,JHDELGADO,2024-08-15,X,GM,EDELASCASAS,2024-08-15,X,GO,LMARSANO,2024-08-15,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001868493,Aceptada,,TMSU_Adic.Reparaciòn Motor de GG.EE #4-S,,17323.11,USD,17323.11,USD,2024-08-17,TASA_MAXIMO,1,100,2024-07-01,2024-08-16,PLANTA MALABRIGO,P.COLONNA,C.MORENO,090,DE 81% A 90 % DE CUMPLIMIENTO,090,DE 81% A 90 % DE CUMPLIMIENTO,090,DE 81% A 90 % DE CUMPLIMIENTO,1047342,SM,EROBLES,2024-08-17,X,,,0000-00-00,,5105615991,2024,2024-08-20,01-0FFF1-0000706,20441.27,3118.16,USD,
600,M617005     ,000001,ZMAX,Add. STAM REPARACION DE PISTON HIDRAULIC,PMP24/03-STAM-02-04-CO,CTEC MOVM,KS,3032195001,Chata Chimbote,2024-08-05,TASA_MAXIMO,0020132415,00010,Add. STAM REPARACION DE PISTON HIDRAULIC,TCHI,2500,PEN,667.02,TMB3,MANTTO VAR,2024-08-05,2024-08-09,,,255,TASA_MAXIMO,MAXIMO TASA,0000-00-00,PLANTA,T66,617005,617006,STAM,MPA,C-04,STAM04-01,Bomba de Presión de Vacio Chata TAMAKUN,0000000000000000300031329,"BOMBA DE VACIO 6""X6"", _M3/HR",05,,,3,Liberado Total,2024-08-05,M3,JCORBERA,2024-08-05,X,BG,EDWPEREZ,2024-08-05,X,,,0000-00-00,,5010181608,00010,2060099015,SOLOCAUCHOS S.A.C.,2024-08-27,2024-08-09,T62,1,UA,2500,PEN,665.07,,8,Liberado total Exsa,2024-08-27,GL,FTHORNE,2024-08-27,X,GM,EDELASCASAS,2024-08-27,X,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,,,0000-00-00,,1001949259,Aceptada,,Add. STAM REPARACION DE PISTON HIDRAULIC,,2500,PEN,2500,PEN,2024-10-16,TASA_MAXIMO,1,100,2024-08-29,2024-09-04,CHIMBOTE,DLOPEZ,JOSE MEJIA,090,DE 81% A 90 % DE CUMPLIMIENTO,090,DE 81% A 90 % DE CUMPLIMIENTO,090,DE 81% A 90 % DE CUMPLIMIENTO,1047312,PM,TCURO,2024-10-16,X,,,0000-00-00,,5105645411,2024,2024-10-17,01-0E001-0000972,2950,450,PEN,
