GJAHR,PERIO,WERKS,LGORT,BERID,MATNR,DIBER,MAKTX,NCENTRO,VERPR,PVPRS_2,MEINS,ATWRT_CLS_LG,ATWTB_CLS_LG,MTART,DISMM,PRDHA,BEZEI40_J,MSTAE,MTSTB,MMSTA,MTSTB_C,MINBE,EISBE,EISLO,BSTFE,DISLS,BSTMI,BSTMA,MABST,RDPRF,BSTRF,MAABC,FXHOR,DISPO,BESKZ,SOBSL,WEBAZ,PLIFZ,BZTEK,LGRAD,RWPRO,MTVFP,DISKZ,DISKT,LSOBS,LMINB,LBSTF,UO,ZLOCAL,MATKL,WGBEZ,DISGR,TEXT40,LOSFX,LAGPR,FHORI,ZONA,ESC_PLANIF,FECH_INI,FECH_FIN,FLG_ESC
2020,08,TMAT,L001,TMAT-PLANI,000000000031010847,X,"GRASERA RECTA 3/16""",MATARANI,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-HER99,VARIOS-HERRAMIENTAS,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000031010652,X,FLUORESCENTE RECTO 18W 220V,MATARANI,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-FER99,VARIOS-FERRETERIA,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000031010211,X,"ESLABON 1.1/8"" T/KENTER AC. G2",MATARANI,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-HER05,HERRAM. ELEVACION,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000031009779,X,DESENGRASANTE  ELECTRICO / ELECTRONICO,MATARANI,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-FER99,VARIOS-FERRETERIA,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000031009066,X,"BURIL RECTO INOX.  3/4""",MATARANI,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-HER99,VARIOS-HERRAMIENTAS,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000034002923,X,MOTON DOBLE MADERA NO. 10,MATARANI,0,0,ST,,,ZRPE,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPE-TAS99,VARIOS TASA,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000033042391,X,FAJA V A-56,MATARANI,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC04,FAJAS Y ACCESORIOS,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000033040378,X,FILTRO DE PETROLEO RE532952,MATARANI,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC05,FILTROS,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000033038557,X,SHAFT EARTHING DOUBLE BRUSH KCS0032,MATARANI,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC02,ELEMENTOS TRANSMI.,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000033036081,X,PORTA FILTRO RACOR 2020SM 1000FH,MATARANI,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC05,FILTROS,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000033032972,X,FILTRO DE ACEITE RE557343,MATARANI,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC05,FILTROS,BRT,,0,,,,,,,
