MANDT,BANFN,BNFPO,TIPO_SOLPED,LOEKZ_S,FRGKZ,BADAT,FECSUG,FRGDT,IDSOLPE,TXTPOS,LFDAT,PRIO_URGTX,ZZPRIO_URGTX,MENGE,MEINS,MATKL,WGBEZ60,ERNAM,AFNAM,NAME_TEXT,ZAFNAM,MTART,MTBEZ,MATNR,TXZ01,MFRPN,EKGRPT2,VALDOL,PUNITS,VALSOL,KNTTX,PSTYP,PTEXT,EBAKZ,BLCKD,BLCKT,LABSTX,KOSTL,NPLNR,PS_PSP_PNR,AUFNR,WERKS,NCENTRO,LGORT,NALMACE,FLIEF,NAME_F,LIFNR,NAME_D,BEDNR,MFRNR,NAME11,ABLAD,SWERK,KTEXM,AUTYM,COMENT_SP,EBELN,EBELP,LOEKZ_POC,IDEBELN,STATUSOC,BSART2,BATXT2,ERNAMOC,MENGP,MEINSOC,MENPEN,EKGRPT,EKGRP_RESP,LIFNR2,NAME1,BEDAT,FECLIB,FECHA,EINDT,VPEDIDOD,PUNITO,VPEDIDOS,LGORT2,ELIKZ,TEXREC,PROCSTAT,PROCSTAT_T,BUTTON2,KONNR,KTPNR,PRIO_URGTXX,TEXT1,LIFN2,INCO1,ZZPAIS_ORIG,ZZFECHA_EMBARQ,ZZFECHA_ARRIBO,ZZMEDIO_TRANSP,ZZDESC_TRANSP,ZZAGENTE_CARGA,ZZNUMERO_DOC_EMB,DMBTRF,WAERSF,LGORTT,CANT_REC,MENPENT,VRECD,VRECS,XBLNR,FECGRR,BUDAT,FECDES,VBELN,POSNR,XBLNR3,FECEI,LGORTF,CANT_REC2,MENPEN2,VRECD2,VRECS2,XBLNR2,FECGRR2,BUDAT2,MENCONS,FECCONS,LZVON,HES_S,MENPENS,TT1,TT3,PERIODO,SITUACION,DIASVENC,RSNUM,RSPOS,BDTER,ZZERDAT,ZZFECHALIB,XWAOK,DISGR,TEXT40,USNAM,UOMAX,BZTEK,PLIFZ,SUMBP,WEBAX,RSSTA,FLTIR,AUART,NAUART,KTEXT,AUTYP,FINNEC,FATENC,DIBER,BERID,ZZSISTE,ZZDSIST,ZZEQUIP,ZZDESEM,ZCATEGORIA,ZZEMBAR,ZZMETRI,ZZMEINS,DIASLIBRES,DIASGENSOLP,DIASLIBSOLP,DIASNECUSU,DIASGENOC,DIASLIBOC,DIASINGALMT,TT4,DIASINGALMF
600,0014967492,00010,COMPRAS,,L,20190910,20190910,20190930,@0P@,Servicio de personal de apoyo para medida de cable gareta de la EP Tasa 310 6 pe,20190910,Normal,Normal,1,UA,233,Serv. Mant de Redes de Pesca,MGOMEZ,T060,REDES_PESCA,,,,,T310 Servicio apoyo medida cables,,T67,-143.41,-143.41,480,Centro de coste,9,Servicio,,,,0,3027110004,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,2052092051,SONIMAR SERVICIOS E.I.R.L.,,,,,,,,,00,,5010001105,00180,,@0P@,,NB,Pedido estándar,JORDAN PEREY,1,UA,0,T70,T70-Comp.JPereyra,2052092051,SONIMAR SERVICIOS E.I.R.L.,20191009,20191010,,20190910,-141.68,-141.68,480,L006,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 30  días.,,,,,,,,,,480,PEN,,0,0,0,0,,,20191125,,,000000,,,,1,0,-141.8,480,TASA 310,20191125,20191125,0,,20190701,0,0,   56,   46,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190930,20191002,,,,,0000000000000000000000000,,T02 - Regu,T310,  0.000,,,,   20,   20-,    9,    1,   46,,
600,0014967497,00010,COMPRAS,,L,20190910,20190910,20190930,@0P@,Servicio de cambio de mangueras hidraúlicas de la grúa del taller de redes Fecha,20190910,Normal,Normal,1,UA,206,Serv. Equipos Hidráulicos,MGOMEZ,T060,REDES_PESCA,,,,,Servicio instalación mangueras grua,,T67,-110,-110,368.17,Centro de coste,9,Servicio,,,,0,3024000001,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,2052479380,SOLUCIONES TECNICAS H & R S.A.C.,,,,,,,,,00,,5010001037,00040,,@0P@,Descargado en PDF.,NB,Pedido estándar,GIULIANA GIU,1,UA,0,T76,T76-NO USAR,2052479380,SOLUCIONES TECNICAS H & R S.A.,20191007,20191010,20191024,20190910,-110,-110,371.58,L006,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 90  días,,,,,,,,,,371.58,PEN,,0,0,0,0,,,20191101,,,000000,,,,1,0,-110.95,371.58,GRUA REDES.,20191017,20191101,0,,20190701,0,0,   32,   22,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190930,20191002,,,,,0000000000000000000000000,,T04 - Regu,,  0.000,,,,   20,   20-,    7,    3,   22,,
600,0014967501,00010,COMPRAS,,L,20190910,20190910,20190930,@0P@,Servicio de confección de defensas de panga para la EP Tasa 56 Fecha: 17/08 Luga,20190910,Normal,Normal,1,UA,233,Serv. Mant de Redes de Pesca,MGOMEZ,T060,REDES_PESCA,,,,,T56 Servicio confección defensa de panga,,T67,-104.57,-104.57,350,Centro de coste,9,Servicio,,,,0,3027140010,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,2060300007,MAYURUMI NET E.I.R.L.,,,,,,,,,00,,5010000935,00030,,@0P@,,NB,Pedido estándar,JORDAN PEREY,1,UA,0,T76,T76-NO USAR,2060300007,MAYURUMI NET E.I.R.L.,20191004,20191010,,20190910,-103.61,-103.61,350,L006,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 30  días.,,,,,,,,,,350,PEN,,0,0,0,0,,,20191125,,,000000,,,,1,0,-103.4,350,T56,20191125,20191125,0,,20190701,0,0,   56,   46,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190930,20191002,,,,,0000000000000000000000000,,T02 - Regu,T56,  0.000,,,,   20,   20-,    4,    6,   46,,
600,0014967501,00020,COMPRAS,,L,20190910,20190910,20190930,@0P@,Servicio de confección de defensas de panga para la EP Tasa 55 Fecha: 17/08 Luga,20190910,Normal,Normal,1,UA,233,Serv. Mant de Redes de Pesca,MGOMEZ,T060,REDES_PESCA,,,,,T54 Servicio confección defensa de panga,,T67,-104.57,-104.57,350,Centro de coste,9,Servicio,,,,0,3027140001,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,2060300007,MAYURUMI NET E.I.R.L.,,,,,,,,,00,,5010000935,00020,,@0P@,,NB,Pedido estándar,JORDAN PEREY,1,UA,0,T76,T76-NO USAR,2060300007,MAYURUMI NET E.I.R.L.,20191004,20191010,,20190910,-103.61,-103.61,350,L006,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 30  días.,,,,,,,,,,350,PEN,,0,0,0,0,,,20191125,,,000000,,,,1,0,-103.4,350,T54,20191125,20191125,0,,20190701,0,0,   56,   46,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190930,20191002,,,,,0000000000000000000000000,,T02 - Regu,T56,  0.000,,,,   20,   20-,    4,    6,   46,,
600,0014967504,00010,COMPRAS,,L,20190910,20190910,20190930,@0P@,Servicio de mantenimiento del motor del tensiometro Imada del Taller de redes Fe,20190910,Normal,Normal,1,UA,211,Serv. Eléctricos,MGOMEZ,T060,REDES_PESCA,,,,,Servicio mantenimiento tensiometro,,T66,-125.49,-125.49,420,Centro de coste,9,Servicio,,,,0,3024000001,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,2056267271,YULE ELECTRICIDAD S.A.C.,,,,,,,,,00,,5010001088,00010,,@0P@,,NB,Pedido estándar,ROGER RODRIG,1,UA,0,T79,T79-Comp.GBerna,2056267271,YULE ELECTRICIDAD S.A.C.,20191009,20191010,,20190910,-117.77,-117.77,399,L006,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,399,PEN,,0,0,0,0,,,20191101,,,000000,,,,1,0,-119.14,399,GRUA REDES,20191017,20191101,0,,20190909,0,0,   32,   22,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190930,20191002,,,,,0000000000000000000000000,,T04 - Regu,,  0.000,,,,   20,   20-,    9,    1,   22,,
600,0014967509,00010,COMPRAS,,L,20190910,20190910,20190930,@0P@,Servicio de rellenado y esmerilado de anillas de varias EPs Lugar: Pisco Proveed,20190910,Normal,Normal,1,UA,215,Serv. Metalmecánica,MGOMEZ,T060,REDES_PESCA,,,,,Servicio rellenado/esmerilado de anillas,,T68,-361.52,-361.52,1210,Centro de coste,9,Servicio,,,,0,3027120009,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,2049483465,REPRESENTACIONES E INVERSIONES F.M.,,,,,,,,,00,,5010002015,00040,,@0P@,Descargado en PDF.,NB,Pedido estándar,JERSON VARGA,1,UA,0,T78,T78-Comp.JVargas,2049483465,REPRESENTACIONES E INVERSIONES,20191021,20191022,20191024,20190910,-343.44,-343.44,1149.5,L006,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,1149.5,PEN,,0,0,0,0,,,20191125,,,000000,,,,4,0,-339.59,1149.5,EPS VARIAS,20191125,20191125,0,,20190516,0,0,   56,   34,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190930,20191002,,,,,0000000000000000000000000,,T02 - Regu,,  0.000,,,,   20,   20-,   21,    1,   34,,
600,0014967518,00010,COMPRAS,,L,20190910,20190910,20190930,@0P@,Servicio de mantenimiento del sistema eléctrico de la grúa link belt Fecha: 20/0,20190920,Normal,Normal,1,UA,231,Serv. Mant. de Vehículos,MGOMEZ,T060,REDES_PESCA,,,,,Servicio mantenimiento grúa redes,,T66,-290,-290,970.63,Centro de coste,9,Servicio,,,,0,3024000001,,00000000,,TCNO,TASA CALLAO NORTE,L006,Redes,2051693647,GRC GRUPO DE REPARACIONES Y,,,,,,,,,00,,5010000920,00010,,@0P@,Descargado en PDF.,NB,Pedido estándar,CREYES,1,UA,0,T76,T76-NO USAR,2051693647,GRC GRUPO DE REPARACIONES Y,20191004,20191009,20191011,20190920,290,290,979.62,L006,,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 30  días.,,,,,,,,,,968.89,USD,,0,0,0,0,,,20191101,,,000000,,,,1,0,290,971.21,GRUA REDES.,20191009,20191101,0,,20190822,0,0,   32,   23,1,C,,0000000000,0000,,,,,,,,,00,0,0,0,,,,,,00,20190930,20191002,,,,,0000000000000000000000000,,T02 - Regu,,  0.000,,,,   20,   10-,    4,    5,   23,,
600,0015033234,00010,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,2200,M,AUX-AFT05,CABLES DE ACERO,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009145,"CABLE 6X19 (9/9/1) TON/ENG. AF GALV 3/4""",,T65,-10814.35,-4.92,35882,,0,Normal,,,,889,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000674,00010,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,2200,M,0,T70,T70-Comp.JPereyra,2010017254,MOVITECNICA S A,20191001,20191004,20191007,20191004,9240,4.2,31277.4,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,31305.12,USD,L003,2200,0,9240,31305.12,010-0005307,20191009,20191009,,,000000,,,,0,0,0,0,,,,0,,,0,0,    9,    5,1,P,  667,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    5,,
600,0015033234,00020,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,2200,M,AUX-AFT05,CABLES DE ACERO,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009148,"CABLE 6X24 (12/12) BALL. AF GALV. 3/4""",,T65,-8990.96,-4.09,29832,,0,Normal,,,,1740,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000675,00010,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,2200,M,0,T70,T70-Comp.JPereyra,2025965990,PROCABLES SA,20191001,20191004,20191007,20190916,10032,4.56,33958.32,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 30  días.,,,,,,,,,,33988.42,USD,L003,2200,0,10032,33888.1,001-0081960,20191007,20191007,,,000000,,,,0,0,0,0,,,,0,,,0,0,    7,    3,1,P,  667,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    3,,
600,0015033234,00030,COMPRAS,,L,20190916,20190916,20190930,,,20190916,Normal,Normal,1100,M,AUX-AFT05,CABLES DE ACERO,MGOMEZ,T060,REDES_PESCA,,ZAUX,Suministros auxiliares,000000000031009144,CABLE 6X19 (9/9/1) TON/ENG. AF GALV  5/8,,T65,-3567.21,-3.24,11836,,0,Normal,,,,1918,,,00000000,,TCHI,CHIMBOTE,L001,Combustible,,,,,,,,,,,00,,5010000674,00020,,,Descargado en PDF.,NB,Pedido estándar,JORDAN PEREY,1100,M,0,T70,T70-Comp.JPereyra,2010017254,MOVITECNICA S A,20191001,20191004,20191007,20191004,3553,3.23,12026.91,L001,X,,05,Liberación concluida,@0O@,,00000,Normal,Plazo 60  días,,,,,,,,,,12037.56,USD,L003,1100,0,3553,12037.56,010-0005307,20191009,20191009,,,000000,,,,0,0,0,0,,,,0,,,0,0,    9,    5,1,P,  667,0000000000,0000,,,,,PRD,Produción,,,00,0,0,0,,,,,,00,20190930,20191002,,TCHI,,,0000000000000000000000000,,CTR - Solp,,  0.000,,,,   14,   14-,    1,    3,    5,,
