MANDT,BUKRS,USNAM,AFNAM,AENAM,AEDAT,AEZET,UN
600,TA10,ABIANCHI,T021,IANGELES,2020-07-07T00:00:00.000Z,095346,PLANTA
600,TA10,MTUEROS,T021,IANGELES,2020-07-07T00:00:00.000Z,095346,PLANTA
600,TA10,MMOYA,T050,IANGELES,2020-07-07T00:00:00.000Z,094609,PESCA
600,TA10,LRAMIREZ,T150,IANGELES,2020-07-07T00:00:00.000Z,094609,PLANTA
600,TA10,YIZAGUIRRE,T150,IANGELES,2020-07-07T00:00:00.000Z,094609,PLANTA
600,TA10,SCORDERO,T050,IANGELES,2020-07-07T00:00:00.000Z,094609,PESCA
600,TA10,SCORCUERA,T050,IANGELES,2020-07-07T00:00:00.000Z,094609,PESCA
600,TA10,OCORAL,T150,IANGELES,2020-05-28T00:00:00.000Z,103740,PLANTA
600,TA10,JRIVOIN,T150,IANGELES,2020-05-28T00:00:00.000Z,103740,PLANTA
600,TA10,BPEREZPALMA,T150,IANGELES,2020-05-28T00:00:00.000Z,103740,PLANTA
600,TA10,ACASTANEDA,T150,IANGELES,2020-05-28T00:00:00.000Z,103740,PLANTA
