MANDT,BANFN,BNFPO,BSART,BATXT,BSTYP,DDTEXT,SP_BADAT,LOEKZ,BLCKD,PSTYP,KNTTP,MATNR,TXZ01,PREIS,WAERS,WERKS,EKORG,EKOTX,EKGRP,EKNAM,ERNAM,BANPRX,FRGGR,FRGST,CODLIB,RESLIB,FEULIB,SP_UDATE1,LTS1,SP_USERNAME1,SP_UDATE2,LTS2,SP_USERNAME2,SP_UDATE3,LTS3,SP_USERNAME3,SP_UDATE4,LTS4,SP_USERNAME4,SP_UDATE5,LTS5,SP_USERNAME5,SP_UDATE6,LTS6,SP_USERNAME6
600,0070207560,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-12T00:00:00.000Z,,,0,,000000000032004378,GUANTE NITRI. 13'' T/M (08) A:,5.4,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,03-En proceso de liberación,TA,CJ,ZN,BPEREZPALMA,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070207263,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-10T00:00:00.000Z,,,0,,000000000033033163,FILTRO SECUNDARIO COMBUSTIB.20921901,259.35,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-11T00:00:00.000Z,2025-03-11T00:00:00.000Z,-30,BPEREZPALMA,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070207264,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-10T00:00:00.000Z,,,0,,000000000033034955,"MANOMETRO 0-160PSI DIAL 2 1/2""C/I.1/4""",126.55,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-11T00:00:00.000Z,2025-03-11T00:00:00.000Z,-30,BPEREZPALMA,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070207265,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-10T00:00:00.000Z,,,0,,000000000033037916,RPLCM FILTER 0000184560,1032.03,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-11T00:00:00.000Z,2025-03-11T00:00:00.000Z,-30,BPEREZPALMA,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070207053,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-07T00:00:00.000Z,X,,0,,000000000032004988,PROTECTOR SOLAR C/DISPENSADOR FPS50,70,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,03-En proceso de liberación,TA,CJ,ZN,BPEREZPALMA,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070207054,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-07T00:00:00.000Z,,,0,,000000000033034993,"MANOMETRO 0-60PSIØ2 1/2""INOX.C/POS.1/4""",134.26,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-10T00:00:00.000Z,2025-03-10T00:00:00.000Z,-28,BPEREZPALMA,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070207055,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-07T00:00:00.000Z,,,0,,000000000031015363,"BROCHA NY. 2""",9.94,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-10T00:00:00.000Z,2025-03-10T00:00:00.000Z,-28,BPEREZPALMA,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070206981,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-06T00:00:00.000Z,,,0,,000000000033033165,FILTRO SEDIMENTO 20MIC,37.28,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-10T00:00:00.000Z,2025-03-10T00:00:00.000Z,-27,ASOTO,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070206982,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-06T00:00:00.000Z,,,0,,000000000032004566,LICUADORA CROMADA 3V 04655-053-000 OSTER,369.22,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-10T00:00:00.000Z,2025-03-10T00:00:00.000Z,-27,BPEREZPALMA,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
600,0070206983,10,ZVB,Solp MRP VB,B,Solicitud de pedido,2025-04-06T00:00:00.000Z,,,0,,000000000032004425,"HACHA COCINA 6"" 24624/186 TRAMONTINA",65,PEN,TCNO,1400,Org. de compras TASA,T65,RPA ComprasC RM,T621,05-Liberación concluida,TA,CJ,ZN,,2025-03-10T00:00:00.000Z,2025-03-10T00:00:00.000Z,-27,BPEREZPALMA,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,,0001-01-01T00:00:00.000Z,0,
