MANDT,VBELN,POSNR,PSTYV,ERNAM,ERZET,ERDAT,WADAT_IST,MATKL,WERKS,LGORT,CHARG,LFIMG,VRKME,ARKTX,VGBEL,VGPOS,KOMKZ,BWART
600,0080121606,000010,YTAN,PCHABANEIX,164601,20190911,20190911,FER-TAS02,TMAT,TK01,90726S2002,338.47,TO,ACEITE CRUDO OMEGA ALTO DHA = 19%,0010009697,000040,A,601
600,0080121818,000010,NLN,CPUCHULAN,084245,20190916,20190901,FER-TAS02,TSUP,TK03,90626F1407,22.48,TO,ACEITE CRUDO CH,5050000000,000010,A,641
600,0080121820,000010,NLN,CPUCHULAN,084514,20190916,20190904,FER-TAS02,TCHI,TK04,90529T1706,31.81,TO,ACEITE CRUDO DE PESCADO CON OMEGA 3,5050000002,000010,A,641
600,0080121821,000010,NLN,CPUCHULAN,084800,20190916,20190912,FER-TAS02,TPSU,TK01,90801S1301,36.49,TO,ACEITE CRUDO CH,5050000006,000010,A,641
600,0080121828,000010,NLN,CPUCHULAN,095651,20190916,20190911,FER-TAS02,TPNO,TK02,90626F1302,14.27,TO,ACEITE CRUDO CH,5050000004,000010,A,641
600,0080121850,000010,NLN,CPUCHULAN,111353,20190916,20191001,FER-TAS02,TMAT,TK01,90726S2002,35.85,TO,ACEITE CRUDO OMEGA ALTO DHA = 19%,5050000007,000010,A,641
600,0080121926,000010,NLN,CPUCHULAN,124535,20190916,20190911,FER-TAS02,TPNO,TK05,90801F1305,6.39,TO,ACEITE CRUDO CH,5050000004,000020,A,641
600,0080121944,000010,NLN,VFARROMEQUE,144657,20190916,20190906,FER-TAS02,TCNO,TK04,90705F1104,35.53,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121945,000010,NLN,VFARROMEQUE,144804,20190916,20190906,FER-TAS02,TCNO,TK04,90705F1104,35.6,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121946,000010,NLN,VFARROMEQUE,145246,20190916,20190906,FER-TAS02,TCNO,TK04,90705F1104,31.05,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121947,000010,NLN,VFARROMEQUE,145335,20190916,20190906,FER-TAS02,TCNO,TK04,90705F1104,34.36,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121948,000010,NLN,VFARROMEQUE,145806,20190916,20190909,FER-TAS02,TCNO,TK04,90705F1104,34.86,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121949,000010,NLN,VFARROMEQUE,145842,20190916,20190909,FER-TAS02,TCNO,TK04,90705F1104,34.78,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121950,000010,NLN,VFARROMEQUE,145933,20190916,20190909,FER-TAS02,TCNO,TK04,90705F1104,35.54,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121951,000010,NLN,VFARROMEQUE,150001,20190916,20190909,FER-TAS02,TCNO,TK04,90705F1104,31.1,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121952,000010,NLN,VFARROMEQUE,150035,20190916,20190911,FER-TAS02,TCNO,TK04,90705F1104,35.77,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121953,000010,NLN,VFARROMEQUE,150114,20190916,20190911,FER-TAS02,TCNO,TK04,90705F1104,35.43,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121954,000010,NLN,VFARROMEQUE,150218,20190916,20190911,FER-TAS02,TCNO,TK04,90705F1104,31.18,TO,ACEITE CRUDO OMEGA 18.12,5050000003,000010,A,641
600,0080121955,000010,NLN,CPUCHULAN,152921,20190916,20190901,FER-TAS02,TSUP,TK01,90715F1401,13.35,TO,ACEITE CRUDO CH,5050000000,000020,A,641
600,0080121982,000010,NLN,MCANELO,112306,20190917,20190910,FER-TAS02,TPSU,TK01,90801S1301,38.97,TO,ACEITE CRUDO CH,5050000006,000010,A,641
600,0080121983,000010,NLN,MCANELO,112500,20190917,20190911,FER-TAS02,TPSU,TK01,90801S1301,37.58,TO,ACEITE CRUDO CH,5050000006,000010,A,641
600,0080122054,000010,YTAN,JREYESP,173325,20190917,20190916,FER-TAS08,TPUC,TDL3,,0,TO,ESTEARINA DE REFINADO,0010009747,000010,A,601
600,0080122054,900001,TAN,JREYESP,174059,20190917,20190916,FER-TAS08,TPUC,TDL3,90528S1401,28.178,TO,ESTEARINA DE REFINADO,0010009747,000010,A,601
600,0080122054,900002,TAN,JREYESP,174105,20190917,20190916,FER-TAS08,TPUC,TDL3,90519S1307,3.562,TO,ESTEARINA DE REFINADO,0010009747,000010,A,601
600,0080122055,000010,YTAN,JREYESP,182757,20190917,20190917,FER-TAS08,TPUC,TDL3,90519S1307,21.37,TO,ESTEARINA DE REFINADO,0010009747,000010,A,601
600,0080122063,000010,NLN,JREYESP,100359,20190918,20190903,FER-TAS08,TPUC,C004,S222190401,80,CIL,ACEITE REFINADO TG 1812,5050000010,000010,A,641
