MANDT,VBELN,POSNR,GJAHR,BSTNK,ERDAT,VKORG,VTWEG,SPART,BROKER,COMPRA,INCO1,ZTERM,VTEXT,ARKTX,TOTAL,ATEND,PENDI,PREASIG,PORASIG,UEBTO,DATAB,DATBI,PTOEM,PAORI,DESTI,PADES,MATKL,WAERK,TEMPO,MATNR,KUNNR,BSTDK,LPRIO,DMERC,BROKER_C,COMPRA_C,DMERC_C,DFACT_C,DFACT
600,20001058  ,000010,2022,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,100,100,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20190930,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000010,2023,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,100,100,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20190930,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000010,2024,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,100,100,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20190930,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000020,2022,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,200,200,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20191031,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000020,2023,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,200,200,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20191031,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000020,2024,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,200,200,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20191031,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000030,2022,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,100,100,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20191130,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000030,2023,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,100,100,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20191130,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001058  ,000030,2024,HPE-19-0154,20190909,TAVG,EX,HP,PROFISH TRADING SAC,KANEMATSU CORPORATION,CFR,ZCNC,,HARINA STEAM DRIED SUPER PRIME EG,100,100,0,0,0,5,20190909,20191130,Callao,Perú,Nagoya,Japón,FER-TAS01,USD,2019-I,000000000050003944,,20191130,00,KANEMATSU CORPORATION,0000027747,3000003015,3000003015,3000003015,KANEMATSU CORPORATION
600,20001059  ,000010,2022,HPE-19-0124,20190909,TAVG,EX,HP,DIRECTO,SKRETTING CO. LTD.,FOB,ZCDF,,HARINA STEAM DRIED PRIME,300,300,0,0,0,5,20190909,20190930,Callao,Perú,Japon,Japón,FER-TAS01,USD,2019-I,000000000050003937,,20190909,00,SKRETTING CO. LTD.,,3000003123,3000003123,3000003123,SKRETTING CO. LTD.
