MANDT,VBELN,GJAHR,ETAPA,ZZFNADE,TIEMPO,VKORG,VTWEG,SPART,AUART,ZZSBK,ZZBKE,ZZLTE,ZZEEN,ZZEAP,ZZFLE,BSTNK,NAME1S,NAME1S_C,DMERC,DMERC_C,DFACT_C,DFACT,MAKTX,INCO1,MATKL,ZTERM,KWMENG,WAERS,NETWR,FCARG,FARRI,NNAVE,NAME1N,NBOOK,NAME1,PTOEM,PAORI,DESTI,PADES,DESCR,NAME1R,NAME1RS,WERKS,KZWI2,ZZNCONT,BL,SDABW,OLNAME1,BRNAME1,FPTEXT1,ZZNDOCU,STOCK_PL,FLETE_UN,TOLER,TM_ASIG,ASIGNADO,DIF_FCFS,DIF_FEFS,ERDAT,AEDAT1,DIF_FAFC,AEDAT2,DIF_FCFA,FEC_ULTG,DIF_FCFU,ZZFCARG,DIF_FCFC,ZZFARRI,DIF_FEFC,AEDAT4,DIF_FLFC,FSALME,FEC_CFACD,DIF_FFFS,MATNR,BSTDK
600,50000178  ,2022,80FA,20191022,35,TAVG,EX,HP,ZTAE,X,X,X,,,X,HPE-19-0124-A3,SKRETTING CO. LTD.,3000003123,SKRETTING CO. LTD.,3000003123,3000003123,SKRETTING CO. LTD.,HARINA STEAM DRIED PRIME,FOB,FER-TAS01,ZCDF,311.06,USD,499251.3,20190911,20190919,MSC SHUBA B FA936R,,LIMV10520600,,Callao,Perú,Imari,Japón,SAC JUM / CONTE/ 40,JHAJAIRA MARIN,MARILU AMPUERO,TCNO,499251.3,12,ONEYLIMV10520600,FNLI,DP WORLD LOGISTICS S.R.L.,,Pago Contra Entrega de Docs. Faxeados,CADF,"TCNO,TCNO",0,+5.0,326.61,112,00000000,00000000,20190912,20190923,00010112,20190923,00000000,00000000,00000000,00000000,00000000,00000000,00010109,20190924,00010114,20190919,20190924,00010106,50003937,20190909
600,50000178  ,2023,80FA,20191022,35,TAVG,EX,HP,ZTAE,X,X,X,,,X,HPE-19-0124-A3,SKRETTING CO. LTD.,3000003123,SKRETTING CO. LTD.,3000003123,3000003123,SKRETTING CO. LTD.,HARINA STEAM DRIED PRIME,FOB,FER-TAS01,ZCDF,311.06,USD,499251.3,20190911,20190919,MSC SHUBA B FA936R,,LIMV10520600,,Callao,Perú,Imari,Japón,SAC JUM / CONTE/ 40,JHAJAIRA MARIN,MARILU AMPUERO,TCNO,499251.3,12,ONEYLIMV10520600,FNLI,DP WORLD LOGISTICS S.R.L.,,Pago Contra Entrega de Docs. Faxeados,CADF,"TCNO,TCNO",0,+5.0,326.61,112,00000000,00000000,20190912,20190923,00010112,20190923,00000000,00000000,00000000,00000000,00000000,00000000,00010109,20190924,00010114,20190919,20190924,00010106,50003937,20190909
600,50000178  ,2024,80FA,20191022,35,TAVG,EX,HP,ZTAE,X,X,X,,,X,HPE-19-0124-A3,SKRETTING CO. LTD.,3000003123,SKRETTING CO. LTD.,3000003123,3000003123,SKRETTING CO. LTD.,HARINA STEAM DRIED PRIME,FOB,FER-TAS01,ZCDF,311.06,USD,499251.3,20190911,20190919,MSC SHUBA B FA936R,,LIMV10520600,,Callao,Perú,Imari,Japón,SAC JUM / CONTE/ 40,JHAJAIRA MARIN,MARILU AMPUERO,TCNO,499251.3,12,ONEYLIMV10520600,FNLI,DP WORLD LOGISTICS S.R.L.,,Pago Contra Entrega de Docs. Faxeados,CADF,"TCNO,TCNO",0,+5.0,326.61,112,00000000,00000000,20190912,20190923,00010112,20190923,00000000,00000000,00000000,00000000,00000000,00000000,00010109,20190924,00010114,20190919,20190924,00010106,50003937,20190909
600,50000178  ,2025,80FA,20191022,35,TAVG,EX,HP,ZTAE,X,X,X,,,X,HPE-19-0124-A3,SKRETTING CO. LTD.,3000003123,SKRETTING CO. LTD.,3000003123,3000003123,SKRETTING CO. LTD.,HARINA STEAM DRIED PRIME,FOB,FER-TAS01,ZCDF,311.06,USD,499251.3,20190911,20190919,MSC SHUBA B FA936R,,LIMV10520600,,Callao,Perú,Imari,Japón,SAC JUM / CONTE/ 40,JHAJAIRA MARIN,MARILU AMPUERO,TCNO,499251.3,12,ONEYLIMV10520600,FNLI,DP WORLD LOGISTICS S.R.L.,,Pago Contra Entrega de Docs. Faxeados,CADF,"TCNO,TCNO",0,+5.0,326.61,112,00000000,00000000,20190912,20190923,00010112,20190923,00000000,00000000,00000000,00000000,00000000,00000000,00010109,20190924,00010114,20190919,20190924,00010106,50003937,20190909
600,50000180  ,2022,80FA,20191023,42,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0139-2B,PAN GROBEST TRADING CO. LTD.,3000003066,PAN GROBEST TRADING CO. LTD.,3000003066,3000002949,FOSHAN QUAN XING AQUATIC PRODUCTS F,HARINA STEAM DRIED PRIME,CFR,FER-TAS01,ZCNC,208.76,USD,323578,20190903,20190913,MEDITERRANEAN BRIDGE 0430-006W,,8031073490,,Callao,Perú,Lian Hua Shan,China,SACOS SLINGADOS / CONTR 40,KAREN BAZAN,MARIELA GSTIR,TCNO,321490.4,8,COSU8031073490,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,GROBEST GROUP LIMITED,Carta de Credito a la vista no Confirmada,CAD 30 DAYS,"TCNO,TCNO",8.431,+4.0,217.11,158,00000000,00000000,20190912,20190917,00010106,20190917,00000000,00000000,00000000,00000000,00000000,00000000,00010111,20190919,00010117,20190913,20190920,00010108,50003937,20190910
600,50000180  ,2023,80FA,20191023,42,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0139-2B,PAN GROBEST TRADING CO. LTD.,3000003066,PAN GROBEST TRADING CO. LTD.,3000003066,3000002949,FOSHAN QUAN XING AQUATIC PRODUCTS F,HARINA STEAM DRIED PRIME,CFR,FER-TAS01,ZCNC,208.76,USD,323578,20190903,20190913,MEDITERRANEAN BRIDGE 0430-006W,,8031073490,,Callao,Perú,Lian Hua Shan,China,SACOS SLINGADOS / CONTR 40,KAREN BAZAN,MARIELA GSTIR,TCNO,321490.4,8,COSU8031073490,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,GROBEST GROUP LIMITED,Carta de Credito a la vista no Confirmada,CAD 30 DAYS,"TCNO,TCNO",8.431,+4.0,217.11,158,00000000,00000000,20190912,20190917,00010106,20190917,00000000,00000000,00000000,00000000,00000000,00000000,00010111,20190919,00010117,20190913,20190920,00010108,50003937,20190910
600,50000180  ,2024,80FA,20191023,42,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0139-2B,GROBEST GROUP LIMITED,3000003066,GROBEST GROUP LIMITED,3000003066,3000002949,FOSHAN QUAN XING AQUATIC PRODUCTS F,HARINA STEAM DRIED PRIME,CFR,FER-TAS01,ZCNC,208.76,USD,323578,20190903,20190913,MEDITERRANEAN BRIDGE 0430-006W,,8031073490,,Callao,Perú,Lian Hua Shan,China,SACOS SLINGADOS / CONTR 40,KAREN BAZAN,MARIELA GSTIR,TCNO,321490.4,8,COSU8031073490,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,GROBEST GROUP LIMITED,Carta de Credito a la vista no Confirmada,CAD 30 DAYS,"TCNO,TCNO",8.431,+4.0,217.11,158,00000000,00000000,20190912,20190917,00010106,20190917,00000000,00000000,00000000,00000000,00000000,00000000,00010111,20190919,00010117,20190913,20190920,00010108,50003937,20190910
600,50000180  ,2025,80FA,20191023,42,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0139-2B,GROBEST GROUP LIMITED,3000003066,GROBEST GROUP LIMITED,3000003066,3000002949,FOSHAN QUAN XING AQUATIC PRODUCTS F,HARINA STEAM DRIED PRIME,CFR,FER-TAS01,ZCNC,208.76,USD,323578,20190903,20190913,MEDITERRANEAN BRIDGE 0430-006W,,8031073490,,Callao,Perú,Lian Hua Shan,China,SACOS SLINGADOS / CONTR 40,KAREN BAZAN,MARIELA GSTIR,TCNO,321490.4,8,COSU8031073490,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,GROBEST GROUP LIMITED,Carta de Credito a la vista no Confirmada,CAD 30 DAYS,"TCNO,TCNO",8.431,+4.0,217.11,158,00000000,00000000,20190912,20190917,00010106,20190917,00000000,00000000,00000000,00000000,00000000,00000000,00010111,20190919,00010117,20190913,20190920,00010108,50003937,20190910
600,50000181  ,2022,80FA,20191025,44,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0169-B,G.C. LUCKMATE TRADING LIMITED,3000002962,G.C. LUCKMATE TRADING LIMITED,3000002962,3000002962,G.C. LUCKMATE TRADING LIMITED,HARINA STEAM DRIED TAILANDIA,CFR,FER-TAS01,ZCNC,207.705,USD,259631.25,20190906,20190917,MEDITERRANEAN BRIDGE 0430-006W,,751900047568,,Callao,Perú,Huangpu,China,SACOS SLINGADOS / CONTR 40,SARA ARANA REYES,MARILU AMPUERO,TCNO,257554.2,8,EGLV751900047568,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,CONPAC S A,Carta de Credito a la vista no Confirmada,E289559,"TPSU,TCNO",9.244,+5.0,218.09,208,00000000,00000000,20190912,20190919,00010108,20190921,00000000,00000000,00000000,00000000,00000000,00000000,00010112,20190924,00010119,20190917,20190924,00010108,50003946,00000000
600,50000181  ,2023,80FA,20191025,44,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0169-B,G.C. LUCKMATE TRADING LIMITED,3000002962,G.C. LUCKMATE TRADING LIMITED,3000002962,3000002962,G.C. LUCKMATE TRADING LIMITED,HARINA STEAM DRIED TAILANDIA,CFR,FER-TAS01,ZCNC,207.705,USD,259631.25,20190906,20190917,MEDITERRANEAN BRIDGE 0430-006W,,751900047568,,Callao,Perú,Huangpu,China,SACOS SLINGADOS / CONTR 40,SARA ARANA REYES,MARILU AMPUERO,TCNO,257554.2,8,EGLV751900047568,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,CONPAC S A,Carta de Credito a la vista no Confirmada,E289559,"TCNO,TCNO",9.244,+5.0,218.09,208,00000000,00000000,20190912,20190919,00010108,20190921,00000000,00000000,00000000,00000000,00000000,00000000,00010112,20190924,00010119,20190917,20190924,00010108,50003946,00000000
