MANDT,BANFN,BNFPO,COND_PRIO,COND_LAST,KEY_WEEK,PRG_WEEK,PLAN_DAT,AREA_ASG,ASG_DAT,PROG_DAT,PSTYP_TX,PSTYP,KNTTP,ERNAM_TX,PRIONAM_TX,RANG_DAT,SCORE_DAT,BADAT,FRGKZ,FECHA_LIBERACION,DIAS_LIBERACION,LFDAT,PRIO_URGTX,ZZPRIO_URGTX,FRGDT,DIFF_DAT1,ZZEMBAR,MATKL,MATKL_TX,ZZSISTEMA,SCORE_SIS,BSART_TX,ASGAREA_TX,SCORE_TOT,ABC_PRIO,ZZTMANT,SCORE_TMAN,ZZTMANT_TX,ZZCAT_TX,SCORE_CAT,ZZCOMPLEJIDAD,SCORE_COM,ZZRIESGO,SCORE_RIE,DISGR,DISGR_TX,MATNR,TXZ01,OMENG,MEINS,PREI2,VPREIS,VPREI2,SCORE_VAL,WERKS,WERKS_TX,LGORT,LGORT_TX,MFRPN,MFRNR,FABRICANTE,CATEG_PR,RI_WERKS,RI_LIFNR,RI_LNAME,RI_DATLB,RI_EBELN,RI_EBELP,RI_PEINH,RI_NETPR,RI_WAERS,RI_NETP2,RI_APLFZ,K_TFLAG,K_KONNR,K_KTPNR,K_LIFNR,K_LNAME,K_EKGRP,LIFNR,LIFNR_TX,FLIEF,FLIEF_TX,TIMTRA,PLIFZ,LEADTM,WEBAZ,RSNUM,RSPOS,XWAOK,RS_RELDAYS,ZAFNAM,ERNAM,AFNAM,AFNAM_TX,SCORE_AFN,BEDNR,AREA,UO,DEPART,ZZORDTR,ZZDSIST,ZZDESEM,ZZMETRI,ZZMEINS,F_AEDAT,F_EBELN,F_EBELP,F_PARTN,F_ERNAM,F_REJEC,F_STREL,ST_DET,ST_FIN,DIF_PRG,DIAS_ATEN,FECHA_ASING_COMP,CATEGORIA_ASIGN,FECHA_ASIGN_CATE,CC_CATEG,CC_FMLA,CC_SUBFMLA,USUARIO_SOLIC
600,0020159638,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,RPA Tipo4 B,RPA Tipo4 B,Vencido,3,20250617,3,20251217,-183,20250611,01-Normal,,20250611,-187,P055,204,Serv. Mant. Motores,TF0555-03-MOTOR PRINCIPAL Y CAJA,0,NO PLANIFICADO,COMPRAS,1.5,C,EM,1,Correctivo Emergencia,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,cañeria de combustible de la unidad 3 ro,1,UA,1611.02,5822.23,1611.02,0,TPSU,PISCO SUR,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2010002869,FERREYROS SOCIEDAD ANÓNIMA,,,3,0,3,0,0000000000,0000,,0,PSANCHEZ,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,,706775,MOTOR PRINCIPAL Y CAJA,MOTOR DIESEL 250 HP 1800 RPM,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-189,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE MOTORES Y CAJAS,PSANCHEZ
600,0020159918,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.DHinostroza,Comp.DHinostroza,Vencido,3,20250619,3,20251217,-181,20250619,01-Normal,,20250619,-179,T420,206,Serv. Equipos Hidráu,TF01420-0610-Sistema de Bombeo Hidráulico,0,NO PLANIFICADO,COMPRAS,1.5,C,MCP,2,Correctivo Programado,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,T420 SH Tomafuerza IT SPN 318 reparacion,1,UA,2524.97,9100,2524.97,0,TSUP,SUPE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2056299793,BAMEC E.I.R.L.,,,3,0,3,0,0000000000,0000,,0,APRICE,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,ADMIN.CENTRAL CALLAO,708994,Sistema de Bombeo Hidráulico,Tomafuerza,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-181,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS HIDRÁULICOS,APRICE
600,0020160496,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,RPA Tipo4 B,RPA Tipo4 B,Vencido,3,20250625,3,20251217,-175,20250605,01-Normal,,20250605,-193,T425,204,Serv. Mant. Motores,TF01425-0301-Motor Principal,0,NO PLANIFICADO,COMPRAS,2.75,B,MCP,2,Correctivo Programado,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,motor principal consumo de aceite -cambi,1,UA,5021.78,17982.99,5021.78,5,TPSU,PISCO SUR,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2010002869,FERREYROS SOCIEDAD ANÓNIMA,,,3,0,3,0,0000000000,0000,,0,PSANCHEZ,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,,704465,Motor Principal,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-195,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE MOTORES Y CAJAS,PSANCHEZ
600,0020161960,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.DHinostroza,Comp.DHinostroza,Vencido,3,20250711,3,20251217,-159,20250616,01-Normal,,20250616,-182,T043,206,Serv. Equipos Hidráu,TF0143-0611-Controles y Líneas Hidráulicas,0,NO PLANIFICADO,COMPRAS,1.5,C,MCP,2,Correctivo Programado,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,"valvula pilotaje doble , tiene pase de a",1,UA,2576.47,9164.5,2576.47,0,TPSU,PISCO SUR,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2060456781,GUIAL SOLUTIONS E.I.R.L.,,,3,0,3,0,0000000000,0000,,0,DSERAFIN,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,,707869,Controles y Líneas Hidráulicas,Consola de Pilotaje,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-184,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS HIDRÁULICOS,DSERAFIN
600,1038812122,00020,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,BIEN,,,RPA Tipo4 B,RPA Tipo4 B,Vencido,3,20251204,3,20251204,0,20251215,02-Urgencia,,20251215,0,T038,RPG-MEC17,MOTORES DE EXPLOSIÓN,10380302-Caja Reductora,0,NO PLANIFICADO,COMPRAS,1.05,C,SIN,9,Siniestro,EST-Compra Estándar,1,,0,,0,UIN,Uso Inmediato,000000000033062818,DISCO EMBRAGUE INT.K022 2021501,1,ST,118.36,398.86,118.36,3,TCNO,TASA CALLAO NORTE,L001,Alm. Materiales,,,,,TCNO,2061339796,REINTJES PERU S.A.C.,20251204,5010246500,00020,1,107.8,USD,107.8,0,Sin Contrato,,00000,,,,,,,,3,0,3,0,0039039470,0002,X,0,NCOLLAZOS,ASOTO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,ADMIN.CENTRAL CALLAO,744459,Caja Reductora,CAJA REDUCTORA RATIO 3.955:1,0,,20251204,5010246500,00020,REINTJES PERU S.A.C.,MCORRALES,ón - 04.12.2025 20:40:42,8,PENDIENTE,PENDIENTE,0,11,00000000,MANTENIMIENTO,00000000,MANTENIMIENTO,REPUESTOS OEM,REPUESTOS DE MOTORES DE COMBUS,NCOLLAZOS
600,0030017312,00040,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,N,,,Vencido,3,20251212,3,20251215,-3,20251212,00-,,20251212,-3,,007,Activos Fijos,,0,NO PLANIFICADO,COMPRAS,1.05,C,,0,,T01-Estándar / Coordinado con Logística,1,,0,,0,,,,T56 SA Conexionado de motor compresor ai,1,ST,267.06,900,267.06,3,T056,TASA 56,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2060650981,MULTISERVICIOS Y FABRICACIONES GENE ORION S.A.C.,2060650981,MULTISERVICIOS Y FABRICACIONES GENERALESORION S.A.C.,3,0,3,0,0000000000,0000,,0,,FSUAREZ,T106,PROYECTOS_GERENCIA DE MANTENIMIENTO_PESC,0,PROYECTOS,,,,,,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-3,00000000,MANTENIMIENTO,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTENIMIENTO ELÉCTRICO,FSUAREZ
600,0030019554,00080,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,N,Comp.RMiranda,Comp.RMiranda,Más de 20 días,1,20251205,3,20251211,-6,20260126,00-,,20260501,137,,234,Serv. Mant. Maquinar,,0,NO PLANIFICADO,COMPRAS,0.3,C,,0,,EST-Compra Estándar,1,,0,,0,,,,TCNO Mantto Bastidor SepSol#4 Alfa 934,1,ST,2500,8407.5,2500,0,TCNO,TASA CALLAO NORTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,0000038907,TECNOLOGIAS DE SEPARACION SAC,0000038907,TECNOLOGIAS DE SEPARACION SAC,3,0,3,0,0000000000,0000,,0,,LUSANCHEZ,T101,PROYECTOS_GERENCIA DE MANTENIMIENTO_PLAN,0,MANTTO,PROYECTOS,PLANTA,,,,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,46,00000000,MANTENIMIENTO,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS MECÁNICOS,LUSANCHEZ
600,0020174130,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.DHinostroza,Comp.DHinostroza,Vencido,3,20251208,3,20251209,-1,20251201,01-Normal,,20251201,-14,T056,206,Serv. Equipos Hidráu,TF0156-11-REDES,0,NO PLANIFICADO,COMPRAS,2.25,B,MP,3,Preventivo,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,T56 Cambio de rodillo de red de proa del,1,UA,770,2594.13,770,3,TCNO,TASA CALLAO NORTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2045723011,REFRINS SERVICE S.R.L.,,,3,0,3,0,0000000000,0000,,0,MGOMEZ,TASA_MAXIMO,TMF3,MANTTO CAPIT_PESCA,0,PESCA,MANTENIMIENTO,PESCA,CENTRAL PESCA,752351,REDES,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-8,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS HIDRÁULICOS,MGOMEZ
600,0020174166,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.RMiranda,Comp.RMiranda,Del 14vo día al 20vo día,2,20251209,3,20251209,0,20260109,01-Normal,,20260109,25,T052,234,Serv. Mant. Maquinar,TF0152-0606-Sistema de Izaje de Red,0,NO PLANIFICADO,COMPRAS,1.05,C,MP,3,Preventivo,T01-Estándar / Coordinado con Logística,1,,0,,0,,,,PM T052 SH 175C CARRETE LOCO IT,1,UA,742.06,2500,742.06,3,TCHI,CHIMBOTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2048433898,BRYC S.A.C.,,,3,0,3,0,0000000000,0000,,0,MTAPIA,TASA_MAXIMO,TMF2,MANTTO IPRT_PESCA,0,PESCA,MANTENIMIENTO,PESCA,ADMIN.CENTRAL CALLAO,753266,Sistema de Izaje de Red,Carrete Loco,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,31,00000000,MANTENIMIENTO,00000000,,,,MTAPIA
600,0030019606,00060,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,N,,,Más de 20 días,1,20251217,3,20251218,-1,20260126,00-,,20260126,42,,237,Serv. Fabric. Instal,,0,NO PLANIFICADO,COMPRAS,1.55,C,,0,,EST-Compra Estándar,1,,0,,0,,,,T52 MA1 OVERHAUL MOTOR AUXILIAR CAT C18,1,ST,75000,253050,75000,5,T052,TASA 52,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,,,,,3,0,3,0,0000000000,0000,,0,,RORODRIGUEZ,T106,PROYECTOS_GERENCIA DE MANTENIMIENTO_PESC,0,MANTTO,,,ADMIN.CENTRAL CALLAO,,,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,39,00000000,"CALIDAD, SSOMA Y PROYECTOS",00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE MOTORES Y CAJAS,RORODRIGUEZ
