MANDT,GJAHR,MONAT,BUDAT_MKPF,WERKS,BWART,INDICADOR,MATNR,ORIGEN,MAKTX,CHARG,HSDAT,CANTIDAD,CANTIDADABSOLUTA,USNAM_MKPF,ERFME,MOVIMIENTO
600,2020,01,20200103,TCNO,261,REPROCESO                               ,000000000050003902                      ,Comercial,HARINA NC. ANTIGUEDAD >4/6 MESES,S201911022,20200103,4,4,JVERDE,TO,HARINA NC. ANTIGUEDAD >4/6 MESES
600,2020,01,20200103,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,CHI1900832,20191128,4,4,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200103,TCNO,943,PNC                                     ,000000000050003904                      ,Producción,HARINA NC. CLORURO ALTO,MSU1900972,20191229,26,26,TAS_QM_JOB,TO,
600,2020,01,20200104,TCNO,943,PNC                                     ,000000000050003904                      ,Producción,HARINA NC. CLORURO ALTO,MSU1900980,20191231,50,50,TAS_QM_JOB,TO,
600,2020,01,20200104,TCNO,943,PNC                                     ,000000000050003924                      ,Producción,HARINA NC. TVN,CNO1900485,20191204,40,40,TAS_QM_JOB,TO,
600,2020,01,20200105,TCNO,943,PNC                                     ,000000000050003904                      ,Producción,HARINA NC. CLORURO ALTO,PSU1900254,20191109,30,30,TAS_QM_JOB,TO,
600,2020,01,20200108,TCNO,943,PNC                                     ,000000000050003904                      ,Producción,HARINA NC. CLORURO ALTO,PSU1900257,20191110,11.6,11.6,TAS_QM_JOB,TO,
600,2020,01,20200108,TCNO,943,PNC                                     ,000000000050003924                      ,Producción,HARINA NC. TVN,SUP1900198,20191212,26.7,26.7,TAS_QM_JOB,TO,
600,2020,01,20200110,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900216,20191113,0.8,0.8,SARTEAGA,TO,
600,2020,01,20200110,TCHI,944,Neteo 943                               ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900200,20191111,-10.55,10.55,SARTEAGA,TO,
600,2020,01,20200111,TCNO,943,PNC                                     ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900216,20191203,36,36,TAS_QM_JOB,TO,
600,2020,01,20200113,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,CHI1900647,20191114,0.7,0.7,SVASQUEZ,TO,
600,2020,01,20200113,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900201,20191129,48,48,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200113,TCNO,262,Neteo 261                               ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900201,20191129,-48,48,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200113,TCNO,943,PNC                                     ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900201,20191129,2,2,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200114,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,MSU1900680,20191108,5,5,SVASQUEZ,TO,
600,2020,01,20200114,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,CHI1900876,20191201,50,50,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200114,TCNO,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,SUP1900124,20191124,4.1,4.1,CGUERRA,TO,
600,2020,01,20200114,TCNO,943,PNC                                     ,000000000050003921                      ,Producción,HARINA NC. SALMONELLA (+),MSU1900975,20191231,29.35,29.35,CGUERRA,TO,
600,2020,01,20200115,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900202,20191129,50,50,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200116,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,MSU1900683,20191108,2.4,2.4,SVASQUEZ,TO,
600,2020,01,20200116,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900211,20191203,50,50,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200116,TSAM,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,SAM1900217,20191212,30,30,GAGUILAR,TO,
600,2020,01,20200117,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900193,20191111,2.4,2.4,CGUERRA,TO,
600,2020,01,20200117,TCNO,943,PNC                                     ,000000000050003907                      ,Producción,HARINA NC. CONTAMINACION FISICA,CHI1900915,20191208,0.1,0.1,CGUERRA,TO,
600,2020,01,20200120,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,VEG1900295,20191203,50,50,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200121,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,VEG1900282,20191202,50,50,JVERDE,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200122,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,MSU1900697,20191109,6.6,6.6,SVASQUEZ,TO,
600,2020,01,20200122,TCNO,261,REPROCESO                               ,000000000050003904                      ,Producción,HARINA NC. CLORURO ALTO,PSU1900257,20191110,11.6,11.6,MCHUMAN,TO,HARINA NC. CLORURO ALTO
600,2020,01,20200122,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,VEG1900294,20191203,50,50,MCHUMAN,TO,HARINA NC. TVN / HISTAMINA
600,2020,01,20200124,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,CHI1900668,20191116,8,8,TAS_QM_JOB,TO,
600,2020,01,20200124,TCNO,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,SUP1900124,20191124,0.05,0.05,CGUERRA,TO,
600,2020,01,20200125,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,CHI1900767,20191123,3.15,3.15,TAS_QM_JOB,TO,
600,2020,01,20200125,TCNO,943,PNC                                     ,000000000050003902                      ,Comercial,HARINA NC. ANTIGUEDAD >4/6 MESES,T171912003,20200125,60,60,TAS_QM_JOB,TO,
600,2020,01,20200125,TCNO,943,PNC                                     ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900203,20191201,384,384,TAS_QM_JOB,TO,
600,2020,01,20200126,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,CHI1900668,20191116,8,8,TAS_QM_JOB,TO,
600,2020,01,20200127,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,MSU1900685,20191108,10,10,TAS_QM_JOB,TO,
600,2020,01,20200127,TCNO,943,PNC                                     ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM1900203,20191201,48,48,TAS_QM_JOB,TO,
600,2020,01,20200128,TCNO,261,REPROCESO                               ,000000000050003902                      ,Comercial,HARINA NC. ANTIGUEDAD >4/6 MESES,F151800378,20181211,2,2,JVERDE,TO,HARINA NC. ANTIGUEDAD >4/6 MESES
600,2020,01,20200128,TCNO,261,REPROCESO                               ,000000000050003911                      ,Producción,HARINA NC. GRASA ELEVADA,CHI1900854,20191129,2,2,JVERDE,TO,HARINA NC. GRASA ELEVADA
600,2020,01,20200129,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900191,20191111,9.8,9.8,SVASQUEZ,TO,
600,2020,01,20200130,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900206,20191112,40.65,40.65,TAS_QM_JOB,TO,
600,2020,01,20200131,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900218,20191113,22.45,22.45,TAS_QM_JOB,TO,
600,2020,01,20200131,TCNO,943,PNC                                     ,000000000050003904                      ,Producción,HARINA NC. CLORURO ALTO,VEG2011001,20200131,50,50,TAS_QM_JOB,TO,
600,2020,01,20200131,TCNO,943,PNC                                     ,000000000050003924                      ,Producción,HARINA NC. TVN,CNO2011001,20200131,50,50,TAS_QM_JOB,TO,
600,2020,02,20200201,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,CHI1900755,20191122,98.3,98.3,TAS_QM_JOB,TO,
600,2020,02,20200201,TCNO,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,SAM1900149,20191114,47.95,47.95,TAS_QM_JOB,TO,
600,2020,02,20200203,TCHI,943,PNC                                     ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900198,20191111,2.05,2.05,CGUERRA,TO,
600,2020,02,20200203,TCHI,944,Neteo 943                               ,000000000050003905                      ,Comercial,HARINA NC. COLOR,VEG1900198,20191111,-6.1,6.1,CGUERRA,TO,
600,2020,02,20200203,TCNO,944,Neteo 943                               ,000000000050003924                      ,Producción,HARINA NC. TVN,CNO1900469,20191203,-50,50,CGUERRA,TO,
