MANDT,KOSTL,LTEXT
600,0000000901,HABITACIONES
600,0000000902,ALIMENTOS
600,0000000903,BEBIDAS
600,0000000904,LAVANDERIA
600,0000000905,TELEFONOS
600,0000000907,SPA
600,0000000908,OTROS DEPARTAMENTOS
600,0000000909,PROY. OBRAS E INMUEBLES
600,0000000910,ADMINISTRACION Y FINANZAS
600,0000000911,COMERCIAL
600,0000000912,SISTEMAS
600,0000000913,RECURSOS HUMANOS
600,0000000914,MARKETING
600,0000000915,RELACIONES PUBLICAS
600,0000000916,E-MARKETING
600,0000018310,GERENCIA GESTION DE TERRENOS
600,0000018320,GERENCIA NEGOCIOS INMOBILIARIOS
600,0000018330,GESTION MANTENIMIENTO
600,0000018410,GERENCIA PROYECTOS CONSTRUCCION
600,0000018420,JEFATURAS DE PROYECTOS
600,0000018500,GERENCIA DESARROLLO NEGOCIOS
600,0000018600,SERVICIOS VARIOS
600,0000018700,OTROS GASTOS
600,0000018800,GASTOS DISTRIBUIBLES
600,0000062901,OPERACIONES
600,0000062910,ADMINISTRATIVOS
600,0000110001,ARCHIVO
600,0000110002,CAJA
600,0000110003,COBRANZAS
600,0000110004,CONTABILIDAD
600,0000110005,GERENCIA GENERAL
600,0000110006,LOGISTICA
600,0000110007,GESTION CUENTAS POR PAGAR
600,0000110008,GESTIÓN HUMANA
600,0000110009,SERVICIOS VARIOS (mensajeros)
600,0000110010,SISTEMAS
600,0000110011,LOGISTICA
600,0000110012,ASISTENTE ACCIONISTAS
600,0000110013,RIESGOS
600,0000110014,LOGÍSTICA CORPORATIVA
600,0000110015,LEGAL
600,0000110016,AUDITORIA INTERNA
600,0000110017,FAMILY OFFICE
600,0000110018,FINANZAS
600,0000110019,CONSEJERO ACCIONISTA
600,0000110020,GASTOS PROYECTOS CORPORATIVOS
600,0000110021,GERENCIA DE RIESGOS
600,0000110022,PLANEAMIENTO Y PROCESOS
600,0000110023,GASTOS PROY. MDM LOGISTICA
600,0000110024,GASTOS PROY. HYPERION FINANCIAL
