MANDT,KTOPL,KSTAR,LTEXT
600,PCGA,0021401001,Departamentos y locales para la venta
600,PCGA,0023401001,Inmuebles en proceso gastos
600,PCGA,0025210103,Combustibles y Lubricantes
600,PCGA,0025240101,Suministros
600,PCGA,0025301001,Repuestos
600,PCGA,0025401002,Insumos
600,PCGA,0026101001,Envases y embalajes
600,PCGA,0033801002,Z-Unidades por recibir PS
600,PCGA,0033810103,Unidades por recibir PS -Maquina. y eq.
600,PCGA,0033820102,Unidades por recibir PS -Equipos de tran
600,PCGA,0033830102,Unidades por recibir PS -Muebles y enser
600,PCGA,0033860102,Unidades por recibir PS -Equipos diverso
600,PCGA,0033870102,Unidades por recibir PS -Her. y unid. de
600,PCGA,0033870105,Unidades por Recibir - PS
600,PCGA,0060330111,Sobreestadia
600,PCGA,0060330118,Sobreestadia
600,PCGA,0060330195,Participacion de Utilidades de Trabajado
600,PCGA,0060330196,Asignación Familiar - empleados
600,PCGA,0060330197,Asignación Familiar - obreros
600,PCGA,0060330198,Gasto Alimentación vales
600,PCGA,0060330199,Gtos. de Sindicato
600,PCGA,0061301001,Z-Suministros Consumo
600,PCGA,0061301002,Z-Suministros de cómputo
600,PCGA,0061301003,Z-Economato
600,PCGA,0061301004,Z-Repuestos Consumo
600,PCGA,0061302001,Z-Aglomerados
600,PCGA,0061302002,Z-Acero
600,PCGA,0061302003,Z-Materiales de arcilla
600,PCGA,0061302004,Z-Acabados
600,PCGA,0061302005,Z-Materiales PVC
600,PCGA,0061302006,Z-Cables y artefactos eléctricos
600,PCGA,0061302007,Z-Equipamiento
600,PCGA,0061303001,Z-Mangueras y accesorios
600,PCGA,0061303002,"Z-Conductores, accesorios"
600,PCGA,0061303003,Z-Cables de acero y accesorios
600,PCGA,0061303004,"Z-Pernos, anillos y arandelas"
600,PCGA,0061303005,Z-Planchas y tolvas
600,PCGA,0061303006,Z-Rodajes
600,PCGA,0061303007,Z-Llantas y accesorios
600,PCGA,0061303008,"Z-Soldadura, oxigeno, acetileno"
600,PCGA,0061303009,Z-Lubricante
600,PCGA,0061303010,Z-Filtros
600,PCGA,0061303011,Z-Petroleo
600,PCGA,0061303012,Z-Gasolina
600,PCGA,0061303013,Z-Aceros y accesorios de perforación
600,PCGA,0061303014,Z-Materiales de ventilación
600,PCGA,0061303015,Z-Materiales de sostenimiento
600,PCGA,0061303016,Z-Herramientas
600,PCGA,0061303017,Z-Implementos de seguridad
600,PCGA,0061303018,Z-Herramientas para voladura
