MANDT,MATNR,MAKTX
600,000000000000000001                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000002                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000003                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000004                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000005                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000006                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000007                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000008                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000009                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000010                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000011                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000012                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000013                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000014                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000015                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000016                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000017                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000018                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000019                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000020                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000021                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000022                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000023                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000024                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000025                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000026                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000027                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000028                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000029                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000030                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000031                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000032                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000033                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000034                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000035                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000036                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000037                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000038                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000039                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000040                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000041                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000042                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000043                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000044                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000045                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000046                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000047                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000048                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000049                      ,AUDITORIA 2019 - COD OBSOLETO
600,000000000000000050                      ,AUDITORIA 2019 - COD OBSOLETO
