MANDT,KOKRS,GJAHR,ID,CORREL,PERIO,BUDAT,KSTAR,MATNR,ZZASKTX,MBGBTR,MEINB,WRGBTR,WOGBTR,BLTXT,AUFNR,ZZLIFNR,REFBN,BELNR,STFLG,USNAM,VRGNG,BLDAT,CPUDT,WSDAT,RWAER,OWAER,KWAER,TWAER,AWREF_REV,WKGBTR,WKVBTR,WRVBTR,WOVBTR,WTVBTR,WTGBTR,VERSN,BUKRS,BLART,OBART
600,1711,2020,2020010120201231,0000000001,001,20200102,0065970101,,,0,,2.31,7.63,Gastos por San Pedrito -,000000900204,,0035000000,A001JEY700,,VCANTARA,COIN,20190625,20200102,20190625,USD,PEN,USD,PEN,0035000001,2.31,2.31,2.31,7.63,7.63,7.63,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000002,001,20200102,0065970101,,,0,,-2.31,-7.63,ACCREV,000000900204,,0035000001,A001JEY800,X,VCANTARA,COIN,20190625,20200102,20190625,USD,PEN,USD,PEN,0035000000,-2.31,-2.31,-2.31,-7.63,-7.63,-7.63,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000003,001,20200102,0061330115,000000000032004725,,1,ST,12.31,41.15,MARCO SILVA TORRES,000000900274,,4900000327,A001JFPV00,,FTRUJILLO,COIN,20200102,20200102,20200102,USD,PEN,USD,PEN,,12.31,12.31,12.31,41.15,41.15,41.15,000,TA10,WA,OR
600,1711,2020,2020010120201231,0000000004,001,20200102,0061330115,000000000031010771,,1,BOT,11.5,38.66,25842344 Hegusquiza Hecto,000000900275,,4900000717,A001JIQT00,,AVELASQUE,COIN,20200102,20200102,20200102,USD,PEN,USD,PEN,,11.5,11.5,11.5,38.66,38.66,38.66,000,TA10,WA,OR
600,1711,2020,2020010120201231,0000000005,001,20200102,0065940101,,,0,LE,-0.31,0,SUMINISTRO COMBUSTIBLE F0,000000900088,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.31,-0.31,-0.31,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000006,001,20200102,0065940101,,,0,LE,-0.25,0,SUMINISTRO COMBUSTIBLE F0,000000900090,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.25,-0.25,-0.25,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000007,001,20200102,0065940101,,,0,LE,-0.36,0,SUMINISTRO COMBUSTIBLE F0,000000900113,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.36,-0.36,-0.36,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000008,001,20200102,0065940101,,,0,LE,-0.29,0,SUMINISTRO COMBUSTIBLE F0,000000900124,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.29,-0.29,-0.29,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000009,001,20200102,0065940101,,,0,LE,-0.9,0,SUMINISTRO COMBUSTIBLE F0,000000900143,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.9,-0.9,-0.9,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000010,001,20200102,0065940101,,,0,LE,-0.4,0,SUMINISTRO COMBUSTIBLE F0,000000900114,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.4,-0.4,-0.4,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000011,001,20200102,0065940101,,,0,LE,-1.09,0,SUMINISTRO COMBUSTIBLE F0,000000900116,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-1.09,-1.09,-1.09,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000012,001,20200102,0065940101,,,0,LE,-1.01,0,SUMINISTRO COMBUSTIBLE F0,000000900115,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-1.01,-1.01,-1.01,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000013,001,20200102,0065940101,,,0,LE,-0.39,0,SUMINISTRO COMBUSTIBLE F0,000000900133,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.39,-0.39,-0.39,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000014,001,20200102,0065940101,,,0,LE,-0.23,0,SUMINISTRO COMBUSTIBLE F0,000000900121,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.23,-0.23,-0.23,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000015,001,20200102,0065940101,,,0,LE,-0.64,0,SUMINISTRO COMBUSTIBLE F0,000000900153,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.64,-0.64,-0.64,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000016,001,20200102,0065940101,,,0,LE,-0.32,0,SUMINISTRO COMBUSTIBLE F0,000000900117,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-0.32,-0.32,-0.32,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000017,001,20200102,0065940101,,,0,LE,-1.24,0,SUMINISTRO COMBUSTIBLE F0,000000900131,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-1.24,-1.24,-1.24,0,0,0,000,TA10,01,OR
600,1711,2020,2020010120201231,0000000018,001,20200102,0065940101,,,0,LE,-1.89,0,SUMINISTRO COMBUSTIBLE F0,000000900137,,5105672937,A001JIR000,,SPRADO,COIN,20191218,20200102,20191218,USD,PEN,USD,PEN,,-1.89,-1.89,-1.89,0,0,0,000,TA10,01,OR
