MANDT,KOKRS,GJAHR,CORREL,PERIO,BLDAT,USNAM,KSTAR,KOSTL,WRGSUM,WRG001,WRG002,WRG003,WRG004,WRG005,WRG006,WRG007,WRG008,WRG009,WRG010,WRG011,WRG012,WRFSUM,WOFSUM,WTFSUM,TWAER,BELNR,RWAER,OWAER,KWAER,OBJID,VRGNG,WKG001,WKG002,WKG003,WKG004,WKG005,WKG006,WKG007,WKG008,WKG009,WKG010,WKG011,WKG012,WOG001,WOG002,WOG003,WOG004,WOG005,WOG006,WOG007,WOG008,WOG009,WOG010,WOG011,WOG012,WOGSUM,WTG001,WTG002,WTG003,WTG004,WTG005,WTG006,WTG007,WTG008,WTG009,WTG010,WTG011,WTG012,WTGSUM
600,1711,2019,0000000001,010,20191011,JSANCHEZR,0061330108,3001000002,1050,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,1050,3496.56,3496.56,PEN,6000001790,USD,PEN,USD,3001000002,RKP1,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,3496.56,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,291.38,3496.56
600,1711,2019,0000000002,010,20191011,JSANCHEZR,0061330110,3001000002,50.04,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,50.04,166.68,166.68,PEN,6000001791,USD,PEN,USD,3001000002,RKP1,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,166.68,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,166.68
600,1711,2019,0000000003,010,20191011,JSANCHEZR,0061330112,3001000002,200,0,0,100,0,0,0,0,100,0,0,0,0,200,666,666,PEN,6000001792,USD,PEN,USD,3001000002,RKP1,0,0,100,0,0,0,0,100,0,0,0,0,0,0,333,0,0,0,0,333,0,0,0,0,666,0,0,333,0,0,0,0,333,0,0,0,0,666
600,1711,2019,0000000004,010,20191011,JSANCHEZR,0061330115,3001000002,69.96,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,69.96,232.92,232.92,PEN,6000001793,USD,PEN,USD,3001000002,RKP1,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,232.92,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,232.92
600,1711,2019,0000000005,010,20191011,JSANCHEZR,0063111016,3001000002,12000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12000,39960,39960,PEN,6000001794,USD,PEN,USD,3001000002,RKP1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,39960,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,39960
600,1711,2019,0000000006,010,20191011,JSANCHEZR,0063111027,3001000002,150000,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,150000,499500,499500,PEN,6000001795,USD,PEN,USD,3001000002,RKP1,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,41625,41625,41625,41625,41625,41625,41625,41625,41625,41625,41625,41625,499500,41625,41625,41625,41625,41625,41625,41625,41625,41625,41625,41625,41625,499500
600,1711,2019,0000000007,010,20191011,JSANCHEZR,0063520102,3001000002,999.96,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,999.96,3329.88,3329.88,PEN,6000001796,USD,PEN,USD,3001000002,RKP1,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,3329.88,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,3329.88
600,1711,2019,0000000008,010,20191011,JSANCHEZR,0061330108,3002000001,4600,400,400,300,400,300,400,400,400,400,400,400,400,4600,15318,15318,PEN,6000001797,USD,PEN,USD,3002000001,RKP1,400,400,300,400,300,400,400,400,400,400,400,400,1332,1332,999,1332,999,1332,1332,1332,1332,1332,1332,1332,15318,1332,1332,999,1332,999,1332,1332,1332,1332,1332,1332,1332,15318
600,1711,2019,0000000009,010,20191011,JSANCHEZR,0061330112,3002000001,2500,100,900,100,100,100,200,100,300,100,100,200,200,2500,8325,8325,PEN,6000001798,USD,PEN,USD,3002000001,RKP1,100,900,100,100,100,200,100,300,100,100,200,200,333,2997,333,333,333,666,333,999,333,333,666,666,8325,333,2997,333,333,333,666,333,999,333,333,666,666,8325
600,1711,2019,0000000010,010,20191011,JSANCHEZR,0061330115,3002000001,4300,100,1200,300,200,200,300,200,600,300,300,300,300,4300,14319,14319,PEN,6000001799,USD,PEN,USD,3002000001,RKP1,100,1200,300,200,200,300,200,600,300,300,300,300,333,3996,999,666,666,999,666,1998,999,999,999,999,14319,333,3996,999,666,666,999,666,1998,999,999,999,999,14319
