MANDT,KOKRS,GJAHR,ID,CORREL,PERIO,KOSTL,KSTAR,RWAER,WKFBTR,WRFBTR,WOFBTR,WTFBTR,WKVBTR,WRVBTR,WOVBTR,WTVBTR,WRGBTR,WTGBTR,WOGBTR,OWAER,TWAER,MAT_TXT,MBGBTR,KWAER,WKGBTR,BLART,REFBN,BELNR,GKONT,OBJID,BLDAT,BUDAT,VRGNG,MATNR,USNAM,STOKZ,STFLG,EBELN,ZZASKTX,EBTXT,BLTXT,EBELP,WERKS,ORGVG,AWTYP,AWORG_REV,PBUKRS,BUKRS,REFBK,BELTP,UOB_TXT
600,1711,2019,2019110120191130,0000028547,011,3023310004,S6500PRD,USD,0,0,0,0,-8.11,-8.11,-27.22,-8.11,-8.11,-8.11,-27.22,PEN,USD,,0,USD,-8.11,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028548,011,3023310004,S6500PRD,USD,0,0,0,0,-9.82,-9.82,-32.96,-9.82,-9.82,-9.82,-32.96,PEN,USD,,0,USD,-9.82,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028549,011,3023310004,S6500PRD,USD,0,0,0,0,-8.01,-8.01,-26.9,-8.01,-8.01,-8.01,-26.9,PEN,USD,,0,USD,-8.01,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028550,011,3023310004,S6500PRD,USD,0,0,0,0,-9.53,-9.53,-31.97,-9.53,-9.53,-9.53,-31.97,PEN,USD,,0,USD,-9.53,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028551,011,3023310004,S6500PRD,USD,0,0,0,0,-9.68,-9.68,-32.5,-9.68,-9.68,-9.68,-32.5,PEN,USD,,0,USD,-9.68,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028552,011,3023310004,S6500PRD,USD,0,0,0,0,-10.08,-10.08,-33.82,-10.08,-10.08,-10.08,-33.82,PEN,USD,,0,USD,-10.08,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028553,011,3023310004,S6500PRD,USD,0,0,0,0,-11.2,-11.2,-37.57,-11.2,-11.2,-11.2,-37.57,PEN,USD,,0,USD,-11.2,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028554,011,3023310004,S6500PRD,USD,0,0,0,0,-11.61,-11.61,-38.96,-11.61,-11.61,-11.61,-38.96,PEN,USD,,0,USD,-11.61,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028555,011,3023310004,S6500PRD,USD,0,0,0,0,-11.63,-11.63,-39.02,-11.63,-11.63,-11.63,-39.02,PEN,USD,,0,USD,-11.63,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028556,011,3023310004,S6500PRD,USD,0,0,0,0,-10.73,-10.73,-35.99,-10.73,-10.73,-10.73,-35.99,PEN,USD,,0,USD,-10.73,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028557,011,3023310004,S6500PRD,USD,0,0,0,0,-11.35,-11.35,-38.1,-11.35,-11.35,-11.35,-38.1,PEN,USD,,0,USD,-11.35,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028558,011,3023310004,S6500PRD,USD,0,0,0,0,-11.83,-11.83,-39.68,-11.83,-11.83,-11.83,-39.68,PEN,USD,,0,USD,-11.83,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028559,011,3023310004,S6500PRD,USD,0,0,0,0,-11.88,-11.88,-39.88,-11.88,-11.88,-11.88,-39.88,PEN,USD,,0,USD,-11.88,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028560,011,3023310004,S6500PRD,USD,0,0,0,0,-14.34,-14.34,-48.12,-14.34,-14.34,-14.34,-48.12,PEN,USD,,0,USD,-14.34,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028561,011,3023310004,S6500PRD,USD,0,0,0,0,-8.71,-8.71,-29.08,-8.71,-8.71,-8.71,-29.08,PEN,USD,,0,USD,-8.71,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028562,011,3023310004,S6800PRD,USD,0,0,0,0,-1.15,-1.15,-3.31,-1.15,-1.15,-1.15,-3.31,PEN,USD,,0,USD,-1.15,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
600,1711,2019,2019110120191130,0000028563,011,3023310004,S6800PRD,USD,0,0,0,0,-1.28,-1.28,-3.7,-1.28,-1.28,-1.28,-3.7,PEN,USD,,0,USD,-1.28,,,1000018137,,3023310004,2019-12-04,2019-11-30,RKIU,,RYEPEZ,X,,,,,EM_FLO20190101Emisor Flota,00000,,,,,,,,1,
