MANDT,EKGRP,EKNAM,EBELN,EBELP,PSTYP,AEDAT_C,AEDAT_D,BATXT,BEDAT,ANIO,MES,EKORG,LIFNR,NAMEL,NAME1,ANTICIPO,KNTTP,EPSTP,PTEXT,BKLAS,BKBEZ,MTART,MATNR,TXZ01,MENGE,MEINS,DISGR,EINDT,NETPR,WAERS,NETWR,WKURS,PEINH,BPRME,MATKL,WGBEZ,ZTAG1,EKGRP2,EKNAM2,KTWRT2,BUKRS,BUTXT,WERKS,LGORT,ERNAM,ZTERM,F_PAGO,ELIKZ,CANTEM,UO,LOCALIDAD,BEDNR,BANFN,BNFPO,BADAT,LFDAT,ZAFNAM,ERNAM_EBAN,WAERS_EBAN,PREIS,PREIS_USD,KBETR,KBETR_DESC,ZZPAIS_ORIG,ZZFECHA_EMBARQ,ZZFECHA_ARRIBO,SUBMI,ZZMEDIO_TRANSP,ZZAGENTE_CARGA,ZZNUMERO_DOC_EMB,ZZNUMERO_DUA,ZZAGENTE_ADUANA,ZZNUMERO_APL_SEG,ZZPEDIDO_CLIENTE,ZTIPANTIC,ZZTARIFA,TEXT_F23,ZZREASON_REJECT,ZZESTAPROV,ZZMOTREPROV,ZZAG_ADUANA_DESC,REVNO,ZZESTAPROV_DESC,ZZMOTREPROV_DESC,RETENIDO,MED_TRANSP,DESCUENTO_SERV,BRTWR,BRTWR2,FRGGR_S,FRGST,FRGXT_S,FRGKZ,FRGDT,AFNAM,INCO1,ZAHORRO,NETWR_DOL,BUDAT,ANIOEM,MESEM,FRGGR_P,FRGSX,FRGXT_P,COD_LIB,STATU,BSART,FRGC1_S,FRGC2_S,FRGC3_S,FRGC4_S,FRGC5_S,FRGC6_S,FRGC7_S,FRGC8_S,DLIB1_S,DLIB2_S,DLIB3_S,DLIB4_S,DLIB5_S,DLIB6_S,DLIB7_S,DLIB8_S,DLIB_S,FRGC1_P,LIBOC1,FRGC2_P,LIBOC2,FRGC3_P,LIBOC3,FRGC4_P,LIBOC4,FRGC5_P,LIBOC5,FRGC6_P,LIBOC6,FRGC7_P,LIBOC7,FRGC8_P,LIBOC8,FE_LIB1,DLIB1_P,DIAS_PEND,FE_LIB2,DLIB2_P,FE_LIB3,DLIB3_P,FE_LIB4,DLIB4_P,FE_LIB5,DLIB5_P,FE_LIB6,DLIB6_P,FE_LIB7,DLIB7_P,FE_LIB8,DLIB8_P,FE_LIBU,FRGET,DLIB_P,OBJID,EFFWR2,ABSGR_TXT,ABSGR,LOEKZ,OID_EXTBOL,KONNR,KTPNR,KDATB,KDATE,FRGKE,ZZREQCONT,ZZTIECONT,ZZNCONTRA,ZZFECINIC,ZZFECFIN,ZZDIASEST,ZZCONTPER,ZZRCAFI,ZZTCAFI,ZZIDCAR,ZZFEINI,ZZFEFIN,F_MAIL,H_MAIL,TXT_CB,TXT_PS,STAT_ENV,ZCATEGORIA,PROCSTAT,FECING,MENING,WRBTR,WRBTR2,WRBTR3
600,T81,Comp.JVallejos    ,5010249245,00010,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2010024471,TECNIFAJAS S.A.,MATARANI,,,,Normal,3040,Repuestos,ZCOM,000000000030000780,GRASA LGHP 2 SKF CARTUCHO 400GR,35,ST,UIN,2026-01-04T00:00:00.000Z,21.23,USD,743.05,3.372,1,ST,COM-LUB02,GRASAS,090,T81,Comp.JVallejos,743.05,TA10,Tecnológica de Alimentos,TMAT,L001,ADMIJOB,Z090,Plazo 90  días,,0,,,PLANTA,1039441903,00010,2025-12-19T00:00:00.000Z,2025-12-26T00:00:00.000Z,BODAR,LRAFAEL,PEN,68.98,20.46,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,TMAT,,,,,,Pendiente,,,,0,743.05,743.05,TA,T9,TMAT_Mat Man Planif,3,0001-01-01T00:00:00.000Z,TMR1,,0,743.05,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,M2,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,743.05,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,SOLICITADO POR EL ING. YONEL SAMBRANO RESERVA:3907,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T55,RPA Compras C TASA,5010249246,00010,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2010045649,POLIMETALES S.A.C.,CHIMBOTE,,,,Normal,3070,Suministros diversos,ZAUX,000000000031014507,"TUBO FEN.SCH40 SOLD.2""X6MT",12,M,ART,2026-01-04T00:00:00.000Z,29.35,USD,58.7,3.372,6,M,AUX-FER12,TUBERIAS,060,T55,RPA Compras C TASA,234.8,TA10,Tecnológica de Alimentos,TCHI,L001,ADMIJOB,Z060,Plazo 60  días,,0,,,PESCA,1039441863,00020,2025-12-19T00:00:00.000Z,2026-01-15T00:00:00.000Z,FSUAREZ,JADANAQUE,PEN,24,7.12,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T023 / T021 / T022 / T414,,,,,,Pendiente,,,,0,58.7,58.7,TA,F2,Flota Plan Mantto,3,0001-01-01T00:00:00.000Z,TMF2,,0,58.7,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,JE,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,58.7,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,ODM:M758407-T23 SA_3A Mtto Sist. de Achique TUBO F,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T55,RPA Compras C TASA,5010249246,00020,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2010045649,POLIMETALES S.A.C.,CHIMBOTE,,,,Normal,3070,Suministros diversos,ZAUX,000000000031014507,"TUBO FEN.SCH40 SOLD.2""X6MT",12,M,ART,2026-01-04T00:00:00.000Z,29.35,USD,58.7,3.372,6,M,AUX-FER12,TUBERIAS,060,T55,RPA Compras C TASA,0,TA10,Tecnológica de Alimentos,TCHI,L001,ADMIJOB,Z060,Plazo 60  días,,0,,,PESCA,1039441863,00040,2025-12-19T00:00:00.000Z,2026-01-15T00:00:00.000Z,FSUAREZ,JADANAQUE,PEN,24,7.12,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T023 / T021 / T022 / T414,,,,,,Pendiente,,,,0,58.7,58.7,TA,F2,Flota Plan Mantto,3,0001-01-01T00:00:00.000Z,TMF2,,0,58.7,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,JE,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,58.7,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,ODM:M758297-T21 SA_3A Mtto Sist. de Achique TUBO F,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T55,RPA Compras C TASA,5010249246,00030,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2010045649,POLIMETALES S.A.C.,CHIMBOTE,,,,Normal,3070,Suministros diversos,ZAUX,000000000031014507,"TUBO FEN.SCH40 SOLD.2""X6MT",12,M,ART,2026-01-04T00:00:00.000Z,29.35,USD,58.7,3.372,6,M,AUX-FER12,TUBERIAS,060,T55,RPA Compras C TASA,0,TA10,Tecnológica de Alimentos,TCHI,L001,ADMIJOB,Z060,Plazo 60  días,,0,,,PESCA,1039441863,00060,2025-12-19T00:00:00.000Z,2026-01-15T00:00:00.000Z,FSUAREZ,JADANAQUE,PEN,24,7.12,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T023 / T021 / T022 / T414,,,,,,Pendiente,,,,0,58.7,58.7,TA,F2,Flota Plan Mantto,3,0001-01-01T00:00:00.000Z,TMF2,,0,58.7,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,JE,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,58.7,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,ODM:M758145-T22 SA_3A Mtto Sist. de Achique TUBO F,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T55,RPA Compras C TASA,5010249246,00040,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2010045649,POLIMETALES S.A.C.,CHIMBOTE,,,,Normal,3070,Suministros diversos,ZAUX,000000000031014507,"TUBO FEN.SCH40 SOLD.2""X6MT",12,M,ART,2026-01-04T00:00:00.000Z,29.35,USD,58.7,3.372,6,M,AUX-FER12,TUBERIAS,060,T55,RPA Compras C TASA,0,TA10,Tecnológica de Alimentos,TCHI,L001,ADMIJOB,Z060,Plazo 60  días,,0,,,PESCA,1039441863,00080,2025-12-19T00:00:00.000Z,2026-01-15T00:00:00.000Z,FSUAREZ,JADANAQUE,PEN,24,7.12,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T023 / T021 / T022 / T414,,,,,,Pendiente,,,,0,58.7,58.7,TA,F2,Flota Plan Mantto,3,0001-01-01T00:00:00.000Z,TMF2,,0,58.7,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,JE,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,58.7,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,ODM:M757927-T414 SA_3A Mtto Sist. de Achique TUBO,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T75,Comp.GEscobar     ,5010249247,00010,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2012771517,IMPORTADORA QUEIROLO E.I.R.L.,PISCO SUR,,,,Normal,3070,Suministros diversos,ZDIV,000000000032023640,GUANTE CUERO BADANA AS010 BLANCO T/9,10,PAR,BRT,2026-01-04T00:00:00.000Z,9.5,USD,95,3.372,1,PAR,DIV-SEG02,EPPS,020,T75,Comp.GEscobar,95,TA10,Tecnológica de Alimentos,TPSU,L001,ADMIJOB,Z020,Plazo 20  dias,,0,,,,0070234216,00010,2025-12-18T00:00:00.000Z,2025-12-19T00:00:00.000Z,,T621,PEN,26.74,7.93,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T023 / T021 / T022 / T414,,,,,,Pendiente,,,,0,95,95,TA,I5,TPSU_Pis  PlanMat JA,3,0001-01-01T00:00:00.000Z,T621,,0,95,0001-01-01T00:00:00.000Z,0000,00,TJ,71,Logíst Sr.< 10K$,"L1,GL",9,NB,ZU,,,,,,,,1,0,0,0,0,0,0,0,,L1,AMEJIA,GL,FTHORNE,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,AMEJIA,95,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T80,Comp.VUribe       ,5010249248,00010,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2046725018,NPI PERU S.A.C.,CHIMBOTE,,,,Normal,3040,Repuestos,ZRPG,000000000033030687,CABLE P/SENSOR DE FLUJO TURCK (KB4T-2),3,ST,UIN,2026-01-04T00:00:00.000Z,20,USD,60,3.372,1,ST,RPG-ELC04,CABLES,007,T80,Comp.VUribe,60,TA10,Tecnológica de Alimentos,TCHI,L001,ADMIJOB,Z007,Plazo 7  días,,0,,,PESCA,1039430884,00050,2025-12-17T00:00:00.000Z,2026-01-19T00:00:00.000Z,JMELENDEZ,LRODRIGUEZT,PEN,67.5,20.01,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T059,,,,,,Pendiente,,,,0,60,60,TA,F2,Flota Plan Mantto,3,0001-01-01T00:00:00.000Z,TMF2,,0,60,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,JE,,,,,,,,2,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,60,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,ODM:M757938-T59 SF Cambio de sensores de flujo TUR,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T55,RPA Compras C TASA,5010249249,00010,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2050869903,MCCO INTERNATIONAL BUSINESS S.A.C.,PUCUSANA PLANTA OMEGA,,,,Normal,3070,Suministros diversos,ZDIV,000000000032022279,"CINTA AMARILLA 3/4""M4C750-595-YL-B BRADY",4,ROL,ART,2026-01-04T00:00:00.000Z,47.59,USD,190.36,3.372,1,ROL,DIV-OFI03,SUMINISTROS COMPUTO,030,T55,RPA Compras C TASA,190.36,TA10,Tecnológica de Alimentos,TPUC,L001,ADMIJOB,Z030,Plazo 30  días.,,0,,,,0070234321,00010,2025-12-19T00:00:00.000Z,2025-12-19T00:00:00.000Z,,T621,PEN,162.72,48.27,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T059,,,,,,Pendiente,,,,0,190.36,190.36,TA,O5,TPUC_Ome  PlanMat JA,3,0001-01-01T00:00:00.000Z,T621,,0,190.36,0001-01-01T00:00:00.000Z,0000,00,TJ,U1,Logíst Sr.< 10K$,"L3,GL",9,NB,Z3,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GL,FTHORNE,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,190.36,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T81,Comp.JVallejos    ,5010249250,00010,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2060328994,ACENAVIR S.A.C,CHIMBOTE,,,,Normal,3070,Suministros diversos,ZAUX,000000000031014575,"TUBO SCH40 5""",12,M,ART,2026-01-04T00:00:00.000Z,105,PEN,1260,1,1,M,AUX-FER12,TUBERIAS,020,T81,Comp.JVallejos,1494.68,TA10,Tecnológica de Alimentos,TCHI,L001,ADMIJOB,Z020,Plazo 20  dias,,0,,,PESCA,1039441863,00090,2025-12-19T00:00:00.000Z,2026-01-15T00:00:00.000Z,FSUAREZ,JADANAQUE,PEN,84.88,25.18,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T057 / T058 / T059 / T052,,,,,,Pendiente,,,,0,1260,373.67,TA,F2,Flota Plan Mantto,3,0001-01-01T00:00:00.000Z,TMF2,,0,373.67,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,JE,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,373.67,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,ODM:M757244-T57 SA_3A Mtto Sist. de Achique TUBO S,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
600,T81,Comp.JVallejos    ,5010249250,00020,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,Pedido estándar,2025-12-20T00:00:00.000Z,2025,12,1400,2060328994,ACENAVIR S.A.C,CHIMBOTE,,,,Normal,3070,Suministros diversos,ZAUX,000000000031014575,"TUBO SCH40 5""",12,M,ART,2026-01-04T00:00:00.000Z,105,PEN,1260,1,1,M,AUX-FER12,TUBERIAS,020,T81,Comp.JVallejos,0,TA10,Tecnológica de Alimentos,TCHI,L001,ADMIJOB,Z020,Plazo 20  dias,,0,,,PESCA,1039441863,00110,2025-12-19T00:00:00.000Z,2026-01-15T00:00:00.000Z,FSUAREZ,JADANAQUE,PEN,84.88,25.18,0,0,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,12 MESES,,,,,,,,,,T057 / T058 / T059 / T052,,,,,,Pendiente,,,,0,1260,373.67,TA,F2,Flota Plan Mantto,3,0001-01-01T00:00:00.000Z,TMF2,,0,373.67,0001-01-01T00:00:00.000Z,0000,00,TJ,UQ,Op. Mant < 10K$,"L3,GM",9,NB,JE,,,,,,,,0,0,0,0,0,0,0,0,,L3,RDUFFOO,GM,EDELASCASAS,,,,,,,,,,,,,0001-01-01T00:00:00.000Z,0,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,0,0001-01-01T00:00:00.000Z,Pendiente Liberación,,RDUFFOO,373.67,,00,,,,00000,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00000,,,,,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,ODM:M757470-T58 SA_3A Mtto Sist. de Achique TUBO S,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,0001-01-01T00:00:00.000Z,0,0,0,0
