EBELN,EBELP,LOEKZ,PSTYP,KNTTP,PTEXT,FRGET,STATU,USERNAME,FRGC,FE_LIB,DELIB,LIB_ORDER
5010064619,00150,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00140,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00130,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00120,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00110,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00100,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00090,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00080,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00070,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00060,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00050,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00040,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00030,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00020,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010064619,00010,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010063161,00360,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00460,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00450,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00440,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00430,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00420,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00410,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00400,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00390,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00380,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00370,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00360,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00350,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00340,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00330,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00320,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065113,00310,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00290,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00280,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00270,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00260,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00250,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00240,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00230,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00220,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00130,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00120,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00110,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00100,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00090,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00080,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00070,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00060,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00050,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
5010065301,00040,,F,F,Servicio,Pendiente Liberación,9,YDIAZ,LB,2021-07-13T00:00:00.000Z,0,2
