MANDT,EBELN,EBELP,EXTROW,NROSERV,SERV_CAT,SERV_FAM,SERV_SUBFAM,EKGRP,EKNAM,PSTYP,BATXT,BEDAT,LIFNR,NAMEL,NAME1,ANTICIPO,KNTTP,PTEXT,BKLAS,BKBEZ,MATNR,TXZ01,MENGE,MEINS,EINDT,NETPR,WAERS,NETWR,WKURS,PEINH,MATKL,WGBEZ,ZTAG1,EKGRP2,EKNAM2,KTWRT2,BUKRS,BUTXT,WERKS,LGORT,ERNAM,ZTERM,F_PAGO,BEDNR,BANFN,BNFPO,BADAT,LFDAT,ZAFNAM,ERNAM_EBAN,WAERS_EBAN,PREIS,PREIS_USD,KBETR,KBETR_DESC,ZZPAIS_ORIG,ZZFECHA_EMBARQ,ZZFECHA_ARRIBO,SUBMI,ZZMEDIO_TRANSP,ZZAGENTE_CARGA,ZZNUMERO_DOC_EMB,ZZNUMERO_DUA,ZZAGENTE_ADUANA,ZZNUMERO_APL_SEG,ZZPEDIDO_CLIENTE,ZTIPANTIC,ZZTARIFA,TEXT_F23,ZZREASON_REJECT,ZZAG_ADUANA_DESC,REVNO,ZZESTAPROV_DESC,ZZMOTREPROV_DESC,RETENIDO,MED_TRANSP,DESCUENTO_SERV,BRTWR,BRTWR2,AFNAM,INCO1,NETWR_DOL,FRGSX,COD_LIB,BSART,FE_LIB1,DIAS_PEND,FE_LIB2,FE_LIB3,FE_LIB4,FE_LIBU,FRGET,OBJID,KONNR,KTPNR,KDATB,KDATE,FRGKE,ZZREQCONT,ZZTIECONT,ZZNCONTRA,ZZFECINIC,ZZFECFIN,ZZDIASEST,ZZCONTPER,ZZRCAFI,ZZTCAFI,ZZIDCAR,ZZFEINI,ZZFEFIN,F_MAIL,H_MAIL,TXT_CB,TXT_PS,STAT_ENV,ZCATEGORIA,PROCSTAT,FECING,MENING,WRBTR,WRBTR2,WRBTR3
600,5010249271,00001,0000000000,,,,,T03,Compras Comercial,F,Pedido marco ZFO,2025-12-20T00:00:00.000Z,2053450962,PICAVANS INTERNATIONAL SOCIEDAD ANO CERRADA,TASA CALLAO NORTE,,U,Servicio,,,,Generación automática - Servicio porte,1,UA,2025-12-15T00:00:00.000Z,1905.9,PEN,1905.9,1,1,,,007,T03,Compras Comercial,565.21,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,1905.9,565.21,,,565.21,,,ZFO,,0,,,,2025-12-20T00:00:00.000Z,,,,00000,,,,,,,,,00000,,,,,,,,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-17T00:00:00.000Z,1,565.21,0,0
600,5010249286,00001,0000000000,,,,,T53,Compras Traslados,F,Pedido marco ZFO,2025-12-20T00:00:00.000Z,2013229171,TRANSPORTES NARANJO S.A.C,TASA CALLAO NORTE,,U,Servicio,,,,Generación automática - Servicio porte,1,UA,2025-12-15T00:00:00.000Z,3977.28,PEN,3977.28,1,1,,,030,T53,Compras Traslados,1179.5,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,3977.28,1179.5,,,1179.5,,,ZFO,,0,,,,2025-12-20T00:00:00.000Z,,,,00000,,,,,,,,,00000,,,,,,,,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-18T00:00:00.000Z,1,1179.5,0,0
600,5060097226,00020,0000000010,QMPRD89101,CALIDAD Y SSOMA,CALIDAD,ANÁLISIS DE CALIDAD,T02,Compras Delegadas,F,Pedido de Cont.Marco,2025-12-20T00:00:00.000Z,2010011434,SGS DEL PERU S.A.C.,MATARANI,,K,Servicio,Z432,Análisis de Remuestreo de,,Servicio análisis HP25000177,1,UA,2025-12-20T00:00:00.000Z,656,PEN,656,1,1,265,Serv. Analisis y cer,060,T79,Comp.MMendoza,0,TA10,Tecnológica de Alimentos,TMAT,,YCHUNGA,Z060,Plazo 60  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,656,194.54,T040,,194.54,20,"GQ,",ZDES,,0,,,,,Pendiente Liberación,LCHAVARRIA,5000001713,00030,,,0,,,,,,00000,,,,,,,,00:00:00,ANÁLISIS: QUÍMICOS Y MICROBIOLÓGICOS SERVICIO ANÁL,,POR ENVIAR,EST-Compra,03 - EN LIBERACIÓN,,0,0,0,0
600,5010249265,00001,0000000000,,,,,T03,Compras Comercial,F,Pedido marco ZFO,2025-12-20T00:00:00.000Z,2013229171,TRANSPORTES NARANJO S.A.C,TASA CALLAO NORTE,,U,Servicio,,,,Generación automática - Servicio porte,1,UA,2025-12-15T00:00:00.000Z,3203.48,PEN,3203.48,1,1,,,030,T03,Compras Comercial,950.02,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,3203.48,950.02,,,950.02,,,ZFO,,0,,,,2025-12-20T00:00:00.000Z,,,,00000,,,,,,,,,00000,,,,,,,,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-20T00:00:00.000Z,1,950.02,0,0
600,5010249273,00001,0000000000,,,,,T53,Compras Traslados,F,Pedido marco ZFO,2025-12-20T00:00:00.000Z,2013229171,TRANSPORTES NARANJO S.A.C,TASA CALLAO NORTE,,U,Servicio,,,,Generación automática - Servicio porte,1,UA,2025-12-15T00:00:00.000Z,3756.32,PEN,3756.32,1,1,,,030,T53,Compras Traslados,1113.97,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,3756.32,1113.97,,,1113.97,,,ZFO,,0,,,,2025-12-20T00:00:00.000Z,,,,00000,,,,,,,,,00000,,,,,,,,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-17T00:00:00.000Z,1,1113.97,0,0
600,5010249294,00020,0000000000,,MATERIALES DE OPERACIÓN,FERRETERÍA,PEGAMENTOS,T67,Comp.DHinostroza,,Pedido estándar,2025-12-20T00:00:00.000Z,2011612148,PRODUCTORES Y COMERCIANTES ASOCIADOS S .R.L.,CHIMBOTE,,,Normal,3070,Suministros diversos,000000000031013843,SILICONA CARTUCHO TRANSP.,48,ST,2025-12-20T00:00:00.000Z,9,PEN,432,1,1,AUX-FER02,"ADHESIVOS,SELLA,CINT",020,T67,Comp.DHinostroza,0,TA10,Tecnológica de Alimentos,TCHI,L001,DHINOSTROZA,Z020,Plazo 20  dias,,0070233504,00010,2025-12-06T00:00:00.000Z,2025-12-20T00:00:00.000Z,,T621,PEN,21.66,6.43,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,432,128.11,T621,,128.11,A1,"LT,GL",NB,,0,,,,,Pendiente Liberación,JHDELGADO,,00000,,,0,,,,,,00000,,,,,,,,00:00:00,***COMPRA DE EMERGENCIA***,,POR ENVIAR,T01-Estánd,03 - EN LIBERACIÓN,,0,0,0,0
600,5030000731,00010,0000000000,,COMBUSTIBLE Y ENERGÍA,COMBUSTIBLES,PETRÓLEO,T85,Comp.Planificación,,Pedido Combustible,2025-12-20T00:00:00.000Z,0000021375,NUMAY SOCIEDAD ANONIMA NUMAY S.A.,MATARANI,,,Normal,3083,Petroleo Bunker / Residua,000000000030000528,PETROLEO INDUSTRIAL NRO.500,50000,GLL,2025-12-20T00:00:00.000Z,7980.21,PEN,399010.5,1,1000,COM-COM01,PETROLEO,015,T85,Comp.Planificación,235921.86,TA10,Tecnológica de Alimentos,TMAT,,FTRUJILLO,Z015,Plazo 15 días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,399010.5,118330.52,T150,,118330.52,P0,"GL,",ZCOM,2025-12-20T00:00:00.000Z,0,,,,2025-12-20T00:00:00.000Z,Liberado total Exsa,,,00000,2025-11-01T00:00:00.000Z,2026-02-11T00:00:00.000Z,8,,,,,,00000,,,,,,,2025-12-20T00:00:00.000Z,13:30:21,,,ENVIADO,,05 - LIBERACIÓN CONCLUIDA,,0,0,0,0
600,5010249288,00001,0000000000,,,,,T53,Compras Traslados,F,Pedido marco ZFO,2025-12-20T00:00:00.000Z,2013229171,TRANSPORTES NARANJO S.A.C,TASA CALLAO NORTE,,U,Servicio,,,,Generación automática - Servicio porte,1,UA,2025-12-15T00:00:00.000Z,3756.32,PEN,3756.32,1,1,,,030,T53,Compras Traslados,1113.97,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,3756.32,1113.97,,,1113.97,,,ZFO,,0,,,,2025-12-20T00:00:00.000Z,,,,00000,,,,,,,,,00000,,,,,,,,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-18T00:00:00.000Z,1,1113.97,0,0
600,5010249260,00001,0000000000,,,,,T53,Compras Traslados,F,Pedido marco ZFO,2025-12-20T00:00:00.000Z,2048122116,EMPRESA DE TRANSPORTES UCEDA SAC,TASA CALLAO NORTE,,U,Servicio,,,,Generación automática - Servicio porte,1,UA,2025-12-15T00:00:00.000Z,3535.36,PEN,3535.36,1,1,,,030,T53,Compras Traslados,1048.45,TA10,Tecnológica de Alimentos,TCNO,,IMALDONADO,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,3535.36,1048.45,,,1048.45,,,ZFO,,0,,,,2025-12-20T00:00:00.000Z,,,,00000,,,,,,,,,00000,,,,,,,,00:00:00,,,POR ENVIAR,,02 - ACTIVO,2025-12-18T00:00:00.000Z,1,1048.45,0,0
600,5060097231,00010,0000000000,,ADMINISTRATIVOS,MATERIALES ADMINISTRATIVOS,CONSUMIBLES DE HABITABILIDAD,T50,Compras Abastecimi,,Pedido de Cont.Marco,2025-12-20T00:00:00.000Z,2053179002,CORPORACION H2O Y DERIVADOS S.A.C.,PISCO SUR,,,Normal,3070,Suministros diversos,000000000032003790,CAJA AGUA ENV.DESCARTABLE 20L,400,ST,2026-01-04T00:00:00.000Z,18.22,PEN,7288,1,1,DIV-HAB01,ALIMENTOS Y BEBIDAS,020,T82,Comp.AContreras,2161.33,TA10,Tecnológica de Alimentos,TPSU,L001,ADMIJOB,Z020,Plazo 20  dias,,0070234245,00010,2025-12-18T00:00:00.000Z,2025-12-22T00:00:00.000Z,,T621,PEN,16.2,4.8,0,0,,,,12 MESES,,,,,,,,,,T058,,,,Pendiente,,,,0,7288,2161.33,T621,,2161.33,P3,"JX,",ZDES,,0,,,,,Pendiente Liberación,BPEREZPALMA,5000001502,00180,,,0,,,,,,00000,,,,,,,,00:00:00,ENTREGAS: Enviar la respuesta a los siguientes cor,,POR ENVIAR,,03 - EN LIBERACIÓN,,0,0,0,0
