MANDT,EBELN,EBELP,EXTROW,NROSERV,SERV_CAT,SERV_FAM,SERV_SUBFAM,EKGRP,EKNAM,PSTYP,BATXT,BEDAT,LIFNR,NAMEL,NAME1,ANTICIPO,KNTTP,PTEXT,BKLAS,BKBEZ,MATNR,TXZ01,MENGE,MEINS,EINDT,NETPR,WAERS,NETWR,WKURS,PEINH,MATKL,WGBEZ,ZTAG1,EKGRP2,EKNAM2,KTWRT2,BUKRS,BUTXT,WERKS,LGORT,ERNAM,ZTERM,F_PAGO,BEDNR,BANFN,BNFPO,BADAT,LFDAT,ZAFNAM,ERNAM_EBAN,WAERS_EBAN,PREIS,PREIS_USD,KBETR,KBETR_DESC,ZZPAIS_ORIG,ZZFECHA_EMBARQ,ZZFECHA_ARRIBO,SUBMI,ZZMEDIO_TRANSP,ZZAGENTE_CARGA,ZZNUMERO_DOC_EMB,ZZNUMERO_DUA,ZZAGENTE_ADUANA,ZZNUMERO_APL_SEG,ZZPEDIDO_CLIENTE,ZTIPANTIC,ZZTARIFA,TEXT_F23,ZZREASON_REJECT,ZZAG_ADUANA_DESC,REVNO,ZZESTAPROV_DESC,ZZMOTREPROV_DESC,RETENIDO,MED_TRANSP,DESCUENTO_SERV,BRTWR,BRTWR2,AFNAM,INCO1,NETWR_DOL,FRGSX,COD_LIB,BSART,FE_LIB1,DIAS_PEND,FE_LIB2,FE_LIB3,FE_LIB4,FE_LIBU,FRGET,OBJID,KONNR,KTPNR,KDATB,KDATE,FRGKE,ZZREQCONT,ZZTIECONT,ZZNCONTRA,ZZFECINIC,ZZFECFIN,ZZDIASEST,ZZCONTPER,ZZRCAFI,ZZTCAFI,ZZIDCAR,ZZFEINI,ZZFEFIN,F_MAIL,H_MAIL,TXT_CB,TXT_PS,STAT_ENV,ZCATEGORIA,PROCSTAT,FECING,MENING,WRBTR,WRBTR2,WRBTR3
600,4500091445,00010,0000000000,,,,,T52,Compras PPTT,F,Ped. Mant. Correctiv,20220616,0000042146,ARENADO Y GRANALLADO METAL S.A.C,PUCUSANA PLANTA OMEGA,,K,Servicio,,,,sellado de huecos I TPUC,1,UA,20220628,8180,PEN,8180,1,1,268,Serv. Administrativo,007,T52,Compras PPTT,2192.44,TA10,Tecnológica de Alimentos,TPUC,,MVERASTEGUI,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,8180,2192.44,T030,,2192.44,,,ZMB1,,0,,,,20220616,,,,00000,,,,,,,,,00000,,,,,,,,000000,,Servicio de sellado de huecos del techo de almacén,POR ENVIAR,,02 - ACTIVO,,0,0,0,0
600,4500091445,00010,0000000010,000000000001000047,,,,T52,Compras PPTT,F,Ped. Mant. Correctiv,20220616,0000042146,ARENADO Y GRANALLADO METAL S.A.C,PUCUSANA PLANTA OMEGA,,K,Servicio,Z075,Mant Repar Otros,,sellado de huecos I TPUC,1,UA,20220628,8180,PEN,8180,1,1,268,Serv. Administrativo,030,T52,Compras PPTT,2192.44,TA10,Tecnológica de Alimentos,TPUC,,MVERASTEGUI,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,Doc Retenido,,0,8180,2192.44,T030,,2192.44,,,ZMB1,,0,,,,,,,,00000,,,,,,,,,00000,,,,,,,,000000,,Servicio de sellado de huecos del techo de almacén,POR ENVIAR,,ZZ - RETENIDO,,0,0,0,0
600,4500091622,00010,0000000000,,,,,T52,Compras PPTT,F,Ped. Mant. Correctiv,20220623,0000042146,ARENADO Y GRANALLADO METAL S.A.C,PUCUSANA PLANTA OMEGA,,K,Servicio,,,,sellado de huecos I TPUC,1,UA,20220630,8998,PEN,8998,1,1,268,Serv. Administrativo,030,T52,Compras PPTT,2411.69,TA10,Tecnológica de Alimentos,TPUC,,MVERASTEGUI,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,Doc Retenido,,0,8998,2411.69,T150,,2411.69,,,ZMB1,,0,,,,,,,,00000,,,,,,,,,00000,,,,,,,,000000,,,POR ENVIAR,,ZZ - RETENIDO,,0,0,0,0
600,4500091622,00010,0000000010,000000000001000945,PROYECTOS,PROYECTOS,FABR/INSTAL/MONTAJE DE ACTIVOS,T52,Compras PPTT,F,Ped. Mant. Correctiv,20220623,0000042146,ARENADO Y GRANALLADO METAL S.A.C,PUCUSANA PLANTA OMEGA,,K,Servicio,Z387,Instalación y Montaje Enc,,sellado de huecos I TPUC,1,UA,20220630,8998,PEN,8998,1,1,268,Serv. Administrativo,030,T52,Compras PPTT,2411.69,TA10,Tecnológica de Alimentos,TPUC,,MVERASTEGUI,Z030,Plazo 30  días.,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,Doc Retenido,,0,8998,2411.69,T150,,2411.69,,,ZMB1,,0,,,,,,,,00000,,,,,,,,,00000,,,,,,,,000000,,,POR ENVIAR,,ZZ - RETENIDO,,0,0,0,0
600,4500093728,00010,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20230312,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,Pasaje TRUJILLO-LIMA 13.03-Cuadrilla CHD,1,LE,20230718,1188,USD,1188,3.786,1,263,Serv. de Viajes,007,T02,Compras Delegadas,1228.56,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,1188,1188,T001,,1188,02,"BD,",NB,20230719,0,,,,20230719,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20230719,170058,,pasajes aereo de 06 colaboradores / cuadrilla CHD,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20230724,1,1188,1188,0
600,4500093728,00020,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20230312,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,TUUA 13.03 - Cuadrilla CHD,1,UA,20230718,40.56,USD,40.56,3.786,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,40.56,40.56,T001,,40.56,02,"BD,",NB,20230719,0,,,,20230719,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20230719,170058,,TUUA  IMPUESTOS / cuadrilla CHD / Fecha: 13.03.202,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20230724,1,40.56,40.56,0
600,4500096095,00010,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20231117,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,Pasaj LIM/AREQ/LIM 21.11 LIZBETH ROSALES,1,UA,20231117,76,USD,76,3.772,1,263,Serv. de Viajes,007,T02,Compras Delegadas,198.72,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,76,76,T001,,76,02,"BD,",NB,20240124,0,,,,20240124,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240124,191605,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240124,1,76,76,0
600,4500096095,00020,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20231117,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,LIM/AREQ/LIM 21.11 LIZBETH ROSALES-TUUA,1,UA,20240102,18.86,USD,18.86,3.772,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,18.86,18.86,T001,,18.86,02,"BD,",NB,20240124,0,,,,20240124,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240124,191605,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240124,1,18.86,18.86,0
600,4500096095,00030,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20231117,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,Pasaj LIM/AREQ/LIM 29.11 ROCIO SUICO,1,UA,20240102,69,USD,69,3.772,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,69,69,T001,,69,02,"BD,",NB,20240124,0,,,,20240124,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240124,191605,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240124,1,69,69,0
600,4500096095,00040,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20231117,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,LIM/AREQ/LIM 29.11 ROCIO SUICO-TUUA,1,UA,20240102,18.86,USD,18.86,3.772,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,18.86,18.86,T001,,18.86,02,"BD,",NB,20240124,0,,,,20240124,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240124,191605,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240124,1,18.86,18.86,0
