MANDT,ORDTRB,POSIOT,RSNUM,RSPOS,ID_LINEA,ID_LIN_ESC,REG,CTEC,CTRDE,EMBPE,TIPMA,STSOP,EQMAX,DESCR,SISMAX,DESCRS,ERDAT,AEDAT,MODAT,RSNUM_ANT,RSPOS_ANT,CTRDE_ANT,USER_CONTACT,TEXTO_MAT,AENAM,AEZET,SITEID_MAX,AUFNR,VORNR,AUART
600,734963             ,734964             ,0038515838,0001,0000000000000726483,0000000000000000000,,,TVEG,TVEG,COND,1,0000000000000000000000000,,0000000000000000002040302,Tanque de recepcion Diesel B5,2025-11-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,CAJA P/INTERR.EXPLOSION PROOF 3/4'',,00:00:00,PLANTA,,,
600,734963             ,734964             ,0038515838,0002,0000000000000726485,0000000000000000000,,,TVEG,TVEG,COND,1,0000000000000000000000000,,0000000000000000002040302,Tanque de recepcion Diesel B5,2025-11-01T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,INTERR.EXPLOSION PROOF 20A 2POLOS,,00:00:00,PLANTA,,,
600,742901             ,742902             ,0038516034,0001,0000000000000726491,0000000000000000000,,,TAST,TAST,MP,1,0000000000000000000000000,,0000000000000000000010902,Calidad y Medio Ambiente,2025-11-01T00:00:00.000Z,,,0000000000,0000,,CBARRANTES,"DISCO DESBASTE FE.1/4""X7/8""X9""",,00:00:00,ASTILLER,,,
600,722379             ,722380             ,0038516038,0001,0000000000000000000,0000000000000124911,,,TCNO,T071,COND,1,0000000000000000300011233,MOTOR DIESEL 2481 HP @ 1000 RPM,0000000000000000010710301,Motor Principal,2025-11-01T00:00:00.000Z,,,0000000000,0000,,RORODRIGUEZ,ELEM. FILTRO TI/A 2X27/27 PA5600318 CJC,,00:00:00,PESCA,,,
600,742923             ,742924             ,0038516165,0001,0000000000000726514,0000000000000000000,,,TCHI,TCHI,COND,1,0000000000000000300005860,CENTRIFUGA 30000LT/HR,0000000000000000001120401,Centrifuga,2025-11-01T00:00:00.000Z,,,0000000000,0000,,LUSANCHEZ,HEIGHT ADJUSTING RING #539244 02,,00:00:00,PLANTA,,,
600,742910             ,742913             ,0038516041,0001,0000000000000726497,0000000000000000000,,,TCHI,T034,MPA,1,0000000000000000300030511,"SISTEMA DE PROPULSIÓN ( EJE DE 5"",",0000000000000000010340201,Propulsion Principal,2025-11-01T00:00:00.000Z,,,0000000000,0000,,FSUAREZ,GRASA M-MOBILUX EP 2 MOBIL BALDE 35LB,,00:00:00,PESCA,,,
600,738742             ,738743             ,0038516039,0001,0000000000000000000,0000000000000124912,,,TCNO,T044,MP,1,0000000000000000000000000,,0000000000000000000014410,MOTORES AUXILIARES,2025-11-01T00:00:00.000Z,,,0000000000,0000,,RORODRIGUEZ,FILTRO ACEITE DZ118286 JHON DEERE,,00:00:00,PESCA,,,
600,742896             ,742897             ,0038515982,0001,0000000000000726489,0000000000000000000,,,TCHI,T054,COND,1,0000000000000000000000000,,0000000000000000000015406,SISTEMAS HIDRAULICOS,2025-11-01T00:00:00.000Z,,,0000000000,0000,,ACARDENAS,ACEITE NUTO H 68 MOBIL CIL.55GL,,00:00:00,PESCA,,,
600,742901             ,742902             ,0038516034,0002,0000000000000726493,0000000000000000000,,,TAST,TAST,MP,1,0000000000000000000000000,,0000000000000000000010902,Calidad y Medio Ambiente,2025-11-01T00:00:00.000Z,,,0000000000,0000,,CBARRANTES,OXIGENO IND.,,00:00:00,ASTILLER,,,
600,742923             ,742924             ,0038516165,0002,0000000000000726516,0000000000000000000,,,TCHI,TCHI,COND,1,0000000000000000300005860,CENTRIFUGA 30000LT/HR,0000000000000000001120401,Centrifuga,2025-11-01T00:00:00.000Z,,,0000000000,0000,,LUSANCHEZ,GASKET #529628 01,,00:00:00,PLANTA,,,
600,742921             ,742922             ,0038516162,0001,0000000000000726512,0000000000000000000,,,TCHI,T412,MPA,1,0000000000000000000000000,,0000000000000000000141207,SISTEMAS AUXILIARES,2025-11-01T00:00:00.000Z,,,0000000000,0000,,FSUAREZ,GRASA M-MOBILUX EP 2 MOBIL BALDE 35LB,,00:00:00,PESCA,,,
600,737368             ,737369             ,0038516032,0001,0000000000000000000,0000000000000124906,,,TCNO,TCNO,MPA,1,0000000000000000300025385,PURIFICADOR DE HARINA 40TN/HR,0000000000000000001060106,Tamizador #2,2025-11-01T00:00:00.000Z,,,0000000000,0000,,SDELACRUZ,FAJA 5V1180,,00:00:00,PLANTA,,,
600,742905             ,742906             ,0038516035,0001,0000000000000726495,0000000000000000000,,,TCNO,T044,OP,1,0000000000000000000000000,,0000000000000000000014425,OPERACIONES,2025-11-01T00:00:00.000Z,,,0000000000,0000,,YIZAGUIRRE,LUBRICANTE MULTIUSO WD40,,00:00:00,PESCA,,,
600,738733             ,738734             ,0038516037,0001,0000000000000000000,0000000000000124910,,,TCNO,T044,MP,1,0000000000000000300002631,MOTOR DIESEL 1287 HP @ 900 RPM,0000000000000000001440301,Motor Principal,2025-11-01T00:00:00.000Z,,,0000000000,0000,,RORODRIGUEZ,ACEITE M-MOBILGARD 312 MOBIL 55GL,,00:00:00,PESCA,,,
600,730093             ,730094             ,0038516033,0001,0000000000000000000,0000000000000124907,,,TCNO,TCNO,COND,1,0000000000000000300033910,MOTOR ELECTRICO 55KW 1775RPM,0000000000000000001030206,Bombeo de Agua Roja #1,2025-11-01T00:00:00.000Z,,,0000000000,0000,,SDELACRUZ,CHUMACERA PIE P213 - PESADA P/EJE 65MM,,00:00:00,PLANTA,,,
600,737368             ,737369             ,0038515978,0001,0000000000000000000,0000000000000124904,,,TCNO,TCNO,MPA,1,0000000000000000300025385,PURIFICADOR DE HARINA 40TN/HR,0000000000000000001060106,Tamizador #2,2025-11-01T00:00:00.000Z,,,0000000000,0000,,SDELACRUZ,SOLDADURA INOX.AW E308L-16 2.50MM,,00:00:00,PLANTA,,,
600,738742             ,738743             ,0038516039,0002,0000000000000000000,0000000000000124913,,,TCNO,T044,MP,1,0000000000000000000000000,,0000000000000000000014410,MOTORES AUXILIARES,2025-11-01T00:00:00.000Z,,,0000000000,0000,,RORODRIGUEZ,FILTRO AIRE RE502014 JHON DEERE,,00:00:00,PESCA,,,
600,742923             ,742924             ,0038516165,0003,0000000000000726518,0000000000000000000,,,TCHI,TCHI,COND,1,0000000000000000300005860,CENTRIFUGA 30000LT/HR,0000000000000000001120401,Centrifuga,2025-11-01T00:00:00.000Z,,,0000000000,0000,,LUSANCHEZ,O-RING #223412 47,,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515004,0001,0000000000000000000,0000000000000124810,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"TUERCA INOX.1/4""",,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515004,0002,0000000000000000000,0000000000000124811,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,SOLDADURA INOX.AW E308L-16 2.50MM,,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515004,0003,0000000000000000000,0000000000000124812,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"DISCO CORTE INOX.1/16""X7/8""X4 1/2""",,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515004,0004,0000000000000000000,0000000000000124813,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,SILICONA CARTUCHO TRANSP.,,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515004,0005,0000000000000000000,0000000000000124814,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"LIJA CIRC.NRO.40  Ø4 1/2""",,00:00:00,PLANTA,,,
600,731190             ,731191             ,0038515005,0001,0000000000000000000,0000000000000124815,,,TCNO,TCNO,COND,1,0000000000000000000000000,,0000000000000000001031604,Separadora Ambiental #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,SDELACRUZ,"EMPAQ.JEBE Y LONA 1/8""X1MT",,00:00:00,PLANTA,,,
600,726701             ,726702             ,0038515007,0001,0000000000000000000,0000000000000124816,,,TVEG,TVEG,MP,1,0000000000000000000000000,,0000000000000000000021103,Balanza de Ensaque y Pesaje,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,CONTC. 32A AC3 BOB. 220V 60HZ,,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515008,0001,0000000000000000000,0000000000000124817,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,CINTA AISLANTE NEGRA 600V-33+ 3M,,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515011,0001,0000000000000000000,0000000000000124818,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"CINTA AUTOVULCANIZANTE 3/4""X30X0.030""",,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515011,0002,0000000000000000000,0000000000000124819,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,CINTA AISLANTE NEGRA 600V-33+ 3M,,00:00:00,PLANTA,,,
600,720184             ,720185             ,0038515011,0003,0000000000000000000,0000000000000124820,,,TPSU,TPSU,MP,1,0000000000000000300008616,CALDERO PIROTUBULAR 900BTU,0000000000000000002010104,Caldero #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,SILICONA CARTUCHO TRANSP.,,00:00:00,PLANTA,,,
600,730657             ,730658             ,0038515014,0001,0000000000000000000,0000000000000124821,,,TCHI,TCHI,COND,1,0000000000000000400030787,"BOMBA CAVIDAD PROGRESIVA _""X_""; _M3/HR",0000000000000000001030603,Bomba de Espuma de DAFs #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,LUSANCHEZ,PERMATEX,,00:00:00,PLANTA,,,
600,730657             ,730658             ,0038515014,0002,0000000000000000000,0000000000000124823,,,TCHI,TCHI,COND,1,0000000000000000400030787,"BOMBA CAVIDAD PROGRESIVA _""X_""; _M3/HR",0000000000000000001030603,Bomba de Espuma de DAFs #2,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,LUSANCHEZ,"CINTA TEFL.1/2""",,00:00:00,PLANTA,,,
600,726404             ,726405             ,0038515015,0001,0000000000000000000,0000000000000124822,,,TPSU,TPSU,MP,1,0000000000000000400034240,MOTOR ELECTRICO 20HP,0000000000000000002010113,Bomba de Agua de Caldero #4,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"PERNO HEX.INOX.1/4""X1""",,00:00:00,PLANTA,,,
600,726404             ,726405             ,0038515015,0002,0000000000000000000,0000000000000124824,,,TPSU,TPSU,MP,1,0000000000000000400034240,MOTOR ELECTRICO 20HP,0000000000000000002010113,Bomba de Agua de Caldero #4,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"TUERCA INOX.1/4""",,00:00:00,PLANTA,,,
600,720170             ,720171             ,0038515016,0001,0000000000000000000,0000000000000124826,,,TPSU,TPSU,MP,1,0000000000000000300008431,VENTILADOR CENTRIFUGO 6000CFM - 1.28MØX0,0000000000000000001070202,Ventilador #2-Transp.Neumático,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,SOLDADURA CELLOCORD AP E6011 3.25MM,,00:00:00,PLANTA,,,
600,720170             ,720171             ,0038515016,0002,0000000000000000000,0000000000000124827,,,TPSU,TPSU,MP,1,0000000000000000300008431,VENTILADOR CENTRIFUGO 6000CFM - 1.28MØX0,0000000000000000001070202,Ventilador #2-Transp.Neumático,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,SOLDADURA SUPERCITO E7018 2.50MM 25KG,,00:00:00,PLANTA,,,
600,720170             ,720171             ,0038515016,0003,0000000000000000000,0000000000000124829,,,TPSU,TPSU,MP,1,0000000000000000300008431,VENTILADOR CENTRIFUGO 6000CFM - 1.28MØX0,0000000000000000001070202,Ventilador #2-Transp.Neumático,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"DISCO CORTE INOX.1/16""X7/8""X4 1/2""",,00:00:00,PLANTA,,,
600,720170             ,720171             ,0038515016,0004,0000000000000000000,0000000000000124830,,,TPSU,TPSU,MP,1,0000000000000000300008431,VENTILADOR CENTRIFUGO 6000CFM - 1.28MØX0,0000000000000000001070202,Ventilador #2-Transp.Neumático,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"DISCO DESBASTE INOX.1/4""X7/8""X 4 1/2""",,00:00:00,PLANTA,,,
600,720170             ,720171             ,0038515016,0005,0000000000000000000,0000000000000124831,,,TPSU,TPSU,MP,1,0000000000000000300008431,VENTILADOR CENTRIFUGO 6000CFM - 1.28MØX0,0000000000000000001070202,Ventilador #2-Transp.Neumático,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,"DISCO CORTE 7/64""X1""X14""",,00:00:00,PLANTA,,,
600,720170             ,720171             ,0038515016,0006,0000000000000000000,0000000000000124833,,,TPSU,TPSU,MP,1,0000000000000000300008431,VENTILADOR CENTRIFUGO 6000CFM - 1.28MØX0,0000000000000000001070202,Ventilador #2-Transp.Neumático,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,TIZA P/MARCAR METALES (CALDERERO),,00:00:00,PLANTA,,,
600,738968             ,738969             ,0038515018,0001,0000000000000000000,0000000000000124828,,,TCHI,TCHI,MPA,1,0000000000000000400036623,"BOMBA CENTRIFUGA 12""X10""; 1000M3/HR",0000000000000000001100503,Bomba de Agua de Mar #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,LUSANCHEZ,"TUERCA INOX.1/2""",,00:00:00,PLANTA,,,
600,738968             ,738969             ,0038515018,0002,0000000000000000000,0000000000000124832,,,TCHI,TCHI,MPA,1,0000000000000000400036623,"BOMBA CENTRIFUGA 12""X10""; 1000M3/HR",0000000000000000001100503,Bomba de Agua de Mar #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,LUSANCHEZ,"ANILLO PLANO INOX.1/2""",,00:00:00,PLANTA,,,
600,738968             ,738969             ,0038515018,0003,0000000000000000000,0000000000000124834,,,TCHI,TCHI,MPA,1,0000000000000000400036623,"BOMBA CENTRIFUGA 12""X10""; 1000M3/HR",0000000000000000001100503,Bomba de Agua de Mar #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,LUSANCHEZ,"ANILLO PRES.INOX.1/2""",,00:00:00,PLANTA,,,
600,742722             ,742723             ,0038515020,0001,0000000000000000000,0000000000000124835,,,TCHI,TCHI,COND,1,0000000000000000300023276,COCINADOR DE PESCADO 50TPH # 4,0000000000000000001040205,Cocina #4,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,LUSANCHEZ,"DISCO CORTE FE.0.04""X7/8""X4 1/2""",,00:00:00,PLANTA,,,
600,720170             ,720171             ,0038515024,0004,0000000000000000000,0000000000000124849,,,TPSU,TPSU,MP,1,0000000000000000300008431,VENTILADOR CENTRIFUGO 6000CFM - 1.28MØX0,0000000000000000001070202,Ventilador #2-Transp.Neumático,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,JSALAS,CORRECTOR LIQUID PAPER (TIPO LAPICERO),,00:00:00,PLANTA,,,
600,734965             ,734966             ,0038515070,0001,0000000000000000000,0000000000000124846,,,TVEG,TVEG,COND,1,0000000000000000300020433,"BOMBA DE ENGRANAJES 4 1/2""X4 1/2""",0000000000000000002040314,Bomba de Despacho de R500 #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,"CODO 90° SCH40 SOLD.3""",,00:00:00,PLANTA,,,
600,734965             ,734966             ,0038515070,0002,0000000000000000000,0000000000000124850,,,TVEG,TVEG,COND,1,0000000000000000300020433,"BOMBA DE ENGRANAJES 4 1/2""X4 1/2""",0000000000000000002040314,Bomba de Despacho de R500 #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,"PERNO HEX.G5 5/8""X2""",,00:00:00,PLANTA,,,
600,734965             ,734966             ,0038515070,0003,0000000000000000000,0000000000000124851,,,TVEG,TVEG,COND,1,0000000000000000300020433,"BOMBA DE ENGRANAJES 4 1/2""X4 1/2""",0000000000000000002040314,Bomba de Despacho de R500 #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,"TUERCA G5 5/8""",,00:00:00,PLANTA,,,
600,734965             ,734966             ,0038515070,0004,0000000000000000000,0000000000000124852,,,TVEG,TVEG,COND,1,0000000000000000300020433,"BOMBA DE ENGRANAJES 4 1/2""X4 1/2""",0000000000000000002040314,Bomba de Despacho de R500 #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,"ANILLO PLANO G5 5/8""",,00:00:00,PLANTA,,,
600,734965             ,734966             ,0038515070,0005,0000000000000000000,0000000000000124853,,,TVEG,TVEG,COND,1,0000000000000000300020433,"BOMBA DE ENGRANAJES 4 1/2""X4 1/2""",0000000000000000002040314,Bomba de Despacho de R500 #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,"ANILLO PRES.INOX.5/8""",,00:00:00,PLANTA,,,
600,734965             ,734966             ,0038515070,0006,0000000000000000000,0000000000000124854,,,TVEG,TVEG,COND,1,0000000000000000300020433,"BOMBA DE ENGRANAJES 4 1/2""X4 1/2""",0000000000000000002040314,Bomba de Despacho de R500 #1,2025-10-31T00:00:00.000Z,0001-01-01T00:00:00.000Z,,0000000000,0000,,AORTIZ,"PERNO HEX.INOX.5/8""X3""",,00:00:00,PLANTA,,,
