MANDT,ORDTRB,POSIOT,RSNUM,RSPOS,ID_LINEA,REG,CTEC,CTRDE,EMBPE,TIPMA,STSOP,EQMAX,DESCR,SISMAX,DESCRS,ERDAT,AEDAT,MODAT,RSNUM_ANT,RSPOS_ANT,CTRDE_ANT,USER_CONTACT,TEXTO_MAT,AENAM,AEZET,SITEID_MAX,AUFNR,VORNR,AUART
600,640766,640768,0031694305,0001,0000000000000000000,,,TPSU,T413,O1,1,0000000000000000000000000,,0000000000000000014130301,Motor Principal,2024-12-02T00:00:00.000Z,,,0000000000,0000,,HESPINOZA,AIR FILTER 8N-6309,,000000,PESCA,,,
600,640766,640768,0031694305,0002,0000000000000000000,,,TPSU,T413,O1,1,0000000000000000000000000,,0000000000000000014130301,Motor Principal,2024-12-02T00:00:00.000Z,,,0000000000,0000,,HESPINOZA,ELEMENT AS FUEL FILTER 1R-0756,,000000,PESCA,,,
600,642169,642170,0031694238,0001,0000000000000623855,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,ELEM.FILTRO PETR./SEP.AGUA RACOR 2020SM,,000000,PESCA,,,
600,642169,642170,0031694238,0002,0000000000000623857,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,"CINTA PETROWRAPE 2""",,000000,PESCA,,,
600,642169,642170,0031694238,0003,0000000000000623859,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,"MANOMETRO 0-60PSI Ø4"" NPT C/I.1/4""",,000000,PESCA,,,
600,642169,642170,0031694238,0004,0000000000000623861,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,"MANOMETRO 0-160PSI Ø 4"" NPT C/I.1/4""",,000000,PESCA,,,
600,642169,642170,0031694238,0005,0000000000000623863,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,"HOJA SIERRA 12""X1/2""X18 DIENTES",,000000,PESCA,,,
600,642171,642172,0031694239,0001,0000000000000623869,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,"ADAPT.HID.REC.M.NPT 1/2""-H.NP 1/2"" A:",,000000,PESCA,,,
600,642171,642172,0031694239,0002,0000000000000623865,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,"FITTING TI/ANCHOR M.NPT 1 1/2"" A:",,000000,PESCA,,,
600,642171,642172,0031694239,0003,0000000000000623867,,,TCHI,T427,OP,1,0000000000000000000000000,,0000000000000000000142725,OPERACIONES,2024-12-02T00:00:00.000Z,,,0000000000,0000,,JRUMICHE,FOCO LED LUZ FRIA 10.5W 220V,,000000,PESCA,,,
