atcdeta_codigo,atc_numero,atcdeta_servid,atcdeta_porcejec,atcdeta_fechamodifi,atcdeta_usuamodifi,atcdeta_servcodi,atcdeta_servdescrip,atcdeta_servdescripdet,atcdeta_servunidad,atcdeta_servcostounit,atcdeta_servmoneda,atcdeta_servtipo,atcdeta_cantidad,atcdeta_horasefect,atcdeta_otnum,atcdeta_otposi
57919,51067,321081,100,2021-12-20T18:07:39.393Z,VRODRIGUEZ,1000982,Calderería y Soldadura,,,0,PEN,false,1,,352839,352840
57918,51066,321079,100,2021-12-20T17:51:54.290Z,VRODRIGUEZ,1000966,Mantenimiento de equipos eléctricos,,,0,PEN,false,1,,352834,352835
57917,51065,321077,100,2021-12-20T17:47:09.703Z,VRODRIGUEZ,1000966,Mantenimiento de equipos eléctricos,,,0,PEN,false,1,,352836,352837
57916,49676,316962,100,2021-12-20T17:38:39.000Z,ProveedorTASA,1000966,Mantenimiento de equipos eléctricos,,UA,3454.75,PEN,false,1,0,347427,347430
57913,51063,321071,100,2021-12-20T17:12:09.530Z,FHUERE,1000968,Manto. de equipos mecánicos,,,3400,USD,false,1,,352828,352831
57912,51062,321067,100,2021-12-20T17:08:55.136Z,JCOTERA,1000964,Mantto calibración e instalación equipos,,,4000,PEN,false,3,,352826,352827
57908,51060,321059,100,2021-12-20T16:58:26.000Z,JCOTERA,1000964,Mantto calibración e instalación equipos,,,4000,PEN,false,3,,352821,352822
57907,51059,321057,100,2021-12-20T16:43:41.166Z,NMOLOCHE,1000968,Manto. de equipos mecánicos,,,685,PEN,false,1,,352818,352819
57906,51058,321055,100,2021-12-20T16:42:26.426Z,MGOMEZ,1000980,Mantenimiento Equipos Hidraúlicos,,,3800,PEN,false,1,,352816,352817
57915,51064,321075,100,2021-12-20T16:20:21.000Z,Mery Gomez,1000980,Mantenimiento Equipos Hidraúlicos,,,2650,PEN,false,1,0,,
57905,51057,321045,100,2021-12-20T16:16:42.566Z,LPICON,1000978,Mantto. de Motores y Cajas Reductoras,,,800,USD,false,1,,352803,352806
57904,51056,321049,100,2021-12-20T16:15:29.706Z,MGRANDA,1000968,Manto. de equipos mecánicos,,,3000,USD,false,1,,352802,352809
57911,51061,321065,100,2021-12-20T16:07:30.000Z,Mery Gomez,1000980,Mantenimiento Equipos Hidraúlicos,,,2550,PEN,false,1,0,,
57903,50165,318417,100,2021-12-20T15:08:32.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,1347.4,PEN,false,1,0,347705,347706
57902,50164,318415,100,2021-12-20T15:04:50.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,680,PEN,false,1,0,347707,347708
57901,51055,321035,100,2021-12-20T15:01:46.403Z,VIHUAMAN,1000521,SERVICIO EVAL.REPAR.ESTRUCTURA EQUIPOS,,,850,PEN,false,1,,352786,352787
57900,51054,321037,100,2021-12-20T15:00:33.910Z,NMOLOCHE,1000968,Manto. de equipos mecánicos,,,1480,PEN,false,1,,334243,334244
57899,51053,321025,100,2021-12-20T14:57:19.790Z,EALMEYDA,1000978_286,CATERPILLAR 3512 66Z 1000 HORAS-LIMP EXT,,,1445.42,USD,true,1,,352782,352783
57898,51052,321028,100,2021-12-20T14:56:07.156Z,JCOTERA,1000964,Mantto calibración e instalación equipos,,,4000,PEN,false,3,,352780,352781
57897,51051,321017,100,2021-12-20T14:46:52.510Z,EALMEYDA,1000978,Mantto. de Motores y Cajas Reductoras,,,4000,PEN,false,1,,352776,352777
57896,51048,320997,100,2021-12-20T14:46:30.000Z,Carlos Rojas,1000038,MANTENIMIENTO/REPARAC-MAQUINARIA/EQUIPO,,,2385,PEN,false,1,0,,
57895,51050,321013,100,2021-12-20T14:40:08.856Z,EALMEYDA,1000978,Mantto. de Motores y Cajas Reductoras,,,4000,PEN,false,1,,352770,352771
57894,51049,321012,100,2021-12-20T14:38:25.636Z,JCOTERA,1000964,Mantto calibración e instalación equipos,,,4000,PEN,false,3,,352768,352769
57892,51047,320998,100,2021-12-20T14:29:11.906Z,JCOTERA,1000968,Manto. de equipos mecánicos,,,4000,PEN,false,3,,352758,352759
57889,50893,0,100,2021-12-20T14:26:25.000Z,ProveedorTASA,1000982_205,H-H CALDERERO DIURNO,,H,28,PEN,true,1,4,347975,347976
57890,50893,0,100,2021-12-20T14:26:25.000Z,ProveedorTASA,1000982_206,H-H SOLDADOR DIURNO,,H,30,PEN,true,1,4,347975,347976
57891,51046,321000,100,2021-12-20T14:25:41.283Z,EALMEYDA,1000978,Mantto. de Motores y Cajas Reductoras,,,3000,USD,false,1,,352735,352738
57886,45047,294133,100,2021-12-20T14:07:51.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,33414,PEN,false,1,0,325999,326000
57882,51011,320681,100,2021-12-20T13:45:12.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,7621.06,PEN,false,1,0,352363,352364
57881,50889,320027,100,2021-12-20T13:36:33.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,590,PEN,false,1,0,350694,350695
57880,51017,320700,100,2021-12-20T13:27:32.000Z,ProveedorTASA,1000968,Manto. de equipos mecánicos,,UA,550,PEN,false,1,0,343546,343547
57879,50551,319652,100,2021-12-20T13:13:26.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,680,USD,false,1,0,346325,346326
57878,50386,319331,100,2021-12-20T12:54:24.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,630,USD,false,1,0,349658,349659
57877,47996,309667,100,2021-12-20T12:47:58.000Z,ProveedorTASA,1000964,Mantto calibración e instalación equipos,,UA,4000,PEN,false,1,0,340689,340690
57876,50385,319329,100,2021-12-20T12:47:53.000Z,ProveedorTASA,1000980,Mantenimiento Equipos Hidraúlicos,,UA,790,USD,false,1,0,348524,348525
57875,51043,317684,100,2021-12-20T12:46:56.000Z,ProveedorTASA,1000989,Enfibrado y aislamiento,,UA,1280,PEN,false,1,0,347045,347046
57874,47994,309657,100,2021-12-20T12:46:15.000Z,ProveedorTASA,1000964,Mantto calibración e instalación equipos,,UA,4000,PEN,false,1,0,340672,340682
57871,50963,0,100,2021-12-20T12:32:07.000Z,ProveedorTASA,1000982_210,H-H CALDERERO NOCTURNO,,H,39.2,PEN,true,1,4,345008,345009
57872,50963,0,100,2021-12-20T12:32:07.000Z,ProveedorTASA,1000982_211,H-H SOLDADOR NOCTURNO,,H,42,PEN,true,1,4,345008,345009
57870,47703,308073,100,2021-12-20T12:27:56.000Z,ProveedorTASA,1000978,Mantto. de Motores y Cajas Reductoras,,UA,1094.33,PEN,false,1,0,,
57869,50089,318236,100,2021-12-20T12:20:24.000Z,ProveedorTASA,1000978,Mantto. de Motores y Cajas Reductoras,,UA,4031,PEN,false,1,0,349312,349314
57868,49604,316505,100,2021-12-20T12:18:43.000Z,ProveedorTASA,1000969,Servicio de mecanizado,,UA,950,PEN,false,1,0,346941,346943
57867,47267,305625,100,2021-12-20T12:17:01.000Z,ProveedorTASA,1000978,Mantto. de Motores y Cajas Reductoras,,UA,2359.91,PEN,false,1,0,336021,336022
57866,50490,311605,100,2021-12-20T12:12:52.000Z,ProveedorTASA,1000970,Mantenimiento Grupos electrógenos,,UA,520,USD,false,1,0,,
57865,51045,320962,100,2021-12-20T11:45:53.356Z,NMOLOCHE,1000968,Manto. de equipos mecánicos,,,1210,PEN,false,1,,349809,352701
57864,51044,320958,100,2021-12-20T11:44:41.213Z,NMOLOCHE,1000968,Manto. de equipos mecánicos,,,450,USD,false,1,,349809,349810
57863,51018,320702,100,2021-12-20T11:39:07.000Z,ProveedorTASA,1000968,Manto. de equipos mecánicos,,UA,1250,PEN,false,1,0,351955,351956
