atcmat_codigo,atc_codigo,atc_numero,atcmat_descrip,atcmat_unidad,atcmat_cantidad,atcmat_costounit
1,41638,41587,PARCHES VULCANIZADO DE 100 MM X 150 MM,Un.,10,100
4,41839,41788,23533125( FILTRO DE AIRE S60 DETROIT DIESEL),Un.,1,1717.8
7,41684,41633,Trafo 440V/110V 2000W,Un.,1,950
33,41797,41746,Anodo de Zinc (modelo Sabroe),Un.,1,1025
34,41797,41746,"Juegos de Empaquetadura de amoniaco 1/8""",Un.,1,350
35,41795,41744,Anodo de Zinc ( Modelo Sabroe),Un.,1,1025
36,41795,41744,Juego de Empaques de Amoniaco,Un.,1,350
37,41802,41751,VÁLVULAS DE 1” CIERRE RÁPIDO INOX,Un.,1,50
38,41802,41751,SOLDADURA AW DE 1/8 INOX,Kg.,1.5,250
39,41802,41751,TUBO DE 1” X 3000 MM INOX,Un.,1,420
40,41802,41751,BRIDAS DE 1” INOX,Un.,2,45
41,41802,41751,VÁLVULAS SCHEK HORIZONTALES DE 1” INOX,Un.,2,250
42,41802,41751,NIPLES DE 1” X 4” INOX,Un.,3,35
43,41802,41751,NIPLES DE 1” X 6” INOX,Un.,2,45
44,41802,41751,UNIVERSALES DE 1” INOX,Un.,4,35
45,41802,41751,ABRAZADERA UBOL PARA TUBO DE1” C/BASE,Un.,1,40
46,41802,41751,PULIFAN DE 4” ,Un.,1,35
47,41802,41751,PERNOS DE 3/8 X 2” C/T INOX,Un.,8,15
48,41802,41751,REDUCCIÓN CAMPANA 1 1/1 A 1” INOX,Un.,1,35
49,41802,41751,CODOS DE 1” X 90° INOX SOLDABLE,Un.,3,35
50,41802,41751,NIPLES DE 1” X 3” INOX,Un.,4,25
51,41802,41751,TEE DE 1” ROSCADA INOX,Un.,1,30
52,41802,41751,VÁLVULA SCHEK DE 1” VERTICAL BRONCE,Un.,1,180
53,41802,41751,COPLA MIXTAS DE 1/4 INOX,Un.,1,30
54,41802,41751,NIPLES DE 1”X 2” ROSCA UN LADO INOX,Un.,1,30
55,41802,41751,EMPAQUES DE JEBE Y LONA  1/8 PARA BRIDA DE 1”,Un.,2,35
56,41802,41751,NIPLES DE 1 ½ X 1 INOX,Un.,1,25
57,41802,41751,TEFLON,Un.,8,10
58,41802,41751,PERMATEX,Un.,2,30
59,41802,41751,DISCOS DE CORTE DE 4”,Un.,10,20
60,41802,41751,PULIFAN,Un.,2,35
61,41802,41751,DISCOS DE DESBASTE DE 4”,Un.,2,25
62,41703,41652,"PLANCHA DE 1” 1/2 X 5"", MAQUINADO DE ESPESOR DE 1” 1/4 FE",Un.,1,90
63,41703,41652,SOLDADURA CELLOCORD 1/8,Kg.,1,30
64,41703,41652,SOLDADURA SUPERCITO 1/8,Kg.,1,30
65,41703,41652,OXIGENO,Un.,2,40
66,41703,41652,GAS DE COMPRIMIDO,Kg.,2,6
67,41703,41652,DISCO DESBASTE DE 4” 1/2,Un.,1,25
68,41703,41652,ESCOBILLA CIRCULAR DE 4” 1/2 ,Un.,1,35
69,41703,41652,PINTURA EPOXICA / THINNER / BROCHA,Un.,1,24
81,41637,41586,SOLDADURA CELLOCORD 1/8,Un.,0.25,30
82,41637,41586,SOLDADURA SUPERCITO 1/8,Un.,0.25,30
83,41637,41586,BARRA LISA DE 1” X 300 MM FE,Un.,1,60
84,41637,41586,DISCOS DE DESBASTE DE 4”,Un.,1,25
85,41637,41586,DISCO DE CORTE DE 4”,Un.,2,20
86,41637,41586,OXIGENO,Un.,2,40
87,41637,41586,GAS COMPRIMIDO,Kg.,2,6
88,41637,41586,ESCOBILLA CIRCULAR DE 4” ,Un.,1,35
89,41634,41583,SOLDADURA AW DE 1/8 INOX,Kg.,2,250
90,41634,41583,BARRA LISA DE 1” X 4500 MM INOX,Un.,1,350
