atc_num,atc_fec_creacion,atc_fec_llenado,atc_dif_dias_llenado,atc_fec_lib1,atc_dif_dias_lib1,atc_fec_aprob,atc_dif_dias_aprob,atc_unenombre,atc_estado
1076999,2025-09-08T16:01:07.096Z,,,,,,,PESCA,Vacío
1076998,2025-09-08T15:58:50.026Z,,,,,,,PESCA,Vacío
1076997,2025-09-08T15:57:45.816Z,,,,,,,PESCA,Vacío
1076996,2025-09-08T15:52:41.750Z,,,,,,,PESCA,Vacío
1076995,2025-09-08T15:47:58.810Z,,,,,,,PLANTA,Vacío
1076994,2025-09-08T15:44:33.233Z,,,,,,,PESCA,Vacío
1076993,2025-09-08T15:44:19.186Z,,,,,,,PESCA,Vacío
1076992,2025-09-08T15:41:45.800Z,,,,,,,PESCA,Vacío
1076991,2025-09-08T15:39:59.386Z,,,,,,,PESCA,Vacío
1076990,2025-09-08T15:36:49.203Z,,,,,,,PESCA,Vacío
1076989,2025-09-08T15:35:53.683Z,,,,,,,PESCA,Vacío
1076988,2025-09-08T15:25:16.906Z,,,,,,,PESCA,Vacío
1076987,2025-09-08T15:12:42.073Z,,,,,,,PESCA,Vacío
1076986,2025-09-08T14:59:22.893Z,,,,,,,PESCA,Vacío
1076985,2025-09-08T14:52:12.163Z,,,,,,,PESCA,Vacío
1076984,2025-09-08T14:45:42.983Z,,,,,,,PESCA,Vacío
1076983,2025-09-08T14:44:54.806Z,,,,,,,PESCA,Vacío
1076982,2025-09-08T14:37:05.396Z,,,,,,,PESCA,Vacío
1076981,2025-09-08T14:34:16.716Z,,,,,,,PESCA,Vacío
1076980,2025-09-08T14:32:28.223Z,,,,,,,PESCA,Vacío
1076979,2025-09-08T14:31:19.500Z,,,,,,,PESCA,Vacío
1076978,2025-09-08T14:29:27.260Z,,,,,,,PESCA,Vacío
1076977,2025-09-08T14:26:15.653Z,,,,,,,PESCA,Vacío
1076976,2025-09-08T14:21:37.196Z,,,,,,,PESCA,Vacío
1076975,2025-09-08T14:01:41.053Z,,,,,,,PESCA,Vacío
1076974,2025-09-08T13:53:08.910Z,,,,,,,PESCA,Vacío
1076973,2025-09-08T13:05:24.860Z,,,,,,,PESCA,Vacío
1076972,2025-09-08T13:05:03.360Z,,,,,,,PLANTA,Vacío
1076971,2025-09-08T12:56:21.000Z,,,,,,,PESCA,Vacío
1076970,2025-09-08T12:36:56.833Z,,,,,,,PLANTA,Vacío
1076969,2025-09-08T12:35:31.186Z,,,,,,,PLANTA,Vacío
1076968,2025-09-08T12:34:34.480Z,2025-09-08T13:31:52.000Z,0,,,,,PESCA,Pend.1ra.aprob.
1076967,2025-09-08T12:33:27.240Z,,,,,,,PLANTA,Vacío
1076966,2025-09-08T12:32:31.376Z,,,,,,,PLANTA,Vacío
1076965,2025-09-08T12:06:09.236Z,,,,,,,PLANTA,Vacío
1076964,2025-09-08T12:05:56.283Z,,,,,,,PESCA,Vacío
1076963,2025-09-08T12:05:07.326Z,,,,,,,PLANTA,Vacío
1076962,2025-09-08T12:04:25.950Z,,,,,,,PLANTA,Vacío
1076961,2025-09-08T11:58:20.850Z,,,,,,,PESCA,Vacío
1076960,2025-09-08T11:56:18.436Z,2025-09-08T12:05:07.000Z,0,,,,,PESCA,Pend.1ra.aprob.
1076959,2025-09-08T11:54:11.000Z,,,,,,,PLANTA,Vacío
1076958,2025-09-08T11:52:46.000Z,,,,,,,PLANTA,Vacío
1076957,2025-09-08T10:44:56.516Z,,,,,,,PESCA,Vacío
1076956,2025-09-08T10:08:39.836Z,,,,,,,PESCA,Vacío
1076955,2025-09-08T09:48:25.070Z,,,,,,,PESCA,Vacío
1076954,2025-09-08T09:46:56.406Z,,,,,,,PLANTA,Vacío
1076953,2025-09-08T09:46:50.576Z,,,,,,,PLANTA,Vacío
1076952,2025-09-08T09:46:45.266Z,,,,,,,PLANTA,Vacío
1076951,2025-09-08T09:46:38.826Z,,,,,,,PLANTA,Vacío
1076950,2025-09-08T09:46:32.953Z,,,,,,,PLANTA,Vacío
