aad_codigo,aad_tipodoc,aad_numdoc,aad_nombrefile,aad_linkfileazure,aad_idfileazure,aad_opcion,aad_addinfo,aad_changeby,aad_createby,aad_descripcion,aad_doctype,aad_document,aad_ownertable,aad_upload,aad_urlname,aad_urltype,aad_fechamodifi,aad_usuamodifi
631324,SSE,250907200407,99949_IMG_20250907_194637.jpg,https://rgeastustasamaximo.blob.core.windows.net/sse/99949_IMG_20250907_194637.jpg,,Abrir,true,JBARDALES,JBARDALES,IMG_20250907_194637.jpg,Images,Images,SLXPD,true,doclinks/Images/IMG_20250907_194637.jpg,FILE,2025-09-08T00:00:00.000Z,
631325,SSE,250907200407,99949_IMG_20250907_200111.jpg,https://rgeastustasamaximo.blob.core.windows.net/sse/99949_IMG_20250907_200111.jpg,,Abrir,true,JBARDALES,JBARDALES,IMG_20250907_200111.jpg,Images,Images,SLXPD,true,doclinks/Images/IMG_20250907_200111.jpg,FILE,2025-09-08T00:00:00.000Z,
631326,ATC,1076248,1076248_T-428.png,https://rgeastustasamaximo.blob.core.windows.net/atc/1076248_T-428.png,,Abrir,true,EHUAROTO,EHUAROTO,T-428.png,Images,Images,SLXHES,true,doclinks/Images/T-428.png,FILE,2025-09-08T00:00:00.000Z,1105
631327,ATC,1076248,1076248_TASA 428 - MOTOR PANGA - ALARMA 20250712.pdf,https://rgeastustasamaximo.blob.core.windows.net/atc/1076248_TASA 428 - MOTOR PANGA - ALARMA 20250712.pdf,,Abrir,true,EHUAROTO,EHUAROTO,TASA 428 - MOTOR PANGA - ALARMA 20250712.pdf,Attachments,Attachments,SLXHES,true,doclinks/Attachments/TASA 428 - MOTOR PANGA - ALARMA 20250712.pdf,FILE,2025-09-08T00:00:00.000Z,1105
631328,ATC,1076248,1076248_TASA 428 - TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN 20250623.pdf,https://rgeastustasamaximo.blob.core.windows.net/atc/1076248_TASA 428 - TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN 20250623.pdf,,Abrir,true,EHUAROTO,EHUAROTO,TASA 428 - TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN 20250623.pdf,Attachments,Attachments,SLXHES,true,doclinks/Attachments/TASA 428 - TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN 20250623.pdf,FILE,2025-09-08T00:00:00.000Z,1105
631329,ATC,1076248,1076248_TASA 428-TANQUE HIDRAULICO DE GOBIERNO - PRECAUCIÓN_20250623.pdf,https://rgeastustasamaximo.blob.core.windows.net/atc/1076248_TASA 428-TANQUE HIDRAULICO DE GOBIERNO - PRECAUCIÓN_20250623.pdf,,Abrir,true,EHUAROTO,EHUAROTO,TASA 428-TANQUE HIDRAULICO DE GOBIERNO - PRECAUCIÓN_20250623.pdf,Attachments,Attachments,SLXHES,true,doclinks/Attachments/TASA 428-TANQUE HIDRAULICO DE GOBIERNO - PRECAUCIÓN_20250623.pdf,FILE,2025-09-08T00:00:00.000Z,1105
631330,ATC,1076248,1076248_TASA 428-TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN_20250624.pdf,https://rgeastustasamaximo.blob.core.windows.net/atc/1076248_TASA 428-TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN_20250624.pdf,,Abrir,true,EHUAROTO,EHUAROTO,TASA 428-TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN_20250624.pdf,Attachments,Attachments,SLXHES,true,doclinks/Attachments/TASA 428-TANQUE HIDRAULICO PRINCIPAL - PRECAUCIÓN_20250624.pdf,FILE,2025-09-08T00:00:00.000Z,1105
631331,ATC,1076927,1076927_1.jpeg,https://rgeastustasamaximo.blob.core.windows.net/atc/1076927_1.jpeg,,Abrir,true,SMORENO,SMORENO,1.jpeg,Images,Images,SLXHES,true,doclinks/Images/1.jpeg,FILE,2025-09-08T00:00:00.000Z,1182
631332,ATC,1076927,1076927_2.jpeg,https://rgeastustasamaximo.blob.core.windows.net/atc/1076927_2.jpeg,,Abrir,true,SMORENO,SMORENO,2.jpeg,Images,Images,SLXHES,true,doclinks/Images/2.jpeg,FILE,2025-09-08T00:00:00.000Z,1182
631333,ATC,1076927,1076927_3.jpeg,https://rgeastustasamaximo.blob.core.windows.net/atc/1076927_3.jpeg,,Abrir,true,SMORENO,SMORENO,3.jpeg,Images,Images,SLXHES,true,doclinks/Images/3.jpeg,FILE,2025-09-08T00:00:00.000Z,1182
631334,ATC,1076345,1076345_T-38.png,https://rgeastustasamaximo.blob.core.windows.net/atc/1076345_T-38.png,,Abrir,true,SMORENO,SMORENO,T-38.png,Images,Images,SLXHES,true,doclinks/Images/T-38.png,FILE,2025-09-08T00:00:00.000Z,1182
631335,ATC,1076345,1076345_TASA 38 - CAJA MULTIPLICADORA - ALARMA 20250604.pdf,https://rgeastustasamaximo.blob.core.windows.net/atc/1076345_TASA 38 - CAJA MULTIPLICADORA - ALARMA 20250604.pdf,,Abrir,true,SMORENO,SMORENO,TASA 38 - CAJA MULTIPLICADORA - ALARMA 20250604.pdf,Attachments,Attachments,SLXHES,true,doclinks/Attachments/TASA 38 - CAJA MULTIPLICADORA - ALARMA 20250604.pdf,FILE,2025-09-08T00:00:00.000Z,1182
631336,ATC,1076345,1076345_TASA 38 - CAJA PANGA - ALARMA 20250622.pdf,https://rgeastustasamaximo.blob.core.windows.net/atc/1076345_TASA 38 - CAJA PANGA - ALARMA 20250622.pdf,,Abrir,true,SMORENO,SMORENO,TASA 38 - CAJA PANGA - ALARMA 20250622.pdf,Attachments,Attachments,SLXHES,true,doclinks/Attachments/TASA 38 - CAJA PANGA - ALARMA 20250622.pdf,FILE,2025-09-08T00:00:00.000Z,1182
631337,ATC,1076345,1076345_TASA 38 - CAJA PANGA - EMERGENCIA 20250604.pdf,https://rgeastustasamaximo.blob.core.windows.net/atc/1076345_TASA 38 - CAJA PANGA - EMERGENCIA 20250604.pdf,,Abrir,true,SMORENO,SMORENO,TASA 38 - CAJA PANGA - EMERGENCIA 20250604.pdf,Attachments,Attachments,SLXHES,true,doclinks/Attachments/TASA 38 - CAJA PANGA - EMERGENCIA 20250604.pdf,FILE,2025-09-08T00:00:00.000Z,1182
