atcdoc_codigo,atc_numero,tdo_codigo,tdo_nombre,atcdoc_num,atcdoc_pos,atcdoc_liberado,atcdoc_unenombre,atcdoc_centro,atcdoc_fechamodifi,atcdoc_usuamodifi
624272,1070710,5,SOLPED,0020159106,10,true,,,2025-09-08T16:18:00.010Z,ADMINAPP
638771,1070668,6,OC,5010230735,10,true,PESCA,T427,2025-09-08T16:17:54.993Z,ADMINAPP
623860,1070668,5,SOLPED,0020159076,10,true,PESCA,T427,2025-09-08T16:17:48.273Z,ADMINAPP
638831,1070667,6,OC,5010230737,60,true,PESCA,T056,2025-09-08T16:17:43.366Z,ADMINAPP
623859,1070667,5,SOLPED,0020159075,10,true,PESCA,T056,2025-09-08T16:17:36.446Z,ADMINAPP
638830,1070666,6,OC,5010230737,40,true,PESCA,T054,2025-09-08T16:17:33.256Z,ADMINAPP
623858,1070666,5,SOLPED,0020159074,10,true,PESCA,T054,2025-09-08T16:17:28.883Z,ADMINAPP
638829,1070665,6,OC,5010230737,20,true,PESCA,T042,2025-09-08T16:17:25.256Z,ADMINAPP
623857,1070665,5,SOLPED,0020159073,10,true,PESCA,T042,2025-09-08T16:17:22.070Z,ADMINAPP
638770,1070664,6,OC,5010230735,60,true,PESCA,T041,2025-09-08T16:17:18.740Z,ADMINAPP
623856,1070664,5,SOLPED,0020159072,10,true,PESCA,T041,2025-09-08T16:17:15.786Z,ADMINAPP
638828,1070663,6,OC,5010230740,20,true,PESCA,T035,2025-09-08T16:17:12.240Z,ADMINAPP
623855,1070663,5,SOLPED,0020159071,10,true,PESCA,T035,2025-09-08T16:17:09.223Z,ADMINAPP
638827,1070662,6,OC,5010230740,10,true,PESCA,T034,2025-09-08T16:17:06.130Z,ADMINAPP
623854,1070662,5,SOLPED,0020159070,10,true,PESCA,T034,2025-09-08T16:17:03.210Z,ADMINAPP
625282,1070686,6,OC,5060085047,60,true,PESCA,T054,2025-09-08T16:17:00.270Z,ADMINAPP
623907,1070686,5,SOLPED,0020159086,20,true,PESCA,T054,2025-09-08T16:16:56.740Z,ADMINAPP
630134,1070685,6,OC,5060086389,70,true,PESCA,T054,2025-09-08T16:16:53.456Z,ADMINAPP
623906,1070685,5,SOLPED,0020159086,10,true,PESCA,T054,2025-09-08T16:16:51.083Z,ADMINAPP
625281,1070684,6,OC,5060085047,50,true,PESCA,T054,2025-09-08T16:16:47.863Z,ADMINAPP
623905,1070684,5,SOLPED,0020159085,20,true,PESCA,T054,2025-09-08T16:16:44.643Z,ADMINAPP
630133,1070683,6,OC,5060086389,60,true,PESCA,T054,2025-09-08T16:16:41.816Z,ADMINAPP
623904,1070683,5,SOLPED,0020159085,10,true,PESCA,T054,2025-09-08T16:16:38.660Z,ADMINAPP
623846,1070655,6,OC,5060084759,140,true,PESCA,T042,2025-09-08T16:16:35.113Z,ADMINAPP
623845,1070655,5,SOLPED,0020159063,10,true,PESCA,T042,2025-09-08T16:16:31.706Z,ADMINAPP
623920,1070706,5,SOLPED,0020159103,10,true,,,2025-09-08T16:16:29.410Z,ADMINAPP
623463,1070637,5,SOLPED,0020159042,10,true,,,2025-09-08T16:16:26.143Z,ADMINAPP
635983,1070627,6,OC,5060087852,30,true,PESCA,T042,2025-09-08T16:16:23.863Z,ADMINAPP
623435,1070627,5,SOLPED,0020159033,20,true,PESCA,T042,2025-09-08T16:16:21.080Z,ADMINAPP
623821,1070626,6,OC,5060084759,120,true,PESCA,T042,2025-09-08T16:16:18.503Z,ADMINAPP
623434,1070626,5,SOLPED,0020159033,10,true,PESCA,T042,2025-09-08T16:16:16.126Z,ADMINAPP
623462,1070634,5,SOLPED,0020159039,10,true,,,2025-09-08T16:16:13.330Z,ADMINAPP
624811,1070656,6,OC,5010223736,10,true,PLANTA,TCHD,2025-09-08T16:16:07.830Z,ADMINAPP
623832,1070656,5,SOLPED,0020159064,10,true,PLANTA,TCHD,2025-09-08T16:16:02.986Z,ADMINAPP
623919,1070703,5,SOLPED,0020159101,20,true,,,2025-09-08T16:15:57.546Z,ADMINAPP
623918,1070702,5,SOLPED,0020159101,10,true,,,2025-09-08T16:15:53.906Z,ADMINAPP
645403,1070719,6,OC,5010234940,70,false,PESCA,T058,2025-09-08T16:15:50.453Z,ADMINAPP
624266,1070719,5,SOLPED,0020159145,10,true,PESCA,T058,2025-09-08T16:15:46.860Z,ADMINAPP
644021,1070651,6,OC,5010233682,20,true,PESCA,T315,2025-09-08T16:15:43.563Z,ADMINAPP
623830,1070651,5,SOLPED,0020159058,10,true,PESCA,T315,2025-09-08T16:15:40.420Z,ADMINAPP
623915,1070708,5,SOLPED,0020159104,10,true,,,2025-09-08T16:15:37.640Z,ADMINAPP
645402,1070713,6,OC,5010234940,50,false,PESCA,T057,2025-09-08T16:15:34.606Z,ADMINAPP
