ssrep_codigo,sse_numero,ssrep_horduraprox,ssrep_velconaveria,ssrep_unimed,ssrep_creadopor,ssrep_fecha,ssrep_elim,ssrep_fechaelim,ssrep_usuarioelim,ssrep_fechamodifi,ssrep_usuamodifi
6030,210821124828,2,0,TM/Hr     ,Raul Jimenez,2021-08-21T12:48:29.426Z,false,,,2021-08-21T12:53:00.000Z,Raul Jimenez
6029,210820084318,2,0,TM/Hr     ,Raul Jimenez,2021-08-20T08:43:18.926Z,false,,,2021-08-20T08:56:00.000Z,Raul Jimenez
6020,210819063631,,0,TM/Hr     ,Mariela Llangato,2021-08-19T06:36:31.806Z,false,,,2021-08-19T07:02:00.000Z,Mariela Llangato
6019,210819061908,,0,TM/Hr     ,Mariela Llangato,2021-08-19T06:19:08.353Z,false,,,2021-08-19T06:36:00.000Z,Mariela Llangato
6018,210819061558,,0,TM/Hr     ,Mariela Llangato,2021-08-19T06:15:59.033Z,false,,,2021-08-19T06:18:00.000Z,Mariela Llangato
6017,210819060518,,0,TM/Hr     ,Mariela Llangato,2021-08-19T06:05:18.546Z,false,,,2021-08-19T06:15:00.000Z,Mariela Llangato
6016,210819055148,,0,TM/Hr     ,Mariela Llangato,2021-08-19T05:51:48.536Z,false,,,2021-08-19T06:01:00.000Z,Mariela Llangato
6015,210819054359,,0,TM/Hr     ,Mariela Llangato,2021-08-19T05:43:59.986Z,false,,,2021-08-19T05:51:00.000Z,Mariela Llangato
6014,210819053345,,0,TM/Hr     ,Mariela Llangato,2021-08-19T05:33:45.843Z,false,,,2021-08-19T05:40:00.000Z,Mariela Llangato
6013,210818165940,,0,TM/Hr     ,Raul Jimenez,2021-08-18T16:59:40.973Z,false,,,2021-08-18T17:39:00.000Z,Raul Jimenez
6012,210818163623,,0,TM/Hr     ,Raul Jimenez,2021-08-18T16:36:23.560Z,false,,,2021-08-18T16:57:00.000Z,Raul Jimenez
6011,210818162755,5,0,TM/Hr     ,Raul Jimenez,2021-08-18T16:27:55.456Z,false,,,2021-08-18T16:36:00.000Z,Raul Jimenez
6010,210818155616,,0,TM/Hr     ,Raul Jimenez,2021-08-18T15:56:18.080Z,false,,,2021-08-18T16:22:00.000Z,Raul Jimenez
6009,210808191401,1,0,TM/Hr     ,Ruben Correa,2021-08-08T19:14:01.736Z,false,,,2021-08-09T19:20:00.000Z,Ruben Correa
6008,210808133315,2,0,TM/Hr     ,Ruben Correa,2021-08-08T13:33:16.136Z,false,,,2021-08-08T13:38:00.000Z,Ruben Correa
6007,210808045400,2,2,TM/Hr     ,Raul Jimenez,2021-08-08T04:54:00.646Z,false,,,2021-08-08T05:09:00.000Z,Raul Jimenez
6006,210806100538,1,0,TM/Hr     ,JOSE DEL ROSARIO YBAÑEZ,2021-08-06T10:05:38.276Z,false,,,2021-08-06T10:09:00.000Z,JOSE DEL ROSARIO YBAÑEZ
6005,210805101623,0,0,TM/Hr     ,JOSE DEL ROSARIO YBAÑEZ,2021-08-05T10:16:24.573Z,false,,,2021-08-05T11:45:00.000Z,JOSE DEL ROSARIO YBAÑEZ
